name,address,score,reviews count,latitude,longitude,province,category,price,discount,services,description images
Mường Thanh Luxury Bắc Ninh Hotel,"395 Đ. Ng. Gia Tự, P.Tiền An, Bắc Ninh, Việt Nam","4,2",1.294,21.1832982,106.0299537,Bắc Ninh,Khách sạn 4 sao,1.496.148 ₫,Ít hơn 46% so với bình thường,"Wi-Fi miễn phí, Bữa sáng miễn phí, Đỗ xe miễn phí, Bể bơi ngoài trời, Có điều hòa nhiệt độ, Dịch vụ giặt ủi, Trung tâm thương mại, Dịch vụ phòng, Phù hợp với trẻ em, Nhà hàng, Xe đưa đón ra sân bay, Spa, Trung tâm thể dục, ","https://lh5.googleusercontent.com/p/AF1QipNOC5enuo842YQokcBhTKBBCoR-jxCTgF33kQYO, https://lh5.googleusercontent.com/p/AF1QipMLrncxvcuxKngmIJefx600y-whDVJ2KzkZLwaZ, https://lh5.googleusercontent.com/p/AF1QipMnlCfpfVwLtwnZPwkpyL_AXUhg99cr48-hMUDy, https://lh5.googleusercontent.com/p/AF1QipPgnSCJW0FqXJVLX3mDVt_HzWqXGVNpECXL1yJQ, "
SKY HOTEL - KHÁCH SẠN BẮC NINH,"36 Nguyễn Quyền, Đại Phúc, Bắc Ninh, 16000, Việt Nam","5,0",76,21.1679993,106.0366491,Bắc Ninh,Khách sạn,333.952 ₫,Không có giảm giá,,"https://lh5.googleusercontent.com/p/AF1QipOWcobWSDQqKWtsa3eiMUaMiYDegyS7HrCCvnq_, https://lh5.googleusercontent.com/p/AF1QipM_KNEjHvUlNIg247tNuJnr5O2RavnwtEZUHSXl, https://lh5.googleusercontent.com/p/AF1QipOFL-_PjPs18NwALVBRQJv9UlzC5AALRf99l0wb, https://lh5.googleusercontent.com/p/AF1QipOT3mitfuEjOxQTtuIldODqPZjhxysrjlUWrz-O, "
Mandala Hotel & Spa Bac Ninh,"Đ. Kinh Dương Vương, Suối Hoa, Bắc Ninh, 220000, Việt Nam","4,4",319,21.18837,106.0406398,Bắc Ninh,Khách sạn 4 sao,1.793.000 ₫,Không có giảm giá,"Wi-Fi miễn phí, Bữa sáng miễn phí, Đỗ xe miễn phí, Bể bơi ngoài trời, Có điều hòa nhiệt độ, Dịch vụ giặt ủi, Dịch vụ phòng, Phù hợp với trẻ em, Nhà hàng, Bếp ở một số phòng, Xe đưa đón ra sân bay, Bồn tắm nước nóng, Spa, Trung tâm thể dục, ","https://lh5.googleusercontent.com/p/AF1QipNdlAemXiybh7rhA79UEt611-u84P5t2QX0rFPB, https://lh5.googleusercontent.com/p/AF1QipOZ3qC5jQovQGYVNwRutTdIX8qu79fbdbI_zZZO, https://lh5.googleusercontent.com/p/AF1QipO1DRiq2vSVJH8FUmM-EWoa_m898965qZLi8YjW, https://lh5.googleusercontent.com/p/AF1QipMlPWhsqu18KjExtYfuyx1CZbHnevjOpiMv4OSv, "
Đèn Chùm Kinh Bắc,"54 Đ. Kinh Dương Vương, p, Bắc Ninh, 79000, Việt Nam","4,1",200,21.1843651,106.0450362,Bắc Ninh,Khách sạn 3 sao,761.149 ₫,Không có giảm giá,"Wi-Fi miễn phí, Bữa sáng miễn phí, Đỗ xe miễn phí, Có điều hòa nhiệt độ, Dịch vụ giặt ủi, Phù hợp với trẻ em, Nhà hàng, Xe đưa đón ra sân bay, ","https://lh5.googleusercontent.com/p/AF1QipMy2mMMWySorcElpNHk0xkEvhL92wEkLLoej6Xn, https://lh5.googleusercontent.com/p/AF1QipM0tWqjNKJYPw3w2UDWWQMxZHmCaLuAS2MniAr2, https://lh5.googleusercontent.com/p/AF1QipN0Nob77Bom4dVpiPEv71ZoVGSKDoh0hTEUxGIg, https://lh5.googleusercontent.com/p/AF1QipNx4iLlNgkcwcQalPPE_8TTorv1zp8alcvf9RH-, "
Le Indochina Hotel Bắc Ninh,"45 Nguyễn Đăng Đạo, Đại Phúc, Bắc Ninh, Việt Nam","4,0",621,21.1794937,106.0346636,Bắc Ninh,Khách sạn 4 sao,1.688.877 ₫,Không có giảm giá,"Wi-Fi miễn phí, Bữa sáng miễn phí, Đỗ xe miễn phí, Phù hợp cho người khuyết tật, Bể bơi ngoài trời, Có điều hòa nhiệt độ, Dịch vụ giặt ủi, Trung tâm thương mại, Dịch vụ phòng, Phù hợp với trẻ em, Nhà hàng, Bếp ở một số phòng, Xe đưa đón ra sân bay, Bồn tắm nước nóng, Spa, Trung tâm thể dục, Quán bar, Không hút thuốc, ","https://lh5.googleusercontent.com/p/AF1QipPZ45nz-h1vUvJPRPTtMgkLXyxdE347beyS5XnC, https://lh5.googleusercontent.com/p/AF1QipMrQJ2BfMQGDiKssEOr4VDXFmzZV5zfxq5FXBu-, https://lh5.googleusercontent.com/p/AF1QipMnUWrcuhO4pb94u77t02L8IZUHUxFg-wru3j9B, https://lh5.googleusercontent.com/p/AF1QipPwkN7RRhhNK1UOPdr0bjVhuM0soCOXDDBTfsPf, "
Phoenix Resort Bac Ninh,"Khu 6 Đồi Pháo Thủ, P. Đáp Cầu, Bắc Ninh, 220000, Việt Nam","4,3",1.076,21.2010456,106.0562114,Bắc Ninh,Khách sạn 4 sao,1.125.585 ₫,Không có giảm giá,"Wi-Fi miễn phí, Bữa sáng miễn phí, Đỗ xe miễn phí, Bể bơi ngoài trời, Có điều hòa nhiệt độ, Dịch vụ giặt ủi, Dịch vụ phòng, Nhà hàng, Bồn tắm nước nóng, Spa, Trung tâm thể dục, ","https://lh5.googleusercontent.com/p/AF1QipNZ08NRsNLgS93p3ybNTHpZwgHaG3q-nfifPJ9y, https://lh5.googleusercontent.com/p/AF1QipO5reH1fW9NmHMi0Ln47jSbeRuaH8bOwpgrl-Ef, https://lh5.googleusercontent.com/p/AF1QipNvd-L1myO-ACWbrFI6GTzjE9GajkwWEHI8SeZ0, https://lh5.googleusercontent.com/p/AF1QipN8PxWPINXtXuJSSb1niy9ml-7CNUqhDGewylIx, "
Khách Sạn Haengbok,"51 P Lê Chân, Đại Phúc, Bắc Ninh, Việt Nam","4,3",47,21.2010456,106.0253124,Bắc Ninh,Khách sạn 3 sao,594.000 ₫,Không có giảm giá,"Wi-Fi miễn phí, Bữa sáng miễn phí, Có điều hòa nhiệt độ, Dịch vụ giặt ủi, ","https://lh5.googleusercontent.com/p/AF1QipOpeDpyal4-9K2Oo5BK-pyOtb787_4IVeMoQrtR, https://lh5.googleusercontent.com/p/AF1QipPOOZzt-Djvo834gKeOHQxI3dRl9kuimD32WJ4g, https://lh5.googleusercontent.com/p/AF1QipO0UpxvdLvzUIAikIUu4_zKO5EYGkYECZ3Ls3aK, https://lh5.googleusercontent.com/p/AF1QipNnfOMw-0zPhqNHR2nfsj1f4Pc7x1YrJzmeE4oU, "
Royal Phoenix Hotel Bac Ninh,"16 Đ. Phù Đổng Thiên Vương, Suối Hoa, Bắc Ninh, 16000, Việt Nam","5,0",56,21.1832782,106.0430223,Bắc Ninh,Khách sạn,819.024 ₫,Ít hơn 51% so với bình thường,"Wi-Fi miễn phí, Bữa sáng miễn phí, Đỗ xe miễn phí, Có điều hòa nhiệt độ, Dịch vụ giặt ủi, Xe đưa đón ra sân bay, Trung tâm thể dục, ","https://lh5.googleusercontent.com/p/AF1QipPTQ2I095JzBsOYdvK0fVq77GB2dyAADizPcbr8, https://lh5.googleusercontent.com/p/AF1QipPiuWwPC3HaSGkw7_8Lisb9PF8dr5lkwWutf6XB, https://lh5.googleusercontent.com/p/AF1QipP-dES-zKDnyse79NEhTdoAeVjG0xGXtWMES_EX, https://lh5.googleusercontent.com/p/AF1QipPpVjbEqtz_aEiflXK2U69F1YgEJvp-3BEPR4rm, "
Center hotel Bắc Ninh,"30 Đ. Kinh Dương Vương, p, Bắc Ninh, 16000, Việt Nam","3,5",19,21.1834131,106.0463458,Bắc Ninh,Khách sạn,731.480 ₫,Không có giảm giá,,"https://lh5.googleusercontent.com/p/AF1QipNxVJClcMa707MZkt284GpUjlGma6QNjvUZ5YbY, https://lh5.googleusercontent.com/p/AF1QipPaIEIChGXcvbxy6nIRORy2P-s27JtGXM00SoY-, https://lh5.googleusercontent.com/p/AF1QipNQn7S-twdFoAzE_Xg0LFmZ__Bou1PLTwBnoqPF, https://lh5.googleusercontent.com/p/AF1QipOPWu5kW1_JfqqzYjry2nkwSi9KtormZzZSBdAE, "
Cát Tường Hotel,"Đường Nguyễn Văn Cừ, Võ Cường, Bắc Ninh, 16000, Việt Nam","4,5",31,21.1834131,106.0154468,Bắc Ninh,Khách sạn 3 sao,800.000 ₫,Không có giảm giá,"Wi-Fi miễn phí, Đỗ xe miễn phí, Bể bơi, Dịch vụ giặt ủi, Nhà hàng, Bếp ở một số phòng, ","https://lh5.googleusercontent.com/p/AF1QipM1fwq56EWgvZVZIRNHIbZL5oV1WjJwjI4je42C, https://lh5.googleusercontent.com/p/AF1QipMatdrYKYlUPi0vdq4xk7BmWHgXsYpo9Rh7aq3Z, https://lh5.googleusercontent.com/p/AF1QipPKvFNPSiYMOgPi8KkS8sMhrZWwAIBes7WEYDcD, https://lh5.googleusercontent.com/p/AF1QipMuKYF38vQOB5MpND69tgX-7-3-tFWqklF9Y7px, "
