name,address,score,reviews count,latitude,longitude,province,category,price,discount,services,description images
Hùng Cường Group - Hùng Cường Hotel,"96 Đống Đa, Châu Phú A, Châu Đốc, An Giang, Việt Nam","3,9",496,10.710618,104.8286167,An Giang,Khách sạn 3 sao,479.624 ₫,Không có giảm giá,"Wi-Fi miễn phí, Bữa sáng miễn phí, Đỗ xe miễn phí, Có điều hòa nhiệt độ, Dịch vụ giặt ủi, Phù hợp với trẻ em, Nhà hàng, ","https://lh5.googleusercontent.com/p/AF1QipN78v6rufU64sg82kCWL1EvjlAGZaSEUuEmnUHg, https://lh5.googleusercontent.com/p/AF1QipMvOLUviCd0Fk-aOigf2iAEucme8b9FZy7xzwjN, https://lh5.googleusercontent.com/p/AF1QipPhZThipRuZSXgH43l7hePa62FoVrdE7YS3JFZc, https://lh5.googleusercontent.com/p/AF1QipOvQk21impr5zEsGZYpE5wWi9sXugHJaPjSyhqN, "
Khách Sạn Ngọc Khả Tú,"Ngô Thời Sỹ, Mỹ Quý, Thành phố Long Xuyên, An Giang, Việt Nam","3,4",121,10.3595603,105.14913,An Giang,Khách sạn 1 sao,287.521 ₫,Không có giảm giá,"Wi-Fi miễn phí, Đỗ xe miễn phí, Có điều hòa nhiệt độ, Dịch vụ giặt ủi, ","https://lh5.googleusercontent.com/p/AF1QipNb037XLyureMLZsHGifNgSyUntTO4_Cf7ng9IK, https://lh5.googleusercontent.com/p/AF1QipMAiYqqTxEm61SfHSClV-DUKT2PJe17TbXqV_t4, https://lh5.googleusercontent.com/p/AF1QipOq2s4bzl9TudjPgFMz1U4rtviPC3LP3sP3DB1o, https://lh5.googleusercontent.com/p/AF1QipNBlNvWqutV0cfc7W2J5WtK-4mlRnUssMQcgU5o, "
Khách sạn Victoria Núi Sam,"M3CG+HW2, Vinh Dong 1 Nui Sam Ward Chau Doc City, Ward, Vinh Dong 1, Châu Đốc, An Giang, Việt Nam","4,6",2.432,10.6712159,104.7890541,An Giang,Khách sạn 3 sao,1.699.000 ₫,Không có giảm giá,"Wi-Fi miễn phí, Bữa sáng miễn phí, Đỗ xe miễn phí, Bể bơi ngoài trời, Có điều hòa nhiệt độ, Dịch vụ giặt ủi, Dịch vụ phòng, Phù hợp với trẻ em, Nhà hàng, Xe đưa đón ra sân bay, Spa, Quán bar, ","https://lh5.googleusercontent.com/p/AF1QipNdbouLgrgVptQF_jAr5RVbc_blc_CiwATN49w0, https://lh5.googleusercontent.com/p/AF1QipNJzlnN7Uer1V0-bGU-wGrkPPW3DJ5xTnhbkw0W, https://lh5.googleusercontent.com/p/AF1QipOQzCAflcuX8vBje03Zg4rbTaFptxpWuut3iJSb, https://lh5.googleusercontent.com/p/AF1QipNlzNg7f9P2Asr7TsdM83nxC1EWSTevEox6bTNG, "
Resort Sang Như Ngọc,"F2WF+CW4, An Hảo, Tịnh Biên, An Giang, Việt Nam","3,6",35,10.4960153,104.7364269,An Giang,Khách sạn,748.034 ₫,Không có giảm giá,"Wi-Fi miễn phí, Bể bơi, Có điều hòa nhiệt độ, Dịch vụ giặt ủi, Nhà hàng, ","https://lh5.googleusercontent.com/p/AF1QipMcfhH6DktV1Bxt6X9AAP4yRpLniTwYYF2pELST, https://lh5.googleusercontent.com/p/AF1QipMOTpP2oSIEuHQXw7VpzQSEJcNKBCrrirkEZR1h, https://lh5.googleusercontent.com/p/AF1QipMRmvLIuss8DUa1WhcHZidlXwfwOYSL2Jeppnsj, https://lh5.googleusercontent.com/p/AF1QipOjDR0Qvn1_q4eSx9kJf_UROKC08jvb738dPJJ-, "
KHÁCH SẠN HIỆP HÒA HOTEL,"Vĩnh Tây 3, Châu Đốc, An Giang, Việt Nam","4,6",65,10.6822369,104.7940998,An Giang,Khách sạn,490.507 ₫,Không có giảm giá,"Wi-Fi miễn phí, Dịch vụ giặt ủi, ","https://lh5.googleusercontent.com/p/AF1QipNFzUelyptqkvVhCyGLy_2YkiqLi_8QS5GaWaGt, https://lh5.googleusercontent.com/p/AF1QipN5WBQRG_7NPyk9n-AmEnuUHNM_lPyJwVGNflSo, https://lh5.googleusercontent.com/p/AF1QipMdgKT3VitcjNYBbs2_6GkJyPg7O9HG6MswjjKD, https://lh5.googleusercontent.com/p/AF1QipOLMAtRUCvPC9QlC9Gk24rdSVjRPrhuKr3ReX1H, "
Căn hộ Khách sạn Cao cấp Marina Plaza,"9CMP+JPP, Tổ 1, khóm Bình Long 3, Lê Văn Nhung, P. Mỹ Bình, Thành phố Long Xuyên, An Giang 880000, Việt Nam","4,4",89,10.3829873,105.1483071,An Giang,Khách sạn,673.752 ₫,Không có giảm giá,,"https://lh5.googleusercontent.com/p/AF1QipPT0DXxr-xYipB7RD4BH8fkYAn5sCKSUnjZd7vo, https://lh5.googleusercontent.com/p/AF1QipNsvZVoQELHF4WWPXeajVXmnzKUfkILpUfIZWgg, https://lh5.googleusercontent.com/p/AF1QipOaDWniEL8DftcnH3TbsgWGTG4ZzE0HOJuAbHtQ, https://lh5.googleusercontent.com/p/AF1QipNC2Gbwl1GDV9ibt7ZFKwRWD0xqg7LvSElO9BR7, "
LÁ HOMESTAY 1,"12 Đ. Số 4, Khu đô thị Tây Sông Hậu, Thành phố Long Xuyên, An Giang 90000, Việt Nam","4,4",79,10.3711152,105.1640428,An Giang,Khách sạn,304.925 ₫,Ít hơn 43% so với bình thường,,"https://lh5.googleusercontent.com/p/AF1QipMjBK_IwDhQOhR-kHnNebioWgXpbqlM7mmwa6eU, https://lh5.googleusercontent.com/p/AF1QipO42r_Xaw6OIwM_QVlAda2SjwhbluGy7dqWsDhA, https://lh5.googleusercontent.com/p/AF1QipPVV6QIeSN6l37cDTh9aHrAecGt-a3doOl_0PAD, https://lh5.googleusercontent.com/p/AF1QipNBqY-hoJ22YWYo8bTiYPWZbyoi_x-fGoMXddql, "
hotel Đại Lợi,"68 Nguyễn Văn Thoại, Châu Phú B, Châu Đốc, An Giang, Việt Nam","3,4",207,10.7097509,104.8301684,An Giang,Khách sạn 2 sao,499.366 ₫,Không có giảm giá,"Wi-Fi miễn phí, Đỗ xe miễn phí, Có điều hòa nhiệt độ, Dịch vụ giặt ủi, Nhà hàng, ","https://lh5.googleusercontent.com/p/AF1QipM8P7dtCAukg909w7In3FoXfMMk1jAV6TlqtL49, https://lh5.googleusercontent.com/p/AF1QipPZ1CBsPYBtJHaaxKWfx8lqesqYPX8B539ZFfqB, https://lh5.googleusercontent.com/p/AF1QipOEIddWwOH4WMbJqCcRxIZ-3zkKnO3P6D79QuxM, https://lh5.googleusercontent.com/p/AF1QipP8jZttk0jbFM4U2hXjCBYy_l9ajUhpO66G1LoJ, "
Khách sạn Hòa Bình 2,"08 Đ. Lê Hồng Phong, P. Mỹ Bình, Thành phố Long Xuyên, An Giang 90000, Việt Nam","3,8",717,10.389301,105.1444954,An Giang,Khách sạn 2 sao,658.060 ₫,Không có giảm giá,"Wi-Fi miễn phí, Bữa sáng miễn phí, Đỗ xe miễn phí, Có điều hòa nhiệt độ, Dịch vụ giặt ủi, Phù hợp với trẻ em, Nhà hàng, ","https://lh5.googleusercontent.com/p/AF1QipPIrcr8jMZ0C1Ab77mUIkt5g4sxigMYXnoz-dud, https://lh5.googleusercontent.com/p/AF1QipP8lMAo8C9aI_WB9VY1fNiZsrhSGtutbLOVHMO4, https://lh5.googleusercontent.com/p/AF1QipN9tS1p1ZvRbFMpl-tseLEDB8ULhujxaTnqgybq, https://lh5.googleusercontent.com/p/AF1QipPCkpe6EKtq7vhv9YSIDZoeczPl-kigc-fStRLy, "
khách sạn Trung nguyễn,"86 Bạch Đằng, Châu Phú A, Châu Đốc, An Giang, Việt Nam","3,6",240,10.7108701,104.8297865,An Giang,Khách sạn 1 sao,504.934 ₫,Không có giảm giá,"Có điều hòa nhiệt độ, Phù hợp với trẻ em, ","https://lh5.googleusercontent.com/p/AF1QipPIlqDbh3I0yxVG-RHgq4mRI7Eh53Zy6uzU654, https://lh5.googleusercontent.com/p/AF1QipOjw-rGgGX7yhNooS3fKj0REtjK5b8TFFBYJKXH, https://lh5.googleusercontent.com/p/AF1QipNRAMrwfUCYOBwTPxvJEcHY7Oy6YMeMVd_mgj34, https://lh5.googleusercontent.com/p/AF1QipMJ48rm_dOyt4id6KSXzjjXSUfAnQbb8gpwwS5J, "
