name,address,score,reviews count,province,category,price,discount,description images,latitude,longitude
Nha Binh Homestay,"Đà Nẵng, Việt Nam",Chưa xét,0,Đà Nẵng,Homestay,704.605 ₫,Không có giảm giá,"lh6.googleusercontent.com/proxy/XvdKxoXR1Ko0RAoYa2otjtSA6T70UDydW2vjHfQB4Akq3SmATONvn14EQyB9evsu_OXEnjLdtDPcEndeF0gsUnAuc_doZg183LT0I-OeZ5t48yt3zlYIJOs5vmhsp4Fa05ExWhprqk0bWLMygUWE4Bsm2gkgrA, lh5.googleusercontent.com/proxy/-6d-lrxqCTGiC7AkmG7Dw4Rkd444URyYzbyf5U1ADdFKEIPo9E0gDY5N_lLyLrlcP5WASrz0XIngXIwZhKQjHHuPPVsEg_WxIBOtmCMdQW69A0NL39wArvKi0fjO9_4s8zghnMGoaIksgMCTf5WrUbYH5ovxXk4, lh5.googleusercontent.com/proxy/Ws4qYfhle-uxYEhSq5VWlTMVafmgSxWomq-QOPHIlnNC0zIJVbbcZb-7fiMDJoLvj5fwrLbp-G3-bp0Z8fZiFwexYGWYOFLx_CEsk4AT9glZIVz9nvs9vk6G8LPLeXoAFfJ_dSmNYTh7_LbSxH7OsCcAnxhelyI, ",16.06966,108.23377
NT HOUSE,"Đà Nẵng, Việt Nam",Chưa xét,0,Đà Nẵng,Homestay,568.333 ₫,Không có giảm giá,"lh4.googleusercontent.com/proxy/U6lEFLaNn2Bw9WGhebuNhmvL0Wr220RlE_IU2VSAfKSQ6VhrDeEFZgY2vkO43a3oP0fwN9dM1LzEquQuWBoQ5VkGCCJ9jabLwnYP_vB6-skKGrlhNWWYx1WxVUOmvyLmE24o3LlJKjZMIEAl5d-Rq6VGsx-ve1M, lh4.googleusercontent.com/proxy/6Ntl-1DQLoliXcdt6NcwHsvOFGN1LmteTRvtvFiEKeX5iVB7TBj8wRclORs7irTR_2v0QGtXWDNgHoIIWROkmoUyDv088aYFjf5nT6UBl2YhS6rEgeXWkMVT6fzBskcaVJ8DnGE3vZbU_8aM0ksVQyhAHSF9Gvo, lh5.googleusercontent.com/proxy/rMVs54BZNcjy2A6LmzYzqGlc34AuFobcGAkq0NsjejCWYki0SSQjRyGd7Nk2VTogoXyQkkz_VOEgV9Op5IbQ1Rq6Dr5icgbXwsOWvxOorJSfVsMqHXrQL361D18mU8-s-kEWoxEDR72SsiPL9kQr7CT6WzPUnyc, ",16.06044,108.23753
Siro House Da Nang Homestay,"Đà Nẵng, Việt Nam","4,8",0,Đà Nẵng,Homestay,308.660 ₫,Không có giảm giá,"lh6.googleusercontent.com/proxy/ggV62EhgP2kUjVN35lEiVWg1-DVFaidSDgjzsjBKgG3md-fh_WRGrQFNj-TprolrbWUNf2h6GagdWEO-TFiKikB80JK4oTfY5hvKMTjq-Ocq9P2lFsBZJHRG67P6kOHtEn6_idyyWvYicfcYoLbxc-nLXvpL0jo, lh5.googleusercontent.com/proxy/rM-eKH7u5J1zkr4E-XTtG9AM0NYFcv3f8CmhIGJZTpl0teBVVeRrCCtOU_fG-tMnRMCp8KUeTglTRIVx4MkOiNWAYzfqDrO67f4NVOpwdScELG7QA5wg8EpAzHj09vT2HdW516tSuiQ8YgUB3iB3QLXnKVGs5A, lh3.googleusercontent.com/proxy/3sRgaHKZzF6SR_i4NprLTNGqar_4ZwCtda41VImIe8BOw9CeI_-4XI62oDST26IaTUfVUK3tFSJ8W3JDE0HGgLj_tyQQfPdk2zJ7TE4cRs299sV1pma_PQX_qCAHqSckSRnrjgv2JhFs-JBWf7Wnwj6wq5DJiA, ",16.05425,108.24035
Monarchy Luxury 2 Bedroom Apartment Danang,"Đà Nẵng, Việt Nam",Chưa xét,0,Đà Nẵng,Homestay,1.472.500 ₫,Không có giảm giá,"lh6.googleusercontent.com/proxy/kaRB1P42YmC4BDn28Y0L5bSMTibltRECXuQx73r2R6LKlg15gbIqoj-Oe2O0k9xKUexs0AfhMNWO8ata7mjATdXL9sGidwzJsllxxt2YUMWJKhNEq8hPLBZ2DuZLsKJzQSXMOOuK6_f3e4YvdqPUZFm05-OD4wM, lh5.googleusercontent.com/proxy/cSUddXa54hRZnnQUCjqZbkE2xO3co9wV5pCXe2YY4XeCN3UXTYqJhdpx5V31-056D3iYZc16hfkTkkjHQytALHJuA5fuJ4mk4EDc8tBBzvo0x5QXd5rQgjuMNvpvUgJx6UmODtx0ccfgTIa8qDfHWL62vQGgRA, lh3.googleusercontent.com/proxy/jWiiHPcv_nYesDQ93jAnhU7vhiLvSjXGNv0TI_9mFp6bAvJ4v_0hIrakP_e0dgYurKxc_RktwOCifXcns7JirJ4KWeZzswwgJ2TwC3CcdEkqWSa3ueie8YWnJ3gSvohmcWCpJ_Fno-EJFGK00w7-K1b2uHqhwqE, ",16.05482,108.23300
Moon House Da Nang,"Đà Nẵng, Việt Nam",Chưa xét,0,Đà Nẵng,Homestay,299.552 ₫,Không có giảm giá,"lh4.googleusercontent.com/proxy/HZtEbTlQh2JjjB7fKKe-PvrhV3xmuTVbPqX6nASvTBSs8r_0LDU8hTxBZ9pqR1srcxWx91nCEUQDo94srIoSw8cQvPSwJeJjOlCP9JlIlSfJNAzLXynSCCq_SDgCFoYsJt-U_RwkNYnZmTuEmIvg9xzGYcUi0E8, lh6.googleusercontent.com/proxy/rhEs6fies9qXnY2w1crcAS5tBCI08Zhc7qx9lQKldQOqlZ4W0dIV2ib4xGFbA5xVebZLTiZHYo2tvqYHWkPPBzsYkqkuurACpQYzCmlxae6KnkJAH4t4yBHUpgt9zl9NX562SnyGoXABb2SkkVlFdx3YnNfCKHc, lh4.googleusercontent.com/proxy/j9UR6qOR_ZwhUSp5sPLGb_PWuWWTslf7zWV-80iC0mnNQQ_k6ju125qEFofy1xAHYn-5xz5X6MANTV0c12KTTeOCUAAnko6VI5kRTKPgrGe21Os_GM3WipMKjTL2fW8FBlHMvCOhBiC0055DChdgm3ZBuErxIw, ",16.03066,108.24019
Ly Apartment,"Đà Nẵng, Việt Nam","4,0",0,Đà Nẵng,Homestay,345.345 ₫,Không có giảm giá,"lh5.googleusercontent.com/proxy/Inp1O0kCHB7USVieUAKvR4UAVxGmjfQYQJzFm8jhkLt453MpL60ftAHnLhlJiGJxBEgRT_yidMnKQ4hkA50pzfHONWd3KbgTLJnF5cX01JFdzmf2IW-SjGQ6LP2Crd798m5_2ZcJTt3-Um9SrSAD_9LT3YNOu20, lh6.googleusercontent.com/proxy/-g2HZ-uZJaItWx9tOqyrV3AYty4cyRpsARHzK-v4oQTcaDtnMxuC0D80_CthOU-17shdZam8SUQhb6mXSc84YCyZSFQfI4C99Ha1MxjXjuUvy0xUyFgVOW0qAXGFZsORHE83UkkfGbW6yBZ8NdIpEEI4hNr0_zs, lh5.googleusercontent.com/proxy/mQOWeRd8SatOV-aa94gdjpPwncRZLreK5fog4HTRDHWaOz7yljCKcPuu4E_XoLXuGkuzU9Xig930uuB6WWcq5JU0buPXb3FPQcKiimDf7mAqyh0HfiJMoWSwvK6s1AtCNRte-0z7x9K9WSpFA605NKXMe_Ev-KU, ",16.08950,108.21572
Urban Escape in Villa Indochine by Mỹ Khê Beach,"Đà Nẵng, Việt Nam",Chưa xét,0,Đà Nẵng,Homestay,1.027.180 ₫,Không có giảm giá,"lh3.googleusercontent.com/proxy/LI8NKDTCCxVtuWE0-IU7-iZWcj5RBbDUholfJam5Ez8OvHF5pRHJhqMKXf0-DmhCmF74CNm26SbCvqALtInMb-VlGB-W410V2A56lJVVDtEVRJJL2-WZZKjoph16yBlpqNa6qbFEYvHh2LSe_GvNWrKzG9dVvbY, lh6.googleusercontent.com/proxy/wR-5MLKtsn7kMI18VpLmG4cFMqvCmBHsf9QeixsM_EtlHixdEiIIYnzlCEUhXrBkFNR8Wd-AShlFDZL08pJaoRkeTq0KcH7X6S7rjNUHKEGSL7Lwov9NsQKS0msFpNfEwWjv3OyoM3lJDAZL4YPhMmXRYFr7zg, lh6.googleusercontent.com/proxy/hshO0YT4lccN0l1J8hedduc6hsrMUJYKUpvCmfdMjF-41_nGtU-DMbX0XMQt6FZyk6COS1kWfjtBMCwvxeUor-fBWua4tECzKJzyRSir3hSuXaUFwhCr68aVYTAG90RTRbNrXPVlc24fldHPM3zeN7y8sIKsK8I, ",16.05383,108.23815
Sena home 3*2*Overlooking Danang Dragon bridge,"Đà Nẵng, Việt Nam",Chưa xét,0,Đà Nẵng,Homestay,426.261 ₫,Không có giảm giá,"lh5.googleusercontent.com/proxy/8MznLaIZ8PWWB10FfCR8wuHs8JiC0EFd7QnrsGVNhiJsRMblh2BQoGjFoAMl7LvNiyh5aXa6f8RGKZwL3ubCD6ZwU6oeMMMvfgv0q9ILF8GSp0-f7olRf4EYFCYG1BnTWaz3ujxW4D2v2EKFwnvJ6kg-SKJDDe4, lh6.googleusercontent.com/proxy/66F0jgdxVWr8b5FmoPCbojqx1iweboyl6G5RzA_jwC8ybFJWHuvPznZrb80WFei7yg-P8OhkDngL_vs4akLqsYjUR_fMgHVvPXaqMkxTuApLjfOPPWoHpO_Hh6GdPFUyUByMucl8Dm0bP0Svcm7jrxHWtwpil20, lh3.googleusercontent.com/proxy/rGpQsl-ZBEIODWrv0ZqA4ERaeigrkwCTJ1t8K1WWVGDAkK3fPJFxJ9bjjl3KsZH6wbIjFY1-fMN5Vz26bNr-ndn6znGvMUj2DbhqICRBCmMsiTVTr9l4jpVgx844XPo2XnTiSLolmoJiRhy0HsFG6CEAvUxR1A, ",16.06023,108.23150
Q Apartment Da Nang,"Đà Nẵng, Việt Nam","4,7",0,Đà Nẵng,Homestay,838.062 ₫,Không có giảm giá,"lh4.googleusercontent.com/proxy/Y1IrcImtVDO57iXlDVy5T35W18i3LxGlytHQFBVGnbsWaaHlCK3_LELe3LspdVNAukC4AgI1UN9rjzcngGFHoiJbafPQMti4ldZL8HxPGuN4q9ADpbn1Bvub-sbX1HMtnpf4JAtxn9jTMoISl0idMJWfJ-hcvQ, lh4.googleusercontent.com/proxy/qYbAdG75zLkcQjl-k2a5uEWSOGVzCNIdAHbqqxROfmUe4Xi5tYhy84ficbVPZetNeI2OT9DzGzDFIgpFPZTag-1ZSwmidAuXX4BVnc2zAH5xrPsSMYnCqM6Yh-F00zI7NuZJNH-aduFNDPUQrhxNXiNDEz4PtGU, lh3.googleusercontent.com/proxy/2XN_RztupOL_ln_fQIAMfMbKUtBSLNrNkjhvUKlfSbuzuw7HULjyi2MKqBuJm9yN9pG61xut4FjOEf2hFdCif33vdKy-AzrIRXgpBnSiUm6hfGMSxA70XrSeOc2NIOj41lI16tqRUMevOh0vjwwY2BiOTd5FZQ, ",16.06855,108.22330
Casa Rosa Apartment,"Đà Nẵng, Việt Nam","4,9",0,Đà Nẵng,Homestay,498.157 ₫,Không có giảm giá,"lh3.googleusercontent.com/proxy/GPAuYRogTx4J9NG-E_I-55s_XycKby8PFPrH7sl0l5QLxQPhZBTYDm7OUNaT-4T-8sj9EungPir6jjHJM3-2ZEcDgA7ymvUtvYuN93zRgiv_KzGDOXntTFXKUWbBxI-sAoj0orK0cqCMFlxPiHD0BUcim4JKNFk, lh5.googleusercontent.com/proxy/_B1anmzjXamdfxqB5MW9tJQ6WAmBn_BUZ0aT0WW-tBDopHLLhOiY3z3UUjFHhIXm5KX6RHumZNrJT6vwFPryGON4xqGeOXGgrFDbPGxxlYdaS1KcdbEJ8H8fJeoLd9_WZsTdFIdbuQRjiqoUiLxhwKrS_Z5dCF8, lh4.googleusercontent.com/proxy/G2OAHBdg70XLAoXPg2p-Cqz8GezogzUMs59w_lswVQwNugiGY-IWOaq9CsbX2nVq7bBpHdOWUGnsoYPSM2h9jnfyDGT4UIvTEDA9FBVVeMO0YbPKD4-V1hVJuoCdEivTjKg22MMPpn_jkqadNqA418ytAsPuxA, ",16.05814,108.24459
