name,score,category,price,address,province,review count,description images
Phá Tam Giang,4.6,Lagoon,Không có giá,Thừa Thiên Huế,Thừa Thiên Huế,420,"https://lh3.googleusercontent.com/p/AF1QipN_NjrqyLlTPqoQcnATivIDR54COzZw3KxjiapN, https://lh3.googleusercontent.com/p/AF1QipNfpqNc18PVWk4GMf0PnfhFRnUa7HdmAzfN_iE8, "
Sông Hương,4.5,Sông,Không có giá,Thừa Thiên Huế,Thừa Thiên Huế,351,"https://lh3.googleusercontent.com/p/AF1QipN1mt3xxES5a3Go-whlCNEdSSVAEuB1LX11wn5t, https://lh3.googleusercontent.com/p/AF1QipN4e-TQ_1gdyFbgMCqp7PJrc6EqzGeg39kKkyOn, "
núi Ngự Bình,4.2,Đỉnh núi,Không có giá,"An Cựu, Tp. Huế, Thừa Thiên Huế",Thừa Thiên Huế,61,"https://lh3.googleusercontent.com/p/AF1QipMt65l3zS8J-AaEAPy-XfvOOkuZ2zaVyqb0mcU9, https://lh3.googleusercontent.com/p/AF1QipPyv6GfKytTFo6Bc2CvEuSzs9bsyvgB1j6juFIU, "
Điện Hòn Chén,4.4,Điện thờ,Không có giá,"CHC7+Q5H, Làng Hải Cát, Hương Trà District, Thua Thien Hue",Thừa Thiên Huế,213,"https://lh3.googleusercontent.com/p/AF1QipMW6j2szHgW78-_5sgiNV4Ek6Yue0y-qHLLcotQ, https://lh3.googleusercontent.com/p/AF1QipNvWqxo63waOmuyZgnHJLfeqDeHIUg8DTO8dKSI, "
Lăng Hoàng đế Gia Long,4.7,Địa điểm lịch sử,Không có giá,"9H6W+PP8, Hương Thọ, Hương Trà, Thừa Thiên Huế",Thừa Thiên Huế,788,"https://lh3.googleusercontent.com/p/AF1QipOVWKxRCKV0q_9R7UruOyJepn-QIz8ABblxB_Q5, https://lh3.googleusercontent.com/p/AF1QipMzYyMbz2PznStQhjFiUyidEMYqEv_nbenVh6iv, "
Huyền Không Sơn Thượng,4.7,Chùa phật giáo,Không có giá,"FF2V+FJX, Chầm, Hương Hồ, Hương Trà, Thừa Thiên Huế",Thừa Thiên Huế,1.223,"https://lh3.googleusercontent.com/p/AF1QipPJrxBUuqHELyRn9z00vsC2mbtF4_E7ICsu9wD7, https://lh3.googleusercontent.com/p/AF1QipNgMKHMoaYgZe6mFRug5FMEKtZHOjKzhkdowewG, "
Bãi biển Thuận An,4.6,Bãi biển,Không có giá,Thừa Thiên Huế,Thừa Thiên Huế,755,"https://lh3.googleusercontent.com/p/AF1QipPJrxBUuqHELyRn9z00vsC2mbtF4_E7ICsu9wD7, https://lh3.googleusercontent.com/p/AF1QipNgMKHMoaYgZe6mFRug5FMEKtZHOjKzhkdowewG, "
Hồ Thuỷ Tiên,4.5,Điểm thu hút khách du lịch,Miễn phí,"CH5H+5CG, hồ Tiên, Thủy, Thủy Bằng, Hương Thủy, Thừa Thiên Huế",Thừa Thiên Huế,1.352,"https://lh3.googleusercontent.com/p/AF1QipP_nhNNazlTuvxM4ORwxwEF-EAlii4hKeOS5eqi, https://lh3.googleusercontent.com/p/AF1QipPD8xM4mhEETKbp9MCaRqUWBUosyBVULk0w0AUF, "
Nhà vườn An Hiên,4.0,Điểm thu hút khách du lịch,Không có giá,"58 Nguyễn Phúc Nguyên, Hương Long, Huế, Thừa Thiên Huế",Thừa Thiên Huế,832,"https://lh3.googleusercontent.com/p/AF1QipOkrBQOYHAtn-N2ABntY5lG06xoyfKVrALCJs_Y, https://lh3.googleusercontent.com/p/AF1QipOlpBIa71JNhYj7sw_W6BcSs6wG0Eykewwi2amm, "
Nhà Thờ Chính Tòa Phủ Cam,4.7,Nhà thờ Công giáo,Không có giá,"1 Đoàn Hữu Trưng, Phước Vĩnh, Huế, Thừa Thiên Huế",Thừa Thiên Huế,1.587,"https://lh3.googleusercontent.com/p/AF1QipNczg-oiplFErq3k7D1iXgiCKckDS05ls5BbHMU, https://lh3.googleusercontent.com/p/AF1QipOj6tr42D9CBQ2VGrJmFAMs3JU2FAQw7ELsRo9Q, "
Bãi biển Lăng Cô,4.5,Bãi biển,Không có giá,Thừa Thiên Huế,Thừa Thiên Huế,409,"https://lh3.googleusercontent.com/p/AF1QipPZ5ywMo43H9lvQEi4PkYPzlQ-56giv3WzEk0E, https://lh3.googleusercontent.com/p/AF1QipPpyUBsExl5dqc6FEjtXhBSUQ_PorW6gZXOclqN, "
Núi Bạch Mã,5.0,Mountain range,Không có giá,"Hòa Vang, Đà Nẵng",Thừa Thiên Huế,5,"https://lh3.googleusercontent.com/p/AF1QipM0loC7bkueOH_TvzaGs6FZGZbtHWcL6tbRHpzN, https://lh3.googleusercontent.com/p/AF1QipMkGWbxwHIDLQ0-cyn0egETeL22lXzKalPEN_4Y, "
Đầm Chuồn,4.3,Đầm lầy,Không có giá,"Phú Vang, Thừa Thiên Huế",Thừa Thiên Huế,236,"https://lh3.googleusercontent.com/p/AF1QipNO23cFrxk8Kjpw18-AqWzafjZcz4-B6WH5SiPf, https://lh3.googleusercontent.com/p/AF1QipOlEzxmwx6xBkMZyTqw9Dkgvtac7XpXrrtCVxw6, "
Phố đi bộ Huế,4.4,Điểm thu hút khách du lịch,Không có giá,"Chu Văn An, Phú Hội, Huế, Thừa Thiên Huế",Thừa Thiên Huế,1.552,"https://lh3.googleusercontent.com/p/AF1QipPsmmm6wBrC060Gv31D4X5b89VvyACVyFXjtS2J, https://lh3.googleusercontent.com/p/AF1QipPqaFPYTVkN4fQQfdOqOBh0bSZ1kJkqq4zhFRW3, "
Chùa Từ Đàm,4.6,Chùa phật giáo,Không có giá,"1 Sư Liễu Quán, Trường An, Huế, Thừa Thiên Huế",Thừa Thiên Huế,778,"https://lh3.googleusercontent.com/p/AF1QipNbLEJTha26PQTDEnVUwVvvkEukhVs1I8zQ8L3Q, https://lh3.googleusercontent.com/p/AF1QipMm6TX2pDyIiHVxtT5LriwAfHHXprG8ouL_K2U, "
Thiền viện Trúc Lâm Bạch Mã,4.6,Chùa phật giáo,Không có giá,"Lộc Điền, Phú Lộc, Thừa Thiên Huế",Thừa Thiên Huế,469,"https://lh3.googleusercontent.com/p/AF1QipM1Wo1xAV5dTRAupNEF4S-S5tA8cWMuya_00sr1, https://lh3.googleusercontent.com/p/AF1QipOfeVZVkCDipbilQCDSPugFwJ8QB1trZ9BpXXDH, "
Đàn Nam Giao,4.3,Nghệ thuật,Không có giá,"CHQM+434, Trường An, Huế, Thừa Thiên Huế",Thừa Thiên Huế,61,"https://lh3.googleusercontent.com/p/AF1QipNmDxDP_LdTFy4BlmB2Vl1WGB3sP7ByZ5DEQmc6, https://lh3.googleusercontent.com/p/AF1QipNodq3Cf86fAoGnZTDDwTkSyFicHLxDxKFwoQtb, "
Bãi biển Cảnh Dương,4.3,Bãi biển,Không có giá,"Lộc Vĩnh, Thừa Thiên Huế",Thừa Thiên Huế,156,"https://lh3.googleusercontent.com/p/AF1QipNjIQKQdLkvWaAcINnfP-gD3gAWoASvAPf1XqpH, https://lh3.googleusercontent.com/p/AF1QipOHDoADKJKCrMRouHVMbaxGwePHzONbk9UHq4xv, "
Kinh thành Huế,4.5,Địa điểm lịch sử,200.000 ₫,"Huế, Thừa Thiên Huế",Thừa Thiên Huế,35.813,"https://lh3.googleusercontent.com/p/AF1QipNIg50hHEZnFEyBV_wA6TiH6OaIvfx9lgu-dsrc, https://lh3.googleusercontent.com/p/AF1QipNyKgtVQ2Hm6OklijaXlhR8Pnv93V88DfXCZsJ7, "
Suối Khoáng Nóng Alba Thanh Tân - Alba Hot Spring Resort,4.0,Khách sạn,Không có giá,"Phong Sơn, Phong Điền, Thừa Thiên Huế",Thừa Thiên Huế,không có đánh giá,"https://lh3.googleusercontent.com/p/AF1QipP1fN4ELtRZUS3GKtoL5ORVVpBDAUyeExRASpCd, https://lh3.googleusercontent.com/p/AF1QipOZco75sTBS7EFrVsM4YR3kbVNVTHIf28I2CoUP, "
Ngọ Môn,4.6,Tượng đài,Không có giá,"FH9H+3MF, Phú Hậu, Huế, Thừa Thiên Huế",Thừa Thiên Huế,1.528,"https://lh3.googleusercontent.com/p/AF1QipOlhZ6qtQ8e4NZxF1hzYQfWXZ8Dbm08UKzpHGps, https://lh3.googleusercontent.com/p/AF1QipPJVG0XV5s1wk4xmcraFs66SejBsT845v8LML_S, "
