name,score,category,price,address,province,review count,description images
Quan Âm Phật Đài,4.6,Chùa phật giáo,Miễn phí,"Đê Biển, Phường Nhà Mát, Bạc Liêu",Bạc Liêu,11.125,"https://lh3.googleusercontent.com/p/AF1QipPWM7rn9L-_7w0QB3RbQArJ7TJqbZCslRbJy7cx, https://lh3.googleusercontent.com/p/AF1QipOtFh-jnIG4ySkV3BhLM2CMfOLk6fEOXlRsX6iR, "
Nhà Công tử Bạc Liêu,4.3,Bảo tàng,Không có giá,"13 Điện Biên Phủ, Phường 3, Bạc Liêu",Bạc Liêu,2.348,"https://lh3.googleusercontent.com/p/AF1QipPWM7rn9L-_7w0QB3RbQArJ7TJqbZCslRbJy7cx, https://lh3.googleusercontent.com/p/AF1QipOtFh-jnIG4ySkV3BhLM2CMfOLk6fEOXlRsX6iR, "
Chùa Xiêm Cán,4.6,Chùa phật giáo,Không có giá,"7Q3X+C5W, ĐT31, Vĩnh Trach Đông, Bạc Liêu",Bạc Liêu,1.364,"https://lh3.googleusercontent.com/p/AF1QipN4uzKLDQrGOtgn_2DixMOoHbP1AhLYX1BTzx2q, https://lh3.googleusercontent.com/p/AF1QipMdReZsJtxUfWtG-ydzOxFoyjhjzX9ney_zesmq, "
Vườn nhãn cổ trên trăm tuổi,4.3,Điểm thu hút khách du lịch,Không có giá,"ĐT31, Vĩnh Trach Đông, Bạc Liêu",Bạc Liêu,162,"https://lh3.googleusercontent.com/p/AF1QipPOS4_LAy-NXzRo4EJ9yFTlvUVnVvNbNXEzLB1a, https://lh3.googleusercontent.com/p/AF1QipOiQTBDgOQWHFHDKYWrlgS-MT9rYmPx2LkEVkct, "
Quảng trường Hùng Vương,4.5,Công viên thành phố,Không có giá,"7PVG+72J, D. Nguyễn Tất Thành, Phường 7, Bạc Liêu",Bạc Liêu,1.943,"https://lh3.googleusercontent.com/p/AF1QipOIjRW4g1kYQo8Xoz9J256F3BBToC_uAbEyO04g, https://lh3.googleusercontent.com/p/AF1QipNILOHYzpgCs31AZ5osRdKd7iKyVkLRm9Ih6qPl, "
Cánh Đồng Điện Gió Bạc Liêu,4.5,Điểm thu hút khách du lịch,Không có giá,"6RVC+5R7, Điện gió Bạc Liêu, Vĩnh Trach Đông, Bạc Liêu",Bạc Liêu,543,"https://lh3.googleusercontent.com/p/AF1QipO9x83ecArI7VuiPFvQnquWZa8CxXCgDfJfsOGM, https://lh3.googleusercontent.com/p/AF1QipN2yzk4fDz0C-KldwxomCLlhPtJaQPIT8gj-Jaj, "
Nhà hát Cao Văn Lầu,4.4,Nhà hát vòng tròn,Không có giá,"7PVG+JCF, Phường 1, Bạc Liêu",Bạc Liêu,1.146,"https://lh3.googleusercontent.com/p/AF1QipNvxuV_f11wP3o5sDd9nZEFQzyLmfajwOhA4n8J, https://lh3.googleusercontent.com/p/AF1QipP4LlxpKNqF5EL9m0llderDL6DlhIIQAkUb9uyF, "
Khu tưởng niệm Nhạc sĩ Cao Văn Lầu,4.4,Memorial estate,Không có giá,"7PGG+F34, Ninh Bình, Bạc Liêu",Bạc Liêu,403,"https://lh3.googleusercontent.com/p/AF1QipPXJQXRBEpqHlRy4OHqWiLfSKfn6qr485d-07iD, https://lh3.googleusercontent.com/p/AF1QipMD-XAAQXuJdHNBl3fsnRt0HeNl4VnXPtWD0yff, "
Chùa Ghôsitaram,4.6,Chùa phật giáo,Không có giá,"8Q52+2V7, ĐH12, Hưng Hội, Vĩnh Lợi, Bạc Liêu",Bạc Liêu,266,"https://lh3.googleusercontent.com/p/AF1QipPHOlOU1XSQva8GaVFSquWrhY_aAC2AvhXilAzX, https://lh3.googleusercontent.com/p/AF1QipNgP4bF2kv4gQja72Z3MbcmhM6QItmVz1sRmk3G, "
Vườn chim Bạc Liêu,3.7,Khu bảo tồn thiên nhiên,Không có giá,"Phường Nhà Mát, Bạc Liêu",Bạc Liêu,627,"https://lh3.googleusercontent.com/p/AF1QipPw_6gF3xdShKrEUSfVdxkRfvzxkWKcHIHRRjkE, https://lh3.googleusercontent.com/p/AF1QipM1-_kInzlKawh1yVWlfq8at7dNSUYneDTc8XXv, "
薄藔- 福德古廟- Phước Đức Cổ Miếu,4.7,Nơi thờ cúng,Không có giá,"7PMF+PMW, Điện Biên Phủ, Phường 3, Bạc Liêu",Bạc Liêu,40,"https://lh3.googleusercontent.com/p/AF1QipPwQNEtPUMqsD14IHq-ZLHRVPTWDpnYw990Al9D, https://lh3.googleusercontent.com/p/AF1QipPEg5iBp4Ir3GbXCWDrxBa6C_Xv_8gEqfa5iYR8, "
Thánh đường Tắc Sậy,4.7,Nhà thờ Công giáo,Miễn phí,"Ấp 2, QL1A, Tân Phong, Giá Rai, Bạc Liêu",Bạc Liêu,8.669,"https://lh3.googleusercontent.com/p/AF1QipO-9kHkVHJEl_Ylz6HuhQo7TnBEZD9imE_zYbr8, https://lh3.googleusercontent.com/p/AF1QipN7677lgm04uspXRm04nUPwNE-_G9DqRWUfRrpe, "
Khu Du Lịch Nhà Mát - Nhà Hàng,3.8,Công viên xe dã ngoại,Không có giá,"Bạch Đằng, Phường Nhà Mát, Bạc Liêu",Bạc Liêu,1.131,"https://lh3.googleusercontent.com/p/AF1QipN1aSBmI5dA6bh_4gLW9d_nhgTT9KaVbvKfapsm, https://lh3.googleusercontent.com/p/AF1QipPTviE5VzcqTIXnSQB6eXbMlpQ-Kja6a9iWVu51, "
