id,name,address,score,reviews count,latitude,longitude,province,category,price,discount,services,description images
22,Royal Beach Hotel,"70-72 Loseby, An Hải Bắc, Sơn Trà, Đà Nẵng 550000, Việt Nam","4,2",98,16.0735325,108.2061822,Đà Nẵng,Khách sạn,180.976 ₫,Ít hơn 15% so với bình thường,,"https://lh5.googleusercontent.com/p/AF1QipNyF77u6HdXy7DrHRiki6MeBk4cvZwIOIwv3VJ_, https://lh5.googleusercontent.com/p/AF1QipPR_udVMtUxTPAjH2oUpuUClVdbhBGdL7Xo6-z5, https://lh5.googleusercontent.com/p/AF1QipPtDKEj7RuqdI825YxhYisulQ3fRFhZi5NauCi9, https://lh5.googleusercontent.com/p/AF1QipNb6CNu694Z3w2BgH6iKPuF5jMNOhNolHl2wxje, "
23,Quốc Cường Center Đà Nẵng Hotel by Haviland,"322- 324, Hoàng Diệu, Bình Hiên, Hải Châu, Đà Nẵng 550000, Việt Nam","4,5",921,16.0735325,108.1752832,Đà Nẵng,Khách sạn 3 sao,255.840 ₫,Không có giảm giá,"Wi-Fi miễn phí, Bữa sáng miễn phí, Đỗ xe miễn phí, Phù hợp cho người khuyết tật, Bể bơi ngoài trời, Có điều hòa nhiệt độ, Dịch vụ giặt ủi, Phù hợp với trẻ em, Nhà hàng, Bếp ở một số phòng, Xe đưa đón ra sân bay, Bồn tắm nước nóng, Spa, Không hút thuốc, ","https://lh5.googleusercontent.com/p/AF1QipPSqK9fDkeR9c5bKtrgap83MtPwFOYUMANRM4BO, https://lh5.googleusercontent.com/p/AF1QipOiE34cDjlHVgQcxptIURnwCtjUmt3RzHKFOL-P, https://lh5.googleusercontent.com/p/AF1QipMMfX483UrbRFoi4Il1ew-b3KVY74Jsbq_cSCRs, https://lh5.googleusercontent.com/p/AF1QipNd7t3z-XEgkQ4ALQ11K1dZVqDagPn21Fmozegf, "
24,Seahorse Han Market by Haviland,"07 Nguyễn Thái Học, Hải Châu 1, Hải Châu, Đà Nẵng 550000, Việt Nam","4,7",527,16.0677959,108.1884932,Đà Nẵng,Khách sạn,712.765 ₫,Không có giảm giá,"Wi-Fi miễn phí, Có điều hòa nhiệt độ, Dịch vụ giặt ủi, Phù hợp với trẻ em, Xe đưa đón ra sân bay, ","https://lh5.googleusercontent.com/p/AF1QipPlj93hs_63fHi6LZNEaF0k7D0O5j2Fgx8VzW1a, https://lh5.googleusercontent.com/p/AF1QipMbiTsyjNSB8zNv3Xo56HHGnq3TEEm98ZyjP500, https://lh5.googleusercontent.com/p/AF1QipPfJEZJtWZTPc9CIUmAD_JrwYZ3d7hkUEF3Gjun, https://lh5.googleusercontent.com/p/AF1QipMf9C3hpErOQWi1jIuE5e4qZ6R7p91LcDVqYol9, "
25,Sanouva Danang Hotel,"68 Phan Châu Trinh, Hải Châu 1, Hải Châu, Đà Nẵng 550000, Việt Nam","4,4",1.955,16.0669752,108.1839965,Đà Nẵng,Khách sạn 4 sao,712.871 ₫,Ít hơn 19% so với bình thường,"Wi-Fi miễn phí, Bữa sáng miễn phí, Bãi đỗ xe, Bể bơi ngoài trời, Có điều hòa nhiệt độ, Dịch vụ giặt ủi, Dịch vụ phòng, Phù hợp với trẻ em, Nhà hàng, Bếp ở một số phòng, Xe đưa đón ra sân bay, Spa, Trung tâm thể dục, Quán bar, ","https://lh5.googleusercontent.com/p/AF1QipONvz6zkY8UtZeIkfk-pggSSbyLZo2lAbua2YHi, https://lh5.googleusercontent.com/p/AF1QipP-bhYfcEg1C7NHBGtoU3wg0luz1WzvziynL5q7, https://lh5.googleusercontent.com/p/AF1QipMieaN4GrradkEaougBHGuU9Hh3quU06SOxjiih, https://lh5.googleusercontent.com/p/AF1QipObnGH4AK84ndiWRN1WVQ5qnCYDDdtcmARClQIZ, "
26,Paris Deli Danang Beach Hotel,"236 Võ Nguyên Giáp, Phước Mỹ, Sơn Trà, Đà Nẵng 550000, Việt Nam","4,2",1.250,16.0662858,108.2088483,Đà Nẵng,Khách sạn 4 sao,1.028.392 ₫,Không có giảm giá,"Wi-Fi miễn phí, Bữa sáng miễn phí, Bể bơi ngoài trời, Có điều hòa nhiệt độ, Dịch vụ giặt ủi, Trung tâm thương mại, Có đường ra bãi biển, Dịch vụ phòng, Phù hợp với trẻ em, Nhà hàng, Xe đưa đón ra sân bay, Bồn tắm nước nóng, Spa, Trung tâm thể dục, Quán bar, ","https://lh5.googleusercontent.com/p/AF1QipOAGfVZfupB6L-lgptAmghC19hnr5taqBXbadN7, https://lh5.googleusercontent.com/p/AF1QipOXw7BRx0kYweZ_cKiu0ugUe9I8XPg35rnfLP2X, https://lh5.googleusercontent.com/p/AF1QipNC5LvaUVokbtjNQvJDKFDWZ8WP3mAQZJ6PNyWy, https://lh5.googleusercontent.com/p/AF1QipPqEoZhRDtofHQ3E6y2bdgNYvxEDgb-jIavYJW5, "
27,Sbay Hotel Đà Nẵng,"03 Đinh Thị Hòa, An Hải Bắc, Sơn Trà, Đà Nẵng 550000, Việt Nam","4,0",398,16.0711299,108.2001963,Đà Nẵng,Khách sạn 3 sao,194.588 ₫,Không có giảm giá,"Wi-Fi miễn phí, Bãi đỗ xe, Dịch vụ giặt ủi, Nhà hàng, Bếp ở một số phòng, Xe đưa đón ra sân bay, ","https://lh5.googleusercontent.com/p/AF1QipMaT3DIs7ji8rqE_f2theJOpyu8C2ktVy_f8GXZ, https://lh5.googleusercontent.com/p/AF1QipOq3d2RbJa3F2cfNPbtv2EODEK1M7a3bjhLZeE7, https://lh5.googleusercontent.com/p/AF1QipOlFgfGfEe8y9Jc4Np1WdUbE7JhNEz13d7Co5wF, https://lh5.googleusercontent.com/p/AF1QipMr3jPjJACv9d1_FFL3C12ss1tBhvrC33k5Lawl, "
28,Royal Family Hotel,"39 Võ Văn Kiệt, Phước Mỹ, Sơn Trà, Đà Nẵng 550000, Việt Nam","4,0",383,16.0630254,108.207644,Đà Nẵng,Khách sạn 3 sao,313.263 ₫,Ít hơn 18% so với bình thường,"Wi-Fi miễn phí, Bữa sáng miễn phí, Bãi đỗ xe, Có điều hòa nhiệt độ, Dịch vụ giặt ủi, Có đường ra bãi biển, Phù hợp với trẻ em, Nhà hàng, Xe đưa đón ra sân bay, ","https://lh5.googleusercontent.com/p/AF1QipN0LcK3Tass5LAat8z5AInD3XVxZmH3gJ6QfhVP, https://lh5.googleusercontent.com/p/AF1QipPYuS9Af0f1YCOOx_4utb50y70VxeRwdaM89XZS, https://lh5.googleusercontent.com/p/AF1QipO6cdcgXozog6VMSq0ecnM5h99Xbm53y-qibu8e, https://lh5.googleusercontent.com/p/AF1QipNYCzQs9M3AjkGtPkRP-ncETVOBNzGS9Io1_tFS, "
29,Canvas Danang Beach Hotel,"234 Võ Nguyên Giáp, Phước Mỹ, Sơn Trà, Đà Nẵng 550000, Việt Nam","4,8",1.211,16.0663623,108.2090003,Đà Nẵng,Khách sạn 4 sao,1.045.000 ₫,Không có giảm giá,"Wi-Fi miễn phí, Bữa sáng miễn phí, Đỗ xe miễn phí, Bể bơi ngoài trời, Có điều hòa nhiệt độ, Dịch vụ giặt ủi, Có đường ra bãi biển, Dịch vụ phòng, Nhà hàng, Xe đưa đón ra sân bay, Bồn tắm nước nóng, Spa, Trung tâm thể dục, ","https://lh5.googleusercontent.com/p/AF1QipMOAYN0YD44JJ6haxrxWcZ6O5wpyTSeT0bcaIpS, https://lh5.googleusercontent.com/p/AF1QipP0hhuDVaTBRRpPAcChuP40xuF1dL7N-sfHGO_E, https://lh5.googleusercontent.com/p/AF1QipORon73pBgK3W5jc0LalVKNCioQXcBUz-sFQ3QP, https://lh5.googleusercontent.com/p/AF1QipM2fmX6pS_papbKIWNAEjx3qdEuHKPSpcaaUzXO, "
30,Mường Thanh Luxury Đà Nẵng Hotel,"270 Võ Nguyên Giáp, Bắc Mỹ Phú, Ngũ Hành Sơn, Đà Nẵng 550000, Việt Nam","4,4",5.013,16.0537175,108.2113147,Đà Nẵng,Khách sạn 5 sao,1.470.303 ₫,Không có giảm giá,"Wi-Fi miễn phí, Bữa sáng miễn phí, Đỗ xe miễn phí, Phù hợp cho người khuyết tật, Bể bơi ngoài trời, Có điều hòa nhiệt độ, Dịch vụ giặt ủi, Trung tâm thương mại, Có đường ra bãi biển, Dịch vụ phòng, Phù hợp với trẻ em, Nhà hàng, Xe đưa đón ra sân bay, Bồn tắm nước nóng, Spa, Trung tâm thể dục, Quán bar, ","https://lh5.googleusercontent.com/p/AF1QipMZIi49Z9tOS5UCHfJOewDcVZd6AwzXzux7QMAz, https://lh5.googleusercontent.com/p/AF1QipOhypJ2dYmoEIlO3BDi2wbGGPNnnihl7z9H4Jz6, https://lh5.googleusercontent.com/p/AF1QipPKePFRRut70vgxyv2Z1o5jnZOH1waEZksdM1aH, https://lh5.googleusercontent.com/p/AF1QipMzEsSxHnzOdIBjyuiEJST4vhxRkxB8OiaaWxk1, "
31,Sea Queen Hotel,"155 157 Lê Quang Đạo, Bắc Mỹ Phú, Ngũ Hành Sơn, Đà Nẵng 550000, Việt Nam","4,3",876,16.0508871,108.2093999,Đà Nẵng,Khách sạn 3 sao,283.845 ₫,Ít hơn 28% so với bình thường,"Wi-Fi miễn phí, Bữa sáng miễn phí, Đỗ xe miễn phí, Bể bơi ngoài trời, Có điều hòa nhiệt độ, Dịch vụ giặt ủi, Có đường ra bãi biển, Nhà hàng, Xe đưa đón ra sân bay, Quán bar, Không hút thuốc, ","https://lh5.googleusercontent.com/p/AF1QipOKyL2-Z_4v72mmaGbQQ4vzZMxc5nE1Z3qu7T5G, https://lh5.googleusercontent.com/p/AF1QipOjtwkJl5La15xWP4oEl9Ees0dvtVs5sRw7OZBT, https://lh5.googleusercontent.com/p/AF1QipNxWxtZSZDzcRsByws4Sts24imzTw2LzJjJS8h8, https://lh5.googleusercontent.com/p/AF1QipNJ3GqVTzhH1OLSP2edEkbTnA1DcEFF-W7K8Dih, "
