hotel,price,score,avg review,reviews count,province,address,description images
Crystal hotel by Ha My,VND 1.271.194,"Đạt điểm 9,0",Tuyệt hảo,9,Đà Nẵng,"206 Hồ Nghinh, Đà Nẵng, Việt Nam ","https://cf.bstatic.com/xdata/images/hotel/max1024x768/592045738.jpg?k=2de7c0016ecfa0598f95760e2f3cffabd134137e632e134bd4f4e357d8fb97f8&o=&hp=1, https://cf.bstatic.com/xdata/images/hotel/max500/592041678.jpg?k=555a66258aa9f5de2688f52ab798c4afdd0277a1f9361c6126e8e7bdef6f7503&o=&hp=1, "
Nostalgia Boutique Hotel,VND 1.001.160,"Đạt điểm 8,4",Rất tốt,773,Đà Nẵng,"11A Ho Xuan Huong Street, Đà Nẵng, Việt Nam ","https://cf.bstatic.com/xdata/images/hotel/max1024x768/578752474.jpg?k=4abbabd9102c4d9f7de5c3dd8bdcef76eeae702e108231cfcfeb8e16cad55ac5&o=&hp=1, https://cf.bstatic.com/xdata/images/hotel/max500/578751027.jpg?k=d810cd9b720e4d13cd631bcb85d586cb7e3757e7cef98c3b8a27678fbbeb35be&o=&hp=1, "
Moonlight Hotel & Spa VIP - Center City Han River & Dragon Bridge View,VND 1.547.000,"Đạt điểm 9,2",Tuyệt hảo,17,Đà Nẵng,"136-138-140 Phan Chu Trinh, Đà Nẵng, Việt Nam ","https://cf.bstatic.com/xdata/images/hotel/max1024x768/21758044.jpg?k=174b3e03d203ea6e74b2a8f0a3bfbe45659e651ee5c825afbcd48755d27fef0b&o=&hp=1, https://cf.bstatic.com/xdata/images/hotel/max500/21757768.jpg?k=bf9906066203f35838db9a230306f5c2c7e40c79c0418bd91406554af746e796&o=&hp=1, "
Golden Rose Hotel by THG,VND 1.675.000,"Đạt điểm 8,9",Tuyệt vời,3.152,Đà Nẵng,"56 Loseby Phường An Hải Bắc, Quận Sơn Trà, Đà Nẵng, Việt Nam ","https://cf.bstatic.com/xdata/images/hotel/max1024x768/344274660.jpg?k=3ebb22a2639b4a29e8c31191d111d6305e41ad3140da4d6a9c025f403664567e&o=&hp=1, https://cf.bstatic.com/xdata/images/hotel/max500/344273857.jpg?k=90b0f8604366162f172e45c3fcdc22619b8d78a28e68a927650fd679e4958a61&o=&hp=1, "
Gio Bien 2 Hotel by THG,VND 1.759.999,"Đạt điểm 8,9",Tuyệt vời,997,Đà Nẵng,"49 Tran Bach Dang, Phuoc My, Son Tra, Đà Nẵng, Việt Nam ","https://cf.bstatic.com/xdata/images/hotel/max1024x768/263814773.jpg?k=a31ec41565d09cae201a920406bbd877907528f8c2cdfbd34683f6aa93c9b6e0&o=&hp=1, https://cf.bstatic.com/xdata/images/hotel/max500/263805957.jpg?k=6e5804204d2132d46feeee0281c3a0ad5d15e73c67995015bf38db6cd2509708&o=&hp=1, "
SOCO Hotel by THG,VND 1.420.000,"Đạt điểm 8,8",Tuyệt vời,2.388,Đà Nẵng,"305 Nguyen Van Thoai, Đà Nẵng, Việt Nam ","https://cf.bstatic.com/xdata/images/hotel/max1024x768/436121190.jpg?k=b5e60ce4befbd1e147f58a34a36f5d289a87ead2c1c0d59064791a6be138c591&o=&hp=1, https://cf.bstatic.com/xdata/images/hotel/max500/436121187.jpg?k=42b899d0b7198d35107a156c6c76728b151e54330b89b247cbd4b3dd4a0a4995&o=&hp=1, "
Mama Hotel And Apartment - Free Sauna And Gym,VND 1.661.112,"Đạt điểm 8,8",Tuyệt vời,71,Đà Nẵng,"5 An Thượng 29, Đà Nẵng, Việt Nam ","https://cf.bstatic.com/xdata/images/hotel/max1024x768/536726672.jpg?k=91a7f006dac40eec5968e7505094d7acc3db20f3c4f47efa89a63140ca935a24&o=&hp=1, https://cf.bstatic.com/xdata/images/hotel/max500/584119047.jpg?k=a574056b2e5015fe9623e1e5cbb50aaa2d98f42dd8874ed9f120974644429762&o=&hp=1, "
Raon Danang Beach - STAY 24H,VND 1.289.484,"Đạt điểm 8,8",Tuyệt vời,2.021,Đà Nẵng,"5 An Thuong 32, My An Ward, Ngu Hanh Son District, Đà Nẵng, Việt Nam, Đà Nẵng, Việt Nam ","https://cf.bstatic.com/xdata/images/hotel/max1024x768/499866098.jpg?k=f4a4e5f338da473d8251478b3281e1f7d202777253cb904daff319a2af466f31&o=&hp=1, https://cf.bstatic.com/xdata/images/hotel/max500/243878514.jpg?k=c82dddbd65abb6b7a2e343c8a7fa459071b92fc1386909cb74ffb67b7a71aa29&o=&hp=1, "
Phuc Thanh Luxury Hotel by THG,VND 1.280.000,"Đạt điểm 8,8",Tuyệt vời,1.156,Đà Nẵng,"Le Quang Dao A.39, Đà Nẵng, Việt Nam ","https://cf.bstatic.com/xdata/images/hotel/max1024x768/293433476.jpg?k=da1710d6684209537946424c7d67a02b3c82ca386eac51af9706bee8bb75d578&o=&hp=1, https://cf.bstatic.com/xdata/images/hotel/max500/418246128.jpg?k=365c28bdebec9639f6fdff8ed392611769ebe4bb94f8bd55ec3418dc9bdea12d&o=&hp=1, "
Trang Ngan Hotel by THG,VND 1.250.000,"Đạt điểm 8,6",Tuyệt vời,457,Đà Nẵng,"62 An Thuong 26, My An Ward, Ngu Hanh Son District, Đà Nẵng, Việt Nam ","https://cf.bstatic.com/xdata/images/hotel/max1024x768/117739065.jpg?k=402f3e2a34739f6073f1b14b22ce58975c894ae2dafeb267238c82e04adf4eb6&o=&hp=1, https://cf.bstatic.com/xdata/images/hotel/max500/250240556.jpg?k=c6f21bb5904a2daec8230cba1ad0128a5302e8350361fe24ad39d3a1df4d073b&o=&hp=1, "
Orchide'es Ocean Hotel,VND 1.375.000,"Đạt điểm 8,7",Tuyệt vời,142,Đà Nẵng,"07 Dương Đình Nghệ, Phước Mỹ, Sơn Trà, Đà Nẵng, Việt Nam ","https://cf.bstatic.com/xdata/images/hotel/max1024x768/574287181.jpg?k=3eb7a39f44e28f0dfd8cf70222d9e223e85cd414c1c24b8f24193b933c6ff8ad&o=&hp=1, https://cf.bstatic.com/xdata/images/hotel/max500/574288823.jpg?k=dc00fac67b5e773b9e6222c8f4482b8741a0d7d5f57911831e36faf1c37aa7bf&o=&hp=1, "
Sunflower Hotel 2,VND 700.000,"Đạt điểm 7,9",Tốt,648,Đà Nẵng,"59 Loseby, Ward An Hai Bac, Son Tra District, Đà Nẵng, Việt Nam ","https://cf.bstatic.com/xdata/images/hotel/max1024x768/127813583.jpg?k=6b28f1205b622807cc9ac425934e4f28c404a79d1a412e67aa3edebe2fd080e5&o=&hp=1, https://cf.bstatic.com/xdata/images/hotel/max500/127813522.jpg?k=8c02f5a0b889e0d262df9c61f20c1d8f16759b33da7f77ee19465a5567688a19&o=&hp=1, "
Bona Hostel,VND 901.153,"Đạt điểm 9,8",Xuất sắc,6,Đà Nẵng,"108c Cao Bá Quát, Đà Nẵng, Việt Nam ","https://cf.bstatic.com/xdata/images/hotel/max1024x768/594484832.jpg?k=b6e37f63cca1f13b1c301773222e2f05ea101a919e29252167ebf4f887b13ec0&o=&hp=1, https://cf.bstatic.com/xdata/images/hotel/max500/594479563.jpg?k=1d10e361277a6c06d1ff070d359cc34482ffe2570988da8a3e326d32ed46a7bb&o=&hp=1, "
SWEDEN HOTEL and APARTMENT,VND 1.245.000,"Đạt điểm 8,0",Rất tốt,159,Đà Nẵng,"Lô 40- 41 An Thượng 29 , Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng, Việt Nam ","https://cf.bstatic.com/xdata/images/hotel/max1024x768/437654227.jpg?k=9acfc750bcd7fa2bc3f98e91b6ed71a160fd9ec01d0bc1197a9918c75c29842a&o=&hp=1, https://cf.bstatic.com/xdata/images/hotel/max500/435214827.jpg?k=ea304aa8af6d8675b55a3c792e950b209bc2d41f6e1f388d63d5f48d58c1eb8b&o=&hp=1, "
Golden Light Hotel,VND 1.344.000,"Đạt điểm 8,1",Rất tốt,75,Đà Nẵng,"157A Hồ Nghinh, Đà Nẵng, Việt Nam ","https://cf.bstatic.com/xdata/images/hotel/max1024x768/553817423.jpg?k=d778132537ca45945c846333700fd8555bf8a1f638c7a32ae7662df8d5a44366&o=&hp=1, https://cf.bstatic.com/xdata/images/hotel/max500/553816644.jpg?k=858f23a6ba625f8f9b3d0f44a46423a275f02ff0df1e1f95912557009d564174&o=&hp=1, "
Hồng Châu Hotel,VND 1.114.920,"Đạt điểm 8,1",Rất tốt,115,Đà Nẵng,"122 Hồ Nghinh, Đà Nẵng, Việt Nam ","https://cf.bstatic.com/xdata/images/hotel/max1024x768/544233813.jpg?k=e3077faa3a9c5f66dd6c9ade600cbef566d083e7b073f1f8465fd4fe0187c655&o=&hp=1, https://cf.bstatic.com/xdata/images/hotel/max500/540736697.jpg?k=53478990650bb7f10e99e527175d3a2ce817d38d98f6b4b49899a3ba7619cbac&o=&hp=1, "
Merry Land Hotel Da Nang,VND 1.600.000,"Đạt điểm 8,6",Tuyệt vời,3.820,Đà Nẵng,"Lot B20- B21 Pham Van Dong Str, An Hai Bac Ward, Son Tra District, Đà Nẵng, Việt Nam ","https://cf.bstatic.com/xdata/images/hotel/max1024x768/206176937.jpg?k=66c34f3228a05e118778d046fb0038d1aa14421125486c8494f49ff7e84960c0&o=&hp=1, https://cf.bstatic.com/xdata/images/hotel/max500/373611573.jpg?k=9f5c42204ea1beae51b3ddb1317a43a3ce4023acf85bf7a065ed9c2719855ba5&o=&hp=1, "
Star Hotel Đà Nẵng,VND 1.508.600,"Đạt điểm 9,4",Tuyệt hảo,123,Đà Nẵng,"42 Loseby, Son Tra District, Đà Nẵng, Việt Nam ","https://cf.bstatic.com/xdata/images/hotel/max1024x768/590817479.jpg?k=84eec619dc4d6854d863e8679f1b1464cb8b7ad7c6064357276e1c428c3e2ff6&o=&hp=1, https://cf.bstatic.com/xdata/images/hotel/max500/590553183.jpg?k=d328fe296361f0bbbd3c67549630cd6e9f585a89c7ca6cf00bb2a8443e4c7f89&o=&hp=1, "
Le House Boutique Hotel,VND 1.336.500,"Đạt điểm 8,5",Rất tốt,1.451,Đà Nẵng,"85 - 87 Ha Bong, Đà Nẵng, Việt Nam ","https://cf.bstatic.com/xdata/images/hotel/max1024x768/111556617.jpg?k=bfaa41e41235d81be15e353b69bf62f423b154f68cfe0f13e6cb4b75b6a16ba1&o=&hp=1, https://cf.bstatic.com/xdata/images/hotel/max500/161853625.jpg?k=560ff6c2ee5d207333993de4d51cb61bb38367ce26326f05e707c59859c50da2&o=&hp=1, "
Lucia Beach Hotel,VND 1.306.034,"Đạt điểm 9,0",Tuyệt hảo,542,Đà Nẵng,"25 Dương Đình Nghệ, Đà Nẵng, Việt Nam ","https://cf.bstatic.com/xdata/images/hotel/max1024x768/503371958.jpg?k=2c045a7ccb30b794eec466770d2fa9470d37e933d22eb081213d0f0de48cdba1&o=&hp=1, https://cf.bstatic.com/xdata/images/hotel/max500/503770143.jpg?k=c1e17b382a1492f987f3ab5b5dc71438b7300135126769a95021b28b99afe9f6&o=&hp=1, "
ViAn Hotel And Spa Danang,VND 2.149.369,"Đạt điểm 8,8",Tuyệt vời,682,Đà Nẵng,"124 Phạm Văn Đồng, Đà Nẵng, Việt Nam ","https://cf.bstatic.com/xdata/images/hotel/max1024x768/561299133.jpg?k=729e6e277249c23557fcb37f8f40f26d5e6919c76cf9460c9147bb98fff1ed18&o=&hp=1, https://cf.bstatic.com/xdata/images/hotel/max500/544619711.jpg?k=5cc733b357e803247039cd6883d5f7d7d2eb5c78e5508947ce2c835a7768d1d0&o=&hp=1, "
Royal Family Hotel,VND 1.674.000,"Đạt điểm 8,8",Tuyệt vời,1.976,Đà Nẵng,"39 Vo Van Kiet, Đà Nẵng, Việt Nam ","https://cf.bstatic.com/xdata/images/hotel/max1024x768/444859483.jpg?k=6f598808b9329416d7d5a99a9e6d4958861b8f06c23f95e32a6125203c4247bc&o=&hp=1, https://cf.bstatic.com/xdata/images/hotel/max500/444859473.jpg?k=9247f27daff2866262c3c5e2db63b1fe746222e1656d7e914c2b497d43ce64b1&o=&hp=1, "
Agena Sea Hotel,VND 778.750,"Đạt điểm 8,2",Rất tốt,183,Đà Nẵng,"54 Phan Liêm, Đà Nẵng, Việt Nam ","https://cf.bstatic.com/xdata/images/hotel/max1024x768/488160749.jpg?k=e5fc53fd0586c277f84619bde1783281ab2b662001071bf561cb2ae3a7aa303d&o=&hp=1, https://cf.bstatic.com/xdata/images/hotel/max500/473377499.jpg?k=fa36ddcd3832dfbd199b837b96c2b4d7a2abff0655b0e447d260db60f7043931&o=&hp=1, "
Palazzo 3 Danang Hotel,VND 1.936.640,"Đạt điểm 8,7",Tuyệt vời,573,Đà Nẵng,"19-21 An Thượng 2, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng, Việt Nam ","https://cf.bstatic.com/xdata/images/hotel/max1024x768/456649846.jpg?k=a1dacc1e0165ce07e70e3022da925357bc374d8204ea2447815d0f08521da0c2&o=&hp=1, https://cf.bstatic.com/xdata/images/hotel/max500/582634668.jpg?k=d77a81be80417a096ec8da355210994a17ac9cba645e36c5fefddcabf15e6142&o=&hp=1, "
Sea Swan Apartment and Hotel,VND 1.949.260,"Đạt điểm 8,6",Tuyệt vời,566,Đà Nẵng,"Lô 17 An Thượng 29, Phường Mỹ An, Quận Ngũ Hành Sơn, Thành Phố Đà Nẵng 8, Đà Nẵng, Việt Nam ","https://cf.bstatic.com/xdata/images/hotel/max1024x768/246706816.jpg?k=43f235f5ff8a8940737d95f4f0dad467b0e98a0306ad39ff0e390cd4db2b76e8&o=&hp=1, https://cf.bstatic.com/xdata/images/hotel/max500/254094895.jpg?k=e1bde324a61f53625469ecd761dcede2713d05f059a117d47d88ed35d67a44ad&o=&hp=1, "
Hung Anh Hotel,VND 1.750.000,"Đạt điểm 8,2",Rất tốt,381,Đà Nẵng,"23 - 25 Vo Van Kiet, Son Tra, Đà Nẵng, Việt Nam ","https://cf.bstatic.com/xdata/images/hotel/max1024x768/170389539.jpg?k=c47ea7738c61650918fde2f3ae4edf38053382f43f2cdbe93e267a2a9fb46a73&o=&hp=1, https://cf.bstatic.com/xdata/images/hotel/max500/173821179.jpg?k=ec769b537a6f42f16229f915edd2e303bfd3cdc585240a5687d9d1f940d7c6e3&o=&hp=1, "
Beach Hotel by RAON - STAY 24H,VND 1.360.260,"Đạt điểm 8,8",Tuyệt vời,857,Đà Nẵng,"03 An Thuong 32, Ngu Hanh Son, Đà Nẵng, Việt Nam ","https://cf.bstatic.com/xdata/images/hotel/max1024x768/552622784.jpg?k=2ba4491ce71c0d06d5d04b0b889ece322a0aad962d7561c6b29639eb326e15e3&o=&hp=1, https://cf.bstatic.com/xdata/images/hotel/max500/564444279.jpg?k=e7186aa08334647e9499c6d93c7a3b912efccc57f21dbce77f741e1d64bfdaa4&o=&hp=1, "
Richico Apartments And Hotel,VND 2.106.000,"Đạt điểm 8,0",Rất tốt,699,Đà Nẵng,"176-178 Nguyen Van Thoai, My An, Ngu Hanh Son, Đà Nẵng, Việt Nam ","https://cf.bstatic.com/xdata/images/hotel/max1024x768/578017706.jpg?k=fd96119e551fcaef9bc54103d9e747f545d0a4d0550f4e1ed8837c8cbf7c2466&o=&hp=1, https://cf.bstatic.com/xdata/images/hotel/max500/510594178.jpg?k=41752e68c8425e89303c01f32e22c6f99a20019e65947850e18214bb634b299d&o=&hp=1, "
Seahorse Tropical Apartment Da Nang,VND 1.000.350,Đạt điểm 10,Xuất sắc,4,Đà Nẵng,"29 Yên Bái, P. Hải Châu 1, Q. Hải Châu, TP Đà Nẵng, Đà Nẵng, Việt Nam ","https://cf.bstatic.com/xdata/images/hotel/max1024x768/596530240.jpg?k=7ce93341be020c342295f10a0205322fda3830046343033bd5c92d77dc28cc98&o=&hp=1, https://cf.bstatic.com/xdata/images/hotel/max500/596307258.jpg?k=6e72450406302094d9f8f31e44581154d1992a6406ce0c26e3d6a6788e32e973&o=&hp=1, "
De Lamour Hotel,VND 2.424.000,"Đạt điểm 7,7",Tốt,1.005,Đà Nẵng,"46 Võ Nguyên Giáp, P.Mân Thái, Q.Sơn Trà, Tp.Đà Nẵng, Đà Nẵng, Việt Nam ","https://cf.bstatic.com/xdata/images/hotel/max1024x768/190776637.jpg?k=427971e01074ce06ab7229b2f2d79d783ad351b63a495d2d98dc93f66af1dbe7&o=&hp=1, https://cf.bstatic.com/xdata/images/hotel/max500/190872442.jpg?k=24eb1c11c612fe8faead2897eb7db4b666aa2abf153a49683ea5ee2b44875270&o=&hp=1, "
Van apartment,VND 2.000.000,"Đạt điểm 9,0",Tuyệt hảo,132,Đà Nẵng,"28 lê lộ phường mỹ an, Ngũ Hành Sơn, Đà Nẵng, Vietnam, Đà Nẵng, Việt Nam ","https://cf.bstatic.com/xdata/images/hotel/max1024x768/167733533.jpg?k=cf4ab35bf81ef2d9d95fbb33dec32a8101de52ea24c005ccd149853e9310f137&o=&hp=1, https://cf.bstatic.com/xdata/images/hotel/max500/167746297.jpg?k=b9a656f039e5f8b436cf12d4320eed472de1cf925847cbd3f24dea03e4a1a836&o=&hp=1, "
Richico Garden Beach Hotel,VND 1.784.750,"Đạt điểm 8,4",Rất tốt,80,Đà Nẵng,"176 Nguyễn Văn Thoại, Đà Nẵng, Việt Nam ","https://cf.bstatic.com/xdata/images/hotel/max1024x768/594460680.jpg?k=cc777608f3e6557f575ad60bc739ce31e95ff83077f08b5e58e7b6b8fcdc31ba&o=&hp=1, https://cf.bstatic.com/xdata/images/hotel/max500/236348425.jpg?k=c20631126e825066d89a6a59bed960d5f19a5431557b0af076ba8ab6714edb36&o=&hp=1, "
Shara Hotel Da Nang,VND 1.242.885,"Đạt điểm 8,0",Rất tốt,766,Đà Nẵng,"52 - 53 Phan Liem, Ngu Hanh Son, Đà Nẵng, Việt Nam ","https://cf.bstatic.com/xdata/images/hotel/max1024x768/455932437.jpg?k=a291f08f8cc89e813f4ad4d3287b5fc91accc531101e5aa5906bbd2794f3b2b3&o=&hp=1, https://cf.bstatic.com/xdata/images/hotel/max500/474481232.jpg?k=8e7f2ee15bd83a3b5b06bc47b1662d8e2f579e1311c12f56838bfe43a21cd2d2&o=&hp=1, "
Taian Hotel & Apartment,VND 2.645.514,"Đạt điểm 8,9",Tuyệt vời,336,Đà Nẵng,"27 đường An Thượng 34, phường Mỹ An, quận Ngũ Hành Sơn, Đà Nẵng, Việt Nam ","https://cf.bstatic.com/xdata/images/hotel/max1024x768/569298640.jpg?k=b8b7165bc9c64b288a804060a05c6abf8176381351427ba76a0a1481fd77de78&o=&hp=1, https://cf.bstatic.com/xdata/images/hotel/max500/592802072.jpg?k=39fb1f364a256ce3b8afc1f2389e71050384045fdbade56b8c3c9f1cf6b67c99&o=&hp=1, "
Star City Riverside Hotel By Haviland,VND 2.078.505,"Đạt điểm 9,1",Tuyệt hảo,1.034,Đà Nẵng,"147-149 Tran Hung Dao, Nai Hien Dong, Son Tra, Đà Nẵng, Việt Nam ","https://cf.bstatic.com/xdata/images/hotel/max1024x768/428612339.jpg?k=7a56492ae9898a4a507b8ea39cb15564fd2a07ba49e38f620e4159ef515e4d03&o=&hp=1, https://cf.bstatic.com/xdata/images/hotel/max500/525323848.jpg?k=2c53a67d6893fc71ed5b3dccd050cf61b17586e12a84c017051de949ce8c8cbe&o=&hp=1, "
Quoc Cuong Hotel & Apartment Danang by Haviland,VND 675.000,"Đạt điểm 8,9",Tuyệt vời,107,Đà Nẵng,"322 Hoàng Diệu, Bình Hiên, Hải Châu, Đà Nẵng, Việt Nam ","https://cf.bstatic.com/xdata/images/hotel/max1024x768/517353026.jpg?k=fcde76c62a6a653365e80e5a0a52ee39d4203af653b5c1e755d09a099363427d&o=&hp=1, https://cf.bstatic.com/xdata/images/hotel/max500/517356612.jpg?k=44d435bc7972269c61623b06c6d175d50ab0cc1c22fbeab9268c0701665a7871&o=&hp=1, "
HAMA Boutique Home,VND 1.168.500,"Đạt điểm 7,7",Tốt,292,Đà Nẵng,"52B Lam Hoanh Street, Phuoc My Ward, Son Tra District, Đà Nẵng, Việt Nam ","https://cf.bstatic.com/xdata/images/hotel/max1024x768/287803537.jpg?k=4b458ead25b51642a189f8a379e61e8fbeea3ccb291bccc2b31140c985c88dfb&o=&hp=1, https://cf.bstatic.com/xdata/images/hotel/max500/279039352.jpg?k=8ca4d536a90881d1d733c985a8686c84411ff3944e0a92d17a1b7dfc447cd941&o=&hp=1, "
ATP Galaxy Hotel & Apartment Danang,VND 2.422.500,"Đạt điểm 8,8",Tuyệt vời,154,Đà Nẵng,"89 Trần Phước Thành, phường Khuê Trung, quận Cẩm Lệ, Đà Nẵng, Việt Nam ","https://cf.bstatic.com/xdata/images/hotel/max1024x768/567156549.jpg?k=87268c037742ca7d01a4be2ad7d2a9f421135c27b7cf6966740c183fce4ff2aa&o=&hp=1, https://cf.bstatic.com/xdata/images/hotel/max500/457877748.jpg?k=e9612a00f8ac4be311c9ea2f56a4dd0f5bd4183c237a92a24b38844cf58ab3aa&o=&hp=1, "
Waikiki Beach Hotel,VND 1.350.000,"Đạt điểm 8,7",Tuyệt vời,371,Đà Nẵng,"32 Ha Chuong, Son Tra, Đà Nẵng, Việt Nam ","https://cf.bstatic.com/xdata/images/hotel/max1024x768/442223573.jpg?k=20d0106ebc00c3119d6aab7bf66b4bfeb7ca9bd77530500b5da4cabeecc5859c&o=&hp=1, https://cf.bstatic.com/xdata/images/hotel/max500/557334601.jpg?k=9d338c70efa2a45c525333f7668d42db4c993bf9da4d7b0cfcf1f89927eb5a37&o=&hp=1, "
The Luxe Hotel Châu Đốc,VND 7.621.952,"Đạt điểm 8,4",Rất tốt,74,An Giang,"Tân Lộ Kiều Lương 394-396, Châu Đốc, Việt Nam ","https://cf.bstatic.com/xdata/images/hotel/max1024x768/499522668.jpg?k=42925f0ef5f6c291d4b758bb969956751f19ef4969261743cb5d70d4a8f56df5&o=&hp=1, https://cf.bstatic.com/xdata/images/hotel/max500/502660444.jpg?k=9e90caee3df764341fdd60b6e6adcc376775d2344d4228487e59c1d8512bb8d2&o=&hp=1, "
