hotel,price,score,avg review,reviews count,province,address,description images
Sâm Nhung Hotel,VND 967.500,Đạt điểm 10,Xuất sắc,3,Đà Nẵng,"58-60 Phan Tôn, Đà Nẵng, Việt Nam ","https://cf.bstatic.com/xdata/images/hotel/max1024x768/597149487.jpg?k=cada5a1bcee0ae7140108569b85fdd6b8d98540e2385696ec73fe170d7dfee16&o=&hp=1, https://cf.bstatic.com/xdata/images/hotel/max500/597149658.jpg?k=e9bc181d20d8104d31763c509887c091fba3640580e719ba459fd13887b6f396&o=&hp=1, "
Le Indochina Hotel & Beach Da Nang City,VND 987.840,"Đạt điểm 8,1",Rất tốt,514,Đà Nẵng,"91 Ho Xuan Huong, Đà Nẵng, Việt Nam ","https://cf.bstatic.com/xdata/images/hotel/max1024x768/560052722.jpg?k=be1c24ddea61bd7c07ca84961933f68f2c5baf97edc910e609611740f1120d60&o=&hp=1, https://cf.bstatic.com/xdata/images/hotel/max500/582516534.jpg?k=f6ff652831cc269f80caf7727b2a0e9613d182377949a066552542e47920fded&o=&hp=1, "
AOA Danang Beach Hotel,VND 960.000,"Đạt điểm 8,3",Rất tốt,653,Đà Nẵng,"Lô 42 - 43 Trần Bạch ĐẰng, phường Mỹ An, quận Ngũ Hành Sơn Đà Nẵng Lô 42 - 43, Đà Nẵng, Việt Nam ","https://cf.bstatic.com/xdata/images/hotel/max1024x768/362812524.jpg?k=ddaedc1ddd8d340e8cf40d7dbfa301e3e66505b92c5167b1da75d5f4884b2fd6&o=&hp=1, https://cf.bstatic.com/xdata/images/hotel/max500/415898592.jpg?k=f34d31c442d8d065c1aefc72906bbf5c9547ff03a1a1db0dd1c6daea35aabf57&o=&hp=1, "
May Beach Hotel,VND 1.305.000,"Đạt điểm 8,7",Tuyệt vời,537,Đà Nẵng,"22-23 Đỗ Bá, Đà Nẵng, Việt Nam ","https://cf.bstatic.com/xdata/images/hotel/max1024x768/514308835.jpg?k=7e0508dc50586cccc6b6b3ffd411b955816b99de0c60221d04a3319d4c430705&o=&hp=1, https://cf.bstatic.com/xdata/images/hotel/max500/514309036.jpg?k=40b6a1a4495ab6600d2335ed0ef4d4739e910bc90cc654a28cbfbefea7f184c9&o=&hp=1, "
Golden Star Hotel & Apartment by THG,VND 1.054.000,"Đạt điểm 8,7",Tuyệt vời,129,Đà Nẵng,"12 Phan Liêm, Đà Nẵng, Việt Nam ","https://cf.bstatic.com/xdata/images/hotel/max1024x768/383076837.jpg?k=338b66dff354ceb22899b0083d9d96e35bea389d50da15790bb03cebd159061c&o=&hp=1, https://cf.bstatic.com/xdata/images/hotel/max500/383076787.jpg?k=e7aed114fa55903e465605d3aae5642af6bcbc47e6fa9caea5853ddca766861d&o=&hp=1, "
The Linksky Residences,VND 992.250,"Đạt điểm 8,7",Tuyệt vời,51,Đà Nẵng,"93d Hồ Xuân Hương, Đà Nẵng, Việt Nam ","https://cf.bstatic.com/xdata/images/hotel/max1024x768/588562317.jpg?k=bacd22f09b151b6211429032989b3fdd9716a732537c0e3dc7afb94a18164ec2&o=&hp=1, https://cf.bstatic.com/xdata/images/hotel/max500/588562270.jpg?k=5695a3c66e35455e7605e53ec78f599542ea8878c948d815800ca2bbace16d1d&o=&hp=1, "
Hai Trieu Hotel,VND 1.276.000,"Đạt điểm 8,6",Tuyệt vời,1.006,Đà Nẵng,"18 - 20 Loseby , Đà Nẵng, Việt Nam ","https://cf.bstatic.com/xdata/images/hotel/max1024x768/382886050.jpg?k=d4c482b0dbf490cfe1845a931e5d339b2b3f8584a95ad15b35c458d5d3299d78&o=&hp=1, https://cf.bstatic.com/xdata/images/hotel/max500/511773429.jpg?k=93521587827d195abd83e6e2cd941fd4033ff3fc4b1a479a0af1ec5dc017a55f&o=&hp=1, "
Bantique Hotel,VND 1.226.925,"Đạt điểm 8,0",Rất tốt,504,Đà Nẵng,"17 Phạm Văn Đồng, Đà Nẵng, Việt Nam ","https://cf.bstatic.com/xdata/images/hotel/max1024x768/536106970.jpg?k=9e6b60fb19ba85ccf1e8821f8a4eb14323e2bd75c3958d1b1584477c06b0d862&o=&hp=1, https://cf.bstatic.com/xdata/images/hotel/max500/536106236.jpg?k=5f39131ed2b3c60b745997186a5b0c1f4a25eec98022b61db4b9eb4a0daddec3&o=&hp=1, "
De Pansy Residences,VND 1.308.300,"Đạt điểm 9,7",Xuất sắc,33,Đà Nẵng,"31a Đỗ Bá, Đà Nẵng, Việt Nam ","https://cf.bstatic.com/xdata/images/hotel/max1024x768/589979689.jpg?k=e77bf6a9c4190b06fb5a57b53f2d1c8764b4bc6398cf6ce072c6cd5cf931ad71&o=&hp=1, https://cf.bstatic.com/xdata/images/hotel/max500/589978931.jpg?k=e4a7250e66be5f781abae374992032a0cdc7165cedf0fd1ef4cd3e2f2bc1480b&o=&hp=1, "
Gold Time Hotel Da Nang,VND 1.067.661,"Đạt điểm 7,9",Tốt,535,Đà Nẵng,"55 Đỗ Bá, Đà Nẵng, Việt Nam ","https://cf.bstatic.com/xdata/images/hotel/max1024x768/593663142.jpg?k=587defe5916d53a268c8d4ab75a0bc28d6b2dd374330e5e99777234af12676ac&o=&hp=1, https://cf.bstatic.com/xdata/images/hotel/max500/493407942.jpg?k=a3e73a01288ff7337a7612804c50b3d2fcd173adc64da5ff56337fca62e6c987&o=&hp=1, "
