name,address,score,reviews count,latitude,longitude,province,category,price,services,description images
Nhà hàng Anh Nhật Gia Viên,"1087 Trần Hưng Đạo, Đống Đa, Quy Nhơn, Bình Định, Việt Nam","4,2",192,13.7850933,108.6341705,Bình Định,Nhà hàng,1-100.000 ₫,"Ăn tại chỗ, Đồ ăn mang đi, Giao hàng, ","https://lh5.googleusercontent.com/p/AF1QipNKGADRBnnrN_anZW34_5Z0i9jGr6NuirRYMOM9, https://lh5.googleusercontent.com/p/AF1QipOXKxjVNQZH-4BvcK-0UXmvcD3kQkyoE0swBI-O, https://lh5.googleusercontent.com/p/AF1QipPmwOBmnbS7aVfvt4Wt5os9mw4A5-xg358Sileo, https://lh5.googleusercontent.com/p/AF1QipMd1gGZ4dqjzue5xPtfM3LRBRMsNi5Xyx6cYzSE, "
Ẩm Thực Đặc Sản Bình Định,"07 Nguyễn Tất Thành, Trần Phú, Quy Nhơn, Bình Định, Việt Nam","2,0",2,13.7654295,108.6452922,Bình Định,Nhà hàng,Không có giá,"Ăn tại chỗ, Đồ ăn mang đi, Giao hàng, ",
Quán ăn hải sản Trung Lương,"ĐT640, Trung Lương, Phù Cát, Bình Định 820000, Việt Nam","3,8",195,13.950995,108.6622223,Bình Định,Nhà hàng,200-300 N ₫,"Ăn tại chỗ, Đồ ăn mang đi, ","https://lh5.googleusercontent.com/p/AF1QipMrhFA1NVTd6d3lOpOWz-nlfzjBIOjFhbWS6fPb, https://lh5.googleusercontent.com/p/AF1QipOV2WGcmBPB4CbrYeYscl2g95ck6o39zp2KLsR_, https://lh5.googleusercontent.com/p/AF1QipMPU-9IFslGclEQHZ-MIX5yY8OjVKlamNgVFPlT, https://lh5.googleusercontent.com/p/AF1QipM4DdkBEOvLCFVAbzgW_si2ePhpLp9I0ahw_syc, "
Bình Dân Quán,"57 Đặng Văn Ngữ, Hải Cảng, Quy Nhơn, Bình Định, Việt Nam","4,0",68,13.7783013,108.6584925,Bình Định,Quán ăn nhỏ,Không có giá,"Ăn tại chỗ, Đồ ăn mang đi, Giao hàng, ","https://lh5.googleusercontent.com/p/AF1QipNyJPiTKZABXO93LKqkDUvrfqJStXfXz6YARPFg, https://lh5.googleusercontent.com/p/AF1QipOcD71mcW79_-NPzXXYdE1uXHj3Pvh7Oay8r0OZ, https://lh5.googleusercontent.com/p/AF1QipO8E2a3fWTfBWS7EOSNxIcTeqEcSxnYeSlyNXTV, https://lh5.googleusercontent.com/p/AF1QipMG03SyQxwQ1ny0Z_ThKqDXTFg1qG4ma161nxlW, "
QUÁN ĂN 5 LÒNG,"126 Nguyễn Đình Chiểu, TT. Bình Định, An Nhơn, Bình Định, Việt Nam","5,0",8,13.8843422,108.530398,Bình Định,Quán ăn nhỏ,1-100.000 ₫,"Ăn tại chỗ, ","https://lh5.googleusercontent.com/p/AF1QipMlPYev3ibiEyPFCykjfSnRAGN2-QW-jVu4ZmkH, https://lh5.googleusercontent.com/p/AF1QipOQiLnmnh5-8bwNqD-cPdZtZyCtZvZA2wTKzduO, https://lh5.googleusercontent.com/p/AF1QipMliAyzRKsFjKzhQoFuAzybvdKE6mE0oxsqhWGr, https://lh5.googleusercontent.com/p/AF1QipOmNE1aRkypA-Q-nGBj4mGaq3jfLUo18TfGg_sj, "
Nhà Hàng ADAM LÊ- Cơm trưa- Bò tơ,"52 Nguyễn Sinh Sắc, khu phố 4, Hoài Nhơn, Bình Định 55400, Việt Nam","4,5",15,14.4285794,108.4370741,Bình Định,Nhà hàng,Không có giá,"Ăn tại chỗ, Đồ ăn mang đi, ","https://lh5.googleusercontent.com/p/AF1QipOZWADemLR-nR3_pmTDRjyNkoHUdy9s34TFKpbW, https://lh5.googleusercontent.com/p/AF1QipNWV2jULqj8N_KDt-RBiWDHQshg6YIIIZWoV1K2, https://lh5.googleusercontent.com/p/AF1QipODvEIKUy8YWxg9WCNeHA3Io00rbbDaOEmbn95u, https://lh5.googleusercontent.com/p/AF1QipN2ZkFiAg73MIhWgnWHXoKU-Yc7JB9Di6OSlcha, "
NĂM CƯU,"75 Trần Phú, TT. Bình Định, An Nhơn, Bình Định, Việt Nam","4,3",36,13.8914562,108.5364614,Bình Định,Quán ăn nhỏ,Không có giá,"Ăn tại chỗ, Đồ ăn mang đi, ","https://lh5.googleusercontent.com/p/AF1QipPg2P2UYUGRXVV3GXS-XRmCQOhStdE6kqkLgw, https://lh5.googleusercontent.com/p/AF1QipNdNKJwpINbXHBoQnWaePR1z_X8XPb0nkvDgAzz, https://lh5.googleusercontent.com/p/AF1QipPhDh_qy-GbhJ4MMs7zbXNYU40I38d7FSc1N_jI, "
Quán Ăn 395,"W3QP+QH2, Nhơn Thành, An Nhơn, Bình Định, Việt Nam","4,6",5,13.9393798,108.5096148,Bình Định,Quán ăn nhỏ,Không có giá,"Ăn tại chỗ, Đồ ăn mang đi, ","https://lh5.googleusercontent.com/p/AF1QipOpfQAGpuQQUzoYACajZIaCzuRzd-JZUGJVxDFU, https://lh5.googleusercontent.com/p/AF1QipNwe19YNHmxQ2O-M_RNFbCi3mxQZejy_T1NYqZJ, "
Mười Ty,"68 Nguyễn Thị Định, Nguyễn Văn Cừ, Quy Nhơn, Bình Định, Việt Nam","3,5",4,13.7608826,108.6390865,Bình Định,Nhà hàng,Không có giá,"Ăn tại chỗ, Đồ ăn mang đi, ","https://lh5.googleusercontent.com/p/AF1QipO79VRXBLW0_q2dyLsUuQGzmsJ6UhVKL3tgx_aE, https://lh5.googleusercontent.com/p/AF1QipMF0K8fb7aweC9Q_CoKU4QjnwJosPJfxdqHKtQZ, "
Quán Ăn Tư Hải,"7 Nguyễn Huệ, Hải Cảng, Quy Nhơn, Bình Định, Việt Nam",Chưa xét,0,13.7721908,108.6655351,Bình Định,Nhà hàng,Không có giá,"Ăn tại chỗ, Đồ ăn mang đi, ",
Điểm Nhậu Bình Dân 77 NEWS Đồ Ăn Ngon - Nhậu khuya Nhơn Phú,"Đồi Mười, +, Quy Nhơn, Bình Định, Việt Nam",Chưa xét,0,13.79485,108.6058504,Bình Định,Quán ăn nhỏ,Không có giá,"Ăn tại chỗ, Mua hàng ngay trên xe, Giao hàng gián tiếp, ","https://lh5.googleusercontent.com/p/AF1QipMDNmELivNrcb5qYljf9rGdOVjIjwK0xUWTzlRt, https://lh5.googleusercontent.com/p/AF1QipNaE41OaGKDqK2Ns3yn--4JMIiyQ-2ySBPBjGkr, https://lh5.googleusercontent.com/p/AF1QipNlEZIJbxuVEmNO3IqgucrqF8NM7qc-pSKZytw_, https://lh5.googleusercontent.com/p/AF1QipOtYnRcTASMquFgoil6oG5SPyj-MjODz3LXipYN, "
Quán ăn bình dân 9 Hiền,"14 Ngọc Hân Công Chúa, Trần Phú, Quy Nhơn, Bình Định, Việt Nam","4,0",2,13.7676118,108.6519088,Bình Định,Nhà hàng,Không có giá,"Ăn tại chỗ, Đồ ăn mang đi, Giao hàng, ","https://lh5.googleusercontent.com/p/AF1QipNYwNTc53PvTFnGHN4Avvq0hks-i7rr4AXtitPd, https://lh5.googleusercontent.com/p/AF1QipN7QSGk9Vd_HcTJ5M0tQ0mzyqBHx37o_eS-S3wq, https://lh5.googleusercontent.com/p/AF1QipNYwNTc53PvTFnGHN4Avvq0hks-i7rr4AXtitPd, "
Quán bún chả cá Phượng Tèo,"211 Nguyễn Huệ, Trần Phú, Quy Nhơn, Bình Định, Việt Nam","4,0",807,13.7678306,108.6514235,Bình Định,Nhà hàng,1-100.000 ₫,"Ăn tại chỗ, Đồ ăn mang đi, Giao hàng gián tiếp, ","https://lh5.googleusercontent.com/p/AF1QipN-oSuzEJvGBp1Dq3XVNzJIOKoWFCOEgbUJEJTO, https://lh5.googleusercontent.com/p/AF1QipP_peOH_uRhWJNe-9k3dgMh9RQd7S3gb70ElV0v, https://lh5.googleusercontent.com/p/AF1QipNYs61-Uw5otW_MhwIhU460tUaSoUxV-eH1Z10g, https://lh5.googleusercontent.com/p/AF1QipNrkfsAzVSmDg9icMN9zq6tUZ1x5Bf9970bGe11, "
Quán Bánh Hỏi Cháo Lòng,"20 Diên Hồng, Lê Hồng Phong, Quy Nhơn, Bình Định, Việt Nam","4,1",388,13.7736909,108.6442741,Bình Định,Quán ăn nhỏ,1-100.000 ₫,"Ăn tại chỗ, Mua hàng ngay trên xe, Giao hàng gián tiếp, ","https://lh5.googleusercontent.com/p/AF1QipM8MuCvEhyoRfTMVH_dH6sR08fr-0o1OppukNqU, https://lh5.googleusercontent.com/p/AF1QipNFM3UwZEnLXQmtNYrwOMNI_cpnHGllFWvR_-lW, https://lh5.googleusercontent.com/p/AF1QipPdU3ou0vctMYyNLI2W7g8zkz7WcpnJ9fiyKAZX, https://lh5.googleusercontent.com/p/AF1QipOn6k0fG91j1XkBFXA0UtFtqOcNH6DnApWFATZW, "
Quán ăn Lưu Ý,"16 Quang Trung, P. Bồng Sơn, Hoài Nhơn, Bình Định, Việt Nam","4,0",250,14.4291739,108.4401601,Bình Định,Quán ăn nhỏ,100-200 N ₫,"Ăn tại chỗ, Đồ ăn mang đi, ","https://lh5.googleusercontent.com/p/AF1QipOtRWrqF3AJyleouU_bwwhQqjOVW80WRQ9pTDLw, https://lh5.googleusercontent.com/p/AF1QipNKToEV3hDcOFQdAljt_vd_srXNC5tbI6LTSPPW, https://lh5.googleusercontent.com/p/AF1QipP_4Fhu88_ludGSSJgFqvhtbwAbmzarYGUSited, https://lh5.googleusercontent.com/p/AF1QipOKyA33K05Wh_1-SW3zdL6W4eDdyXJ1XMb5exEr, "
Nhà hàng hải sản A Lớn,"569 Trường Chinh, Nhơn Hưng, An Nhơn, Bình Định, Việt Nam","3,9",40,13.8969544,108.5324456,Bình Định,Nhà hàng,100-200 N ₫,"Ăn tại chỗ, Đồ ăn mang đi, Giao hàng, ","https://lh5.googleusercontent.com/p/AF1QipMT2p-cM6N0tFlkD9br8MONxY7ETebKMO1wZJMQ, https://lh5.googleusercontent.com/p/AF1QipNNaA1Wl72iblJICiOP3T0AfiMgf2260AiNlvqL, https://lh5.googleusercontent.com/p/AF1QipN79xoPbv8r7HZzkvB1vDnP1Cf9Zqq1rRZJNDXg, https://lh5.googleusercontent.com/p/AF1QipOQLCkFkKrpODee0pmkOF_r-GucGOoHhr1wu5GZ, "
Bánh hỏi cháo lòng Hồng Thanh,"22 Phan Bội Châu, Phường Lê Lợi, Quy Nhơn, Bình Định, Việt Nam","4,1",269,13.7736711,108.6591255,Bình Định,Quán ăn nhỏ,1-100.000 ₫,"Ăn tại chỗ, Mua hàng ngay trên xe, Giao hàng gián tiếp, ","https://lh5.googleusercontent.com/p/AF1QipN07kbX7OUin6U4Zv1hpjynPFj7LaYKluAX3lyE, https://lh5.googleusercontent.com/p/AF1QipOjDcqWzPCNeFYIin_-KpH7x-TIFwBs_Xc3huAq, https://lh5.googleusercontent.com/p/AF1QipNPYfLAf8FkaEDvnpnRScJ_I4rnmcwR5jXH7u9L, https://lh5.googleusercontent.com/p/AF1QipO39gI4S8b4nXerBUJ5SzLeof9C8Fx8bIDX_2gD, "
Quán Ăn Đặc Sản 9999,"7 Đặng Thái Mai, Ghềnh Ráng, Quy Nhơn, Bình Định, Việt Nam",Chưa xét,0,13.7506007,108.6329825,Bình Định,Nhà hàng,Không có giá,"Ăn tại chỗ, Đồ ăn mang đi, ",
Quán Ăn 349,"349 Trần Phú, TT. Bình Định, An Nhơn, Bình Định, Việt Nam",Chưa xét,0,13.8843718,108.538458,Bình Định,Nhà hàng,Không có giá,"Ăn tại chỗ, Đồ ăn mang đi, ",
Bánh hỏi Lòng heo Mẫn,"76 Trần Phú, Lê Hồng Phong, Quy Nhơn, Bình Định, Việt Nam","4,0",337,13.7743967,108.6488725,Bình Định,Quán ăn nhỏ,1-100.000 ₫,"Ăn tại chỗ, Mua hàng ngay trên xe, ","https://lh5.googleusercontent.com/p/AF1QipOgTsur81PfGA9Q0ou7NasMDmh1kpJVFFw8cy3_, https://lh5.googleusercontent.com/p/AF1QipM5JYce8fCdzPUMN1-jvv0OUyhMapzv88IFqwZs, https://lh5.googleusercontent.com/p/AF1QipP14UhR9am2uy8wBEgwIZgQGsG2VgF3wO9KCMrM, https://lh5.googleusercontent.com/p/AF1QipOzAN0SfJ9cdcdueVKZC8zxabGnzJ9ifd5qznD2, "
Mỳ quảng Bình Định,"V4R7+8HV, TT. Bình Định, An Nhơn, Bình Định, Việt Nam",Chưa xét,0,13.8908735,108.5371528,Bình Định,Nhà hàng gia đình,Không có giá,,"https://lh5.googleusercontent.com/p/AF1QipMTXjal5xr0RzUPbWegE1F_xoggJpR4aLxHfwiv, https://lh5.googleusercontent.com/p/AF1QipMnswB2F5ZFnBN7dYonYPLruTPfQDAPgoTyEeRZ, "
QUÁN BÀ THỪA,"Q5W9+4WH, Nhơn Phú, Quy Nhơn, Bình Định, Việt Nam","5,0",3,13.7953033,108.5930926,Bình Định,Quán ăn nhỏ,Không có giá,"Ăn tại chỗ, Đồ ăn mang đi, ","https://lh5.googleusercontent.com/p/AF1QipODphg17WAi0K0dm26fPLKOr29uwcCWf4vvMa5z, https://lh5.googleusercontent.com/p/AF1QipODVSx3-1vU6ZdXhtejVq2-bTdxkuFQEQXDtv_T, "
Bánh Xèo Tôm Nhảy Ông Hùng,"230 Xuân Diệu, Trần Phú, Quy Nhơn, Bình Định, Việt Nam","3,9",435,13.7675631,108.6529506,Bình Định,Nhà hàng,1-100.000 ₫,"Ăn tại chỗ, Đồ ăn mang đi, Giao hàng, ","https://lh5.googleusercontent.com/p/AF1QipNDmR9E68Vn1aUJevWGXk9FN1-1UkLhYDq1fllo, https://lh5.googleusercontent.com/p/AF1QipNRvCn3JfOPfXU2UkUlZwVXw5Yn1N-PnthIhDv4, https://lh5.googleusercontent.com/p/AF1QipOTEDFq7B7CxI_OIFH_9vTh8EgrJIupiBPwgcw-, https://lh5.googleusercontent.com/p/AF1QipOMLn9JDdgbfRzXcE32LMkigBMCTU5tmGKWCute, "
Quán NGON,"539 Trần Phú, TT. Bình Định, An Nhơn, Bình Định, Việt Nam",Chưa xét,0,13.8778264,108.5450876,Bình Định,Nhà hàng,Không có giá,"Ăn tại chỗ, Đồ ăn mang đi, ","https://lh5.googleusercontent.com/p/AF1QipO8G14mhZQix-Y-KEJSqSWSxGlTFsrduTdrLqEF, https://lh5.googleusercontent.com/p/AF1QipNISe6wp7epXYR5M-4xAqtturWHjOhwC44sQ5Yz, "
Quán ăn 1990,"Cần Vương, TT. Bình Định, An Nhơn, Bình Định 55000, Việt Nam","5,0",1,13.882012,108.5299098,Bình Định,Quán ăn nhỏ,Không có giá,"Ăn tại chỗ, Đồ ăn mang đi, ","https://lh5.googleusercontent.com/p/AF1QipPr8ms5ZgqrcIoomC2Muqd_8Fy0t8P4csjMyx_O, https://lh5.googleusercontent.com/p/AF1QipMtBK2bqbkNGVQZbIZh-lvhpiEQ0ii7lFGE4EBR, "
