name,score,category,price,address,province,review count,description images
Tam Cốc-Bích Động,4.5,Thắng cảnh,Không có giá,"Ninh Hải, Hoa Lư, Ninh Bình",Ninh Bình,12.836,"https://lh3.googleusercontent.com/p/AF1QipMjSgzhro8SDRXPi_todUjDyP4Pk_qmXBiaDNoW, https://lh3.googleusercontent.com/p/AF1QipO-XCPT4sQovxum0E2pQ_BWS28PiCaZ_SPitXoX, "
Vườn Quốc Gia Cúc Phương,4.4,Rừng quốc gia,60.000 ₫,"8J85+MFX, Nho Quan, Ninh Bình 432857",Ninh Bình,3.657,"https://lh3.googleusercontent.com/p/AF1QipMjSgzhro8SDRXPi_todUjDyP4Pk_qmXBiaDNoW, https://lh3.googleusercontent.com/p/AF1QipO-XCPT4sQovxum0E2pQ_BWS28PiCaZ_SPitXoX, "
Chùa Bái Đính,4.4,Điểm thu hút khách du lịch,Miễn phí,"7VG8+98, Gia Sinh, Gia Viễn, Ninh Bình",Ninh Bình,2.749,"https://lh3.googleusercontent.com/p/AF1QipNjjG68mdyKCXaBw_yJWAjthBfxGnKYz-TavcZv, https://lh3.googleusercontent.com/p/AF1QipNxb5EfTNtUy895UzXEeAU4oL3d3HhyDWErlU57, "
Di sản Tràng An,4.7,Điểm thu hút khách du lịch,250.000 ₫,"Tràng An, Hoa Lư, Ninh Bình 430000",Ninh Bình,8.615,"//lh3.googleusercontent.com/proxy/C4r1ZNpj9Pw9qNKy1hZp701vczr7Rd5nXXVt_W4ABUJl0Lsk7EdIkkQ1RTuaDZis21tM424xlmaqXMaA723I7-cwc1GiA-yCowZfcmOqvgrQL2m--8JdpqbY0btIy49DLRfJaJRFmFzIw5yMe-wspFb9NrJcpw, https://lh3.googleusercontent.com/p/AF1QipOFopo7T-sxINl11auQ46L8mmUGSD64_lN26oi_, "
Nhà Thờ Đá Phát Diệm,4.6,Nhà thờ Công giáo,Miễn phí,"75 Phố Phát Diệm Đông, TT. Phát Diệm, Kim Sơn, Ninh Bình 430000",Ninh Bình,4.194,"https://lh3.googleusercontent.com/p/AF1QipMbL48F5o5uXtfnQZEPQgyF1xByr3KRaM5aXFzX, https://lh3.googleusercontent.com/p/AF1QipMnkxbrecFRly0vQcjoULWu6-YW72HEGaJh8nLJ, "
Tuyệt Tịnh Cốc (động Am Tiên),4.4,Điểm thu hút khách du lịch,Không có giá,"Trường Yên, Hoa Lư, Ninh Bình",Ninh Bình,3.582,"https://lh3.googleusercontent.com/p/AF1QipNQYQ7jpPNDC1SRpZUEU2bqatw127uAWMT7nhAO, https://lh3.googleusercontent.com/p/AF1QipMg4sT8BdM0wuwz4d4SOlIxD4eEyHz-hXttMBS_, "
Cố đô Hoa Lư,4.2,Điểm thu hút khách du lịch,Không có giá,"Trường Yên, Hoa Lư, Ninh Bình",Ninh Bình,7.921,"https://lh3.googleusercontent.com/p/AF1QipPrUTgYKYQwQQ3DG8U2-5wcO-iOkxFV9lv1P3BG, https://lh3.googleusercontent.com/p/AF1QipOoSJx6lFK7v2ayf1MMoQVDjbh3HnxSneeeg6JI, "
Đầm Vân Long,4.5,Điểm thu hút khách du lịch,Không có giá,"9V8H+CX8, Gia Vân, Gia Viễn, Ninh Bình",Ninh Bình,336,"https://lh3.googleusercontent.com/p/AF1QipNCLII8WxJLigW75NtB7Gaw3b0KYfq4p2mABxeh, https://lh3.googleusercontent.com/p/AF1QipOpQUtnpcfxpE_Ef15Kr25zPzykbo0FNqPmNAwD, "
Khu du lịch sinh thái Thung Nham - Ninh Bình,4.2,Khách sạn nghỉ dưỡng,Không có giá,"Thung Nham, Thôn Hải Nham, Hoa Lư, Ninh Bình",Ninh Bình,không có đánh giá,"https://lh3.googleusercontent.com/p/AF1QipN0fX3nIfNE4ZMEwRLC-W79GokpLOW9y-5_D2gT, https://lh3.googleusercontent.com/p/AF1QipOwUTtcNH-Si4cE3NJ6k2Xshnly2YvEBxaT3KL7, "
Khu Bảo tồn Thiên nhiên Vân Long,4.4,Khu bảo tồn thiên nhiên,Không có giá,"Gia Viễn, Ninh Bình",Ninh Bình,1.569,"https://lh3.googleusercontent.com/p/AF1QipOMCc_7GI6ewUgsGedHQVyo6N0xqTNYXDIJ_Bz5, https://lh3.googleusercontent.com/p/AF1QipM_xk1svii5crrhkqqCMHmekfdeXFHDQYu9Ks8v, "
