hotel,price,score,avg review,reviews count,province,address,description images
Nậm Thia Homestay,VND 624.000,"Đạt điểm 9,2",Tuyệt hảo,5,Yên Bái,"Bản Chao Hạ 2, xã Nghĩa Lợi, thị xã Nghĩa Lộ, tỉnh Yên Bái, Yên Bái, Việt Nam ","https://cf.bstatic.com/xdata/images/hotel/max1024x768/518103850.jpg?k=470f3d4b7e304a2f1431ef94f87ba260c097d9b979d2c8cfdd970d74c9b24a83&o=&hp=1, https://cf.bstatic.com/xdata/images/hotel/max500/530950726.jpg?k=4b4996dea6eae15ec1bd2dad468c856ad5e0faf30ed733f9bae4a20b72ce95ed&o=&hp=1, "
Khách Sạn Phương Thúy Âu Cơ,VND 1.400.000,"Đạt điểm 8,0",Rất tốt,7,Yên Bái,"thôn thanh hùng, xã tân thịnh, Yên Bái, Việt Nam ","https://cf.bstatic.com/xdata/images/hotel/max1024x768/557024854.jpg?k=feeb8aae2cfb6420899a54a3cd6b52d0a0fe85f44f72938c41db72c23fb9b34f&o=&hp=1, https://cf.bstatic.com/xdata/images/hotel/max500/592797257.jpg?k=af01ed8364bad4a43d7339a16a8c18964bbad82189b610be81edbc96f17ea85e&o=&hp=1, "
Muonglo Farmstay,VND 600.000,"Đạt điểm 8,8",Tuyệt vời,20,Yên Bái,"Bản Lụ 1, Xã Phúc Sơn, TX Nghĩa Lộ, Yên Bái, Việt Nam ","https://cf.bstatic.com/xdata/images/hotel/max1024x768/519506230.jpg?k=855fb3fd2c773a72a625ad682c08c3ff278b5b40d990d850c7d1b415a96c31b7&o=&hp=1, https://cf.bstatic.com/xdata/images/hotel/max500/518800342.jpg?k=5b87ca8886b83734c4a27dc6135985fcb21134be272972f303fdc0d1fda87603&o=&hp=1, "
Homestay Chinh Bi,VND 1.368.000,"Đạt điểm 9,2",Tuyệt hảo,41,Yên Bái,"Bản Đoàn Kết xã Sơn A - Thị xã Nghĩa Lộ - Tỉnh Yên Bái 2, Yên Bái, Việt Nam ","https://cf.bstatic.com/xdata/images/hotel/max1024x768/537045573.jpg?k=20b18b64ba308396551f814822aa8dfe11b160f5feb9837b9d3a243c9ccffcf4&o=&hp=1, https://cf.bstatic.com/xdata/images/hotel/max500/537045499.jpg?k=542d1e56e8e7cf246150efa41663679ba2f137f38fbbd4260189de0b535e8b81&o=&hp=1, "
Homestay Nhà của Mị - Mị's House,VND 850.000,"Đạt điểm 9,6",Xuất sắc,16,Yên Bái,"Suối Đao, Phù Nham, Nghĩa lộ, Yên bái, Yên Bái, Việt Nam ","https://cf.bstatic.com/xdata/images/hotel/max1024x768/513152303.jpg?k=8333130758b134d7556deddecfcad58cf27a1f86880eee53dd1b762992114b9a&o=&hp=1, https://cf.bstatic.com/xdata/images/hotel/max500/513136073.jpg?k=5e9ac703373c2527aab732b0a9d17508dd897ba153d4b53e4b9775b706d067dd&o=&hp=1, "
Club house Mebayluon Paragliding Mù Cang Chải,VND 2.016.000,None,None,None,Yên Bái,"21.777114, 104.264430 Nhà sàn, Yên Bái, Việt Nam ","https://cf.bstatic.com/xdata/images/hotel/max1024x768/579710980.jpg?k=ba908d2344b1019390e2ada20c8a045ac5ba641da1960873eb685ce31c2f9832&o=&hp=1, https://cf.bstatic.com/xdata/images/hotel/max500/579710797.jpg?k=0e9ffc37ec86330a19d76755532980ee2d1f7bc096dcad21467f58b395670ee1&o=&hp=1, "
HƯƠNG VIỆT hotel,VND 806.400,None,None,None,Yên Bái,"Văn Hưng ,cát thịnh , văn chấn, Yên Bái, Việt Nam ","https://cf.bstatic.com/xdata/images/hotel/max1024x768/590197161.jpg?k=62ff22fc62228f2d3e2a4786a3d4cd4ba204254ba1c7fd700e9b3a575070b891&o=&hp=1, https://cf.bstatic.com/xdata/images/hotel/max500/590197197.jpg?k=94d0f3f629154930e28bf2168bb37a00990a680c5f60dad311dfef1e5664e832&o=&hp=1, "
Homestay tuấn bảy,VND 792.000,"Đạt điểm 9,0",Tuyệt hảo,1,Yên Bái,"Bản sà rèn nghĩa lợi nghĩa lộ tỉnh Yên Bái, Yên Bái, Việt Nam ","https://cf.bstatic.com/xdata/images/hotel/max1024x768/522147952.jpg?k=84df9597d2eac4fcd4888ffe95bfb9842304a9f85bfdd9c6785c6a9488da5e9d&o=&hp=1, https://cf.bstatic.com/xdata/images/hotel/max500/522147991.jpg?k=4d24615d4adb8183f8af91db539f01306f1bcbbd7cc63d7ca4b24382efd3408b&o=&hp=1, "
Homestay and Hots Spring Huy Hường,VND 1.440.000,None,None,None,Yên Bái,"homestay huy hường tắm nước khoáng nóng, Yên Bái, Việt Nam ","https://cf.bstatic.com/xdata/images/hotel/max1024x768/499229426.jpg?k=0252c8f2145a7c0a241ebbd4050dc3e461da8616a8d5c4fb26b741061ee30a83&o=&hp=1, https://cf.bstatic.com/xdata/images/hotel/max500/499320233.jpg?k=774c71ee5c94e9e61460a9551cc406052636e0464f0e7dbcf6dcedfc73ad9ad6&o=&hp=1, "
Homestay tuấn bảy,VND 920.216,"Đạt điểm 7,2",Tốt,9,Yên Bái,"Bản sà rèn xã nghĩ lợi thị xã nghịa lộ tỉnh yên bái, Yên Bái, Việt Nam ","https://cf.bstatic.com/xdata/images/hotel/max1024x768/428773733.jpg?k=8e9d184d808ef2b0e143bde13d12a825c3abf9083c5cfe68b0f8b7f70d4522f5&o=&hp=1, https://cf.bstatic.com/xdata/images/hotel/max500/428773700.jpg?k=f7c2a42e60bf68075552a5fdafca7448a4c2f9d81e4aa75842309eaf8044fab4&o=&hp=1, "
