hotel,price,score,avg review,reviews count,province,address,description images
Phuc Thanh Luxury Hotel by THG,VND 470.000,"Đạt điểm 8,8",Tuyệt vời,1.147,Đà Nẵng,"Le Quang Dao A.39, Đà Nẵng, Việt Nam ","https://cf.bstatic.com/xdata/images/hotel/max1024x768/293433476.jpg?k=da1710d6684209537946424c7d67a02b3c82ca386eac51af9706bee8bb75d578&o=&hp=1, https://cf.bstatic.com/xdata/images/hotel/max500/418246128.jpg?k=365c28bdebec9639f6fdff8ed392611769ebe4bb94f8bd55ec3418dc9bdea12d&o=&hp=1, "
Golden Light Hotel,VND 537.600,"Đạt điểm 8,0",Rất tốt,71,Đà Nẵng,"157A Hồ Nghinh, Đà Nẵng, Việt Nam ","https://cf.bstatic.com/xdata/images/hotel/max1024x768/553817423.jpg?k=d778132537ca45945c846333700fd8555bf8a1f638c7a32ae7662df8d5a44366&o=&hp=1, https://cf.bstatic.com/xdata/images/hotel/max500/553816644.jpg?k=858f23a6ba625f8f9b3d0f44a46423a275f02ff0df1e1f95912557009d564174&o=&hp=1, "
SOCO Hotel by THG,VND 600.000,"Đạt điểm 8,8",Tuyệt vời,2.372,Đà Nẵng,"305 Nguyen Van Thoai, Đà Nẵng, Việt Nam ","https://cf.bstatic.com/xdata/images/hotel/max1024x768/436121190.jpg?k=b5e60ce4befbd1e147f58a34a36f5d289a87ead2c1c0d59064791a6be138c591&o=&hp=1, https://cf.bstatic.com/xdata/images/hotel/max500/436121187.jpg?k=42b899d0b7198d35107a156c6c76728b151e54330b89b247cbd4b3dd4a0a4995&o=&hp=1, "
Golden Rose Hotel by THG,VND 700.000,"Đạt điểm 8,9",Tuyệt vời,3.132,Đà Nẵng,"56 Loseby Phường An Hải Bắc, Quận Sơn Trà, Đà Nẵng, Việt Nam ","https://cf.bstatic.com/xdata/images/hotel/max1024x768/344274660.jpg?k=3ebb22a2639b4a29e8c31191d111d6305e41ad3140da4d6a9c025f403664567e&o=&hp=1, https://cf.bstatic.com/xdata/images/hotel/max500/344273857.jpg?k=90b0f8604366162f172e45c3fcdc22619b8d78a28e68a927650fd679e4958a61&o=&hp=1, "
Valencia Da Nang Beach Hotel,VND 429.975,"Đạt điểm 8,0",Rất tốt,380,Đà Nẵng,"Lo 61-62 Phan Liem, Phuong My An, Quan Ngu Hanh Son, Đà Nẵng, Việt Nam ","https://cf.bstatic.com/xdata/images/hotel/max1024x768/499592006.jpg?k=ba2f3073a9a9cb5a036ddff527c4aaa5fe29506eec2f27f8807de7cbb1b60ed1&o=&hp=1, https://cf.bstatic.com/xdata/images/hotel/max500/226809125.jpg?k=d9bbb8b4a4f89ee4497b2a3acc2bf6ab588cd2deaac1a079e47f2ae733a5abe3&o=&hp=1, "
Quoc Cuong Hotel & Apartment Danang by Haviland,VND 280.800,"Đạt điểm 8,9",Tuyệt vời,103,Đà Nẵng,"322 Hoàng Diệu, Bình Hiên, Hải Châu, Đà Nẵng, Việt Nam ","https://cf.bstatic.com/xdata/images/hotel/max1024x768/517353026.jpg?k=fcde76c62a6a653365e80e5a0a52ee39d4203af653b5c1e755d09a099363427d&o=&hp=1, https://cf.bstatic.com/xdata/images/hotel/max500/517356612.jpg?k=44d435bc7972269c61623b06c6d175d50ab0cc1c22fbeab9268c0701665a7871&o=&hp=1, "
Merry Land Hotel Da Nang,VND 640.000,"Đạt điểm 8,6",Tuyệt vời,3.801,Đà Nẵng,"Lot B20- B21 Pham Van Dong Str, An Hai Bac Ward, Son Tra District, Đà Nẵng, Việt Nam ","https://cf.bstatic.com/xdata/images/hotel/max1024x768/206176937.jpg?k=66c34f3228a05e118778d046fb0038d1aa14421125486c8494f49ff7e84960c0&o=&hp=1, https://cf.bstatic.com/xdata/images/hotel/max500/373611573.jpg?k=9f5c42204ea1beae51b3ddb1317a43a3ce4023acf85bf7a065ed9c2719855ba5&o=&hp=1, "
Raon Danang Beach - STAY 24H,VND 666.540,"Đạt điểm 8,8",Tuyệt vời,2.017,Đà Nẵng,"5 An Thuong 32, My An Ward, Ngu Hanh Son District, Đà Nẵng, Việt Nam, Đà Nẵng, Việt Nam ","https://cf.bstatic.com/xdata/images/hotel/max1024x768/499866098.jpg?k=f4a4e5f338da473d8251478b3281e1f7d202777253cb904daff319a2af466f31&o=&hp=1, https://cf.bstatic.com/xdata/images/hotel/max500/243878514.jpg?k=c82dddbd65abb6b7a2e343c8a7fa459071b92fc1386909cb74ffb67b7a71aa29&o=&hp=1, "
Hồng Châu Hotel,VND 410.400,"Đạt điểm 8,1",Rất tốt,112,Đà Nẵng,"122 Hồ Nghinh, Đà Nẵng, Việt Nam ","https://cf.bstatic.com/xdata/images/hotel/max1024x768/544233813.jpg?k=e3077faa3a9c5f66dd6c9ade600cbef566d083e7b073f1f8465fd4fe0187c655&o=&hp=1, https://cf.bstatic.com/xdata/images/hotel/max500/540736697.jpg?k=53478990650bb7f10e99e527175d3a2ce817d38d98f6b4b49899a3ba7619cbac&o=&hp=1, "
Royal Family Hotel,VND 669.600,"Đạt điểm 8,8",Tuyệt vời,1.951,Đà Nẵng,"39 Vo Van Kiet, Đà Nẵng, Việt Nam ","https://cf.bstatic.com/xdata/images/hotel/max1024x768/444859483.jpg?k=6f598808b9329416d7d5a99a9e6d4958861b8f06c23f95e32a6125203c4247bc&o=&hp=1, https://cf.bstatic.com/xdata/images/hotel/max500/444859473.jpg?k=9247f27daff2866262c3c5e2db63b1fe746222e1656d7e914c2b497d43ce64b1&o=&hp=1, "
Crystal hotel by Ha My,VND 474.044,"Đạt điểm 9,5",Xuất sắc,8,Đà Nẵng,"206 Hồ Nghinh, Đà Nẵng, Việt Nam ","https://cf.bstatic.com/xdata/images/hotel/max1024x768/592045738.jpg?k=2de7c0016ecfa0598f95760e2f3cffabd134137e632e134bd4f4e357d8fb97f8&o=&hp=1, https://cf.bstatic.com/xdata/images/hotel/max500/592041678.jpg?k=555a66258aa9f5de2688f52ab798c4afdd0277a1f9361c6126e8e7bdef6f7503&o=&hp=1, "
RHM Luxury Hotel And Suite,VND 472.323,"Đạt điểm 8,6",Tuyệt vời,798,Đà Nẵng,"Số 02 An Tu Cong Chua, Phuong My An, Quan Ngu Hanh Son, Đà Nẵng, Việt Nam ","https://cf.bstatic.com/xdata/images/hotel/max1024x768/518141509.jpg?k=658f875c3d8ffb8b22dbe467ad36b4fff5f7e703175ec6f99ba72ac7facea032&o=&hp=1, https://cf.bstatic.com/xdata/images/hotel/max500/518142831.jpg?k=0bb9ea59e3708cef9a0d10ebb0170406e4eb7f86203d5156a077552d98831183&o=&hp=1, "
Le House Boutique Hotel,VND 630.000,"Đạt điểm 8,5",Rất tốt,1.446,Đà Nẵng,"85 - 87 Ha Bong, Đà Nẵng, Việt Nam ","https://cf.bstatic.com/xdata/images/hotel/max1024x768/111556617.jpg?k=bfaa41e41235d81be15e353b69bf62f423b154f68cfe0f13e6cb4b75b6a16ba1&o=&hp=1, https://cf.bstatic.com/xdata/images/hotel/max500/161853625.jpg?k=560ff6c2ee5d207333993de4d51cb61bb38367ce26326f05e707c59859c50da2&o=&hp=1, "
La Belle Vie Boutique Hotel,VND 534.600,"Đạt điểm 8,9",Tuyệt vời,320,Đà Nẵng,"Cao Xuân Dục 04, Đà Nẵng, Việt Nam ","https://cf.bstatic.com/xdata/images/hotel/max1024x768/476862793.jpg?k=def2e2b9753474962f38f8407a690a2a809f7df9d61cc07330a02c34dffdfddd&o=&hp=1, https://cf.bstatic.com/xdata/images/hotel/max500/524143867.jpg?k=8504e0f1f0fac757c71e1e297cb4eb559ce0a6239dc5ef46ad5eff074e5e5a0c&o=&hp=1, "
Trung Hiếu Hotel - bên cạnh Miếu Bà Chúa Xứ,VND 1.002.000,"Đạt điểm 9,2",Tuyệt hảo,6,An Giang,"126 Châu Thị Tế, Châu Đốc, Việt Nam ","https://cf.bstatic.com/xdata/images/hotel/max1024x768/580673516.jpg?k=c8c0ad54851b594e98d854574b754aac182acde4756d39e3a3b4bf7f963e5aab&o=&hp=1, https://cf.bstatic.com/xdata/images/hotel/max500/529706363.jpg?k=d2ad9d996c489600f5ed2c7c066ed4a23d89079fbedc1a5100ddd481afbe2b51&o=&hp=1, "
Lá Homestay,VND 960.000,"Đạt điểm 8,8",Tuyệt vời,167,An Giang,"Số 12, đường số 4, KĐT Tây Sông Hậu, phường Mỹ Phước, TP.Long Xuyên, tỉnh An Giang, Ấp Mỹ Qứi, Việt Nam ","https://cf.bstatic.com/xdata/images/hotel/max1024x768/291269310.jpg?k=cc89e18594ee2f80af50abe8b55e907953fdaf468c3941297e906db550b25b83&o=&hp=1, https://cf.bstatic.com/xdata/images/hotel/max500/517058433.jpg?k=26c0dcad0833a9d911ade9d8a2588e41ecfe3bdcecc010f005cf959d6a79e0a8&o=&hp=1, "
The Luxe Hotel Châu Đốc,VND 1.700.459,"Đạt điểm 8,4",Rất tốt,74,An Giang,"Tân Lộ Kiều Lương 394-396, Châu Đốc, Việt Nam ","https://cf.bstatic.com/xdata/images/hotel/max1024x768/499522668.jpg?k=42925f0ef5f6c291d4b758bb969956751f19ef4969261743cb5d70d4a8f56df5&o=&hp=1, https://cf.bstatic.com/xdata/images/hotel/max500/502660444.jpg?k=9e90caee3df764341fdd60b6e6adcc376775d2344d4228487e59c1d8512bb8d2&o=&hp=1, "
Hostel Đặng Lợi ホステルダンロイ,VND 886.127,"Đạt điểm 8,7",Tuyệt vời,335,An Giang,"187 Nguyễn Tri Phương, Châu Đốc, An Giang, Châu Đốc, Việt Nam ","https://cf.bstatic.com/xdata/images/hotel/max1024x768/174340499.jpg?k=064475f7e081d68ffdbdd650f865c78bf050eb46a6b23094ee3810b3189b744d&o=&hp=1, https://cf.bstatic.com/xdata/images/hotel/max500/524116861.jpg?k=23ae9f4236a420dfb90d7ea455a2fc28a7389d124cb63749bd43e3cf56ddd0a4&o=&hp=1, "
Victoria Chau Doc Hotel,VND 4.042.156,"Đạt điểm 8,7",Tuyệt vời,219,An Giang,"1 Le Loi Street, Chau Doc Town, Châu Đốc, Việt Nam ","https://cf.bstatic.com/xdata/images/hotel/max1024x768/446903048.jpg?k=953171dbeb69ffeac97027de9d2409f26d62959ec756dbdc9d4cfe13234da358&o=&hp=1, https://cf.bstatic.com/xdata/images/hotel/max500/446907372.jpg?k=9a16dd8c0e55dd94990d3daec288e5abb48a21b2c42b56d368d87c4777fea151&o=&hp=1, "
Paris Hotel Châu Đốc,VND 1.400.000,"Đạt điểm 8,9",Tuyệt vời,126,An Giang,"Góc Đường Trần Nguyên Hãn giao với Đường Số 2, Phường Châu Phú B, Tp Châu Đốc, AG, Châu Đốc, Việt Nam ","https://cf.bstatic.com/xdata/images/hotel/max1024x768/523886524.jpg?k=145a2e9b5ef476aefaa29376dd9cac48d699fa6f3bec2399e76a6974afb4daac&o=&hp=1, https://cf.bstatic.com/xdata/images/hotel/max500/526200460.jpg?k=19d1698a6698b1e7df507399e39afa4d0bb52dc32d4b4c30d731ef13407590cb&o=&hp=1, "
Hero Hostel & Billiards,VND 790.400,"Đạt điểm 7,7",Tốt,97,An Giang,"5A Trần Nguyên Hãn, khóm Châu Quới 3, phường Châu Phú B, Thành phố Châu Đốc, Châu Đốc, Việt Nam ","https://cf.bstatic.com/xdata/images/hotel/max1024x768/489931687.jpg?k=cd73f4c55da0e93bde0c2f58d557a5f6467761b21916b2db5df2fa430be13a7c&o=&hp=1, https://cf.bstatic.com/xdata/images/hotel/max500/489874886.jpg?k=8df5f05768f03da5f9e7ea0f4f05c7c57d290de49d2a260d122a82a46f1ace61&o=&hp=1, "
FaMi Nguyễn Homestay Châu Đốc,VND 1.071.000,"Đạt điểm 7,6",Tốt,132,An Giang,"Tân lộ kiều lương, tổ 8, khóm Châu Thới 1, phường Châu Phú B, thành phố Châu Đốc, Tỉnh An Giang Angiang, An Giang, Vietnam 90506, Châu Đốc, Việt Nam ","https://cf.bstatic.com/xdata/images/hotel/max1024x768/262904980.jpg?k=cf4f1cb2d45fb7714ea997e26b88ede01aeac24673b435c91a99700c07168e9c&o=&hp=1, https://cf.bstatic.com/xdata/images/hotel/max500/262903914.jpg?k=8f49035fbeb87b820040b53ef52bdb1ba21d4c0974fec2d8092e4ffafc43df76&o=&hp=1, "
Hotel Đăng Khôi Núi Sam,VND 720.000,"Đạt điểm 8,5",Rất tốt,137,An Giang,"Tân Lộ Kiều Lương, Châu Đốc, Việt Nam ","https://cf.bstatic.com/xdata/images/hotel/max1024x768/141476345.jpg?k=ddd43d868ba73c65c90d8903c3c64e69dd4be701add271650acb655e1d5c1f50&o=&hp=1, https://cf.bstatic.com/xdata/images/hotel/max500/140503375.jpg?k=906138da8fc8a14d1b3ce4cb650418077c1b997df04bb5d3d3bce3bcce6be756&o=&hp=1, "
Victoria Nui Sam Lodge,VND 3.635.728,"Đạt điểm 8,6",Tuyệt vời,151,An Giang,"Vinh Dong 1, Nui Sam, Châu Đốc, Việt Nam ","https://cf.bstatic.com/xdata/images/hotel/max1024x768/445714303.jpg?k=bcbb2a35fd129b33a7da93a52b347b274ace10f814f92d5dd7310311b406cf76&o=&hp=1, https://cf.bstatic.com/xdata/images/hotel/max500/445711282.jpg?k=3dee8495d8ef5b0a6da2d102807957b76ad515d53665f92c74c2050d6d4faf8a&o=&hp=1, "
Phuong Nam Hotel An Giang,VND 1.203.600,"Đạt điểm 7,6",Tốt,67,An Giang,"75 Tran Hung Dao, Long Xuyên, Việt Nam ","https://cf.bstatic.com/xdata/images/hotel/max1024x768/498550210.jpg?k=a205eb3a5bb41cc9d0b051444b07502c3ee6a8ce6b1447a65e795a5bf218108d&o=&hp=1, https://cf.bstatic.com/xdata/images/hotel/max500/498550209.jpg?k=462278afd43310a31e36715d5334340826a4f1a565ffbadb023df3f1f0f9d87c&o=&hp=1, "
Homestay Khoa Chaudoc,VND 600.000,"Đạt điểm 9,6",Xuất sắc,486,An Giang,"116 Nguyễn Văn Thoại, Châu Đốc, Việt Nam ","https://cf.bstatic.com/xdata/images/hotel/max1024x768/528227209.jpg?k=ebd501da382d28f2d5f56baca2c4a5de6514fef115e8c05d1cbac95409e381b2&o=&hp=1, https://cf.bstatic.com/xdata/images/hotel/max500/528227211.jpg?k=9fb99780519f5156489388f854942253f303e8234fc61ee3af27ab291091045b&o=&hp=1, "
River Hotel 5,VND 843.200,"Đạt điểm 7,3",Tốt,20,An Giang,"38 Vũ Trọng Phụng, Mỹ Thới, TP Long Xuyên, An Giang, Long Xuyên, Việt Nam ","https://cf.bstatic.com/xdata/images/hotel/max1024x768/505648814.jpg?k=87afed761ba881f974f8026ada9e540a8606298770f74fc4e61d4970b4e25109&o=&hp=1, https://cf.bstatic.com/xdata/images/hotel/max500/505648765.jpg?k=7f3783bb11b424b141de46baa5edeb64edbe8ff45fe65835c533caf053202df7&o=&hp=1, "
Minh Kim Guesthouse,VND 490.000,"Đạt điểm 7,8",Tốt,78,An Giang,"622, Tôn Đức Thắng, Vĩnh Mỹ, Châu Đốc, An Giang, Ấp Phó, Việt Nam ","https://cf.bstatic.com/xdata/images/hotel/max1024x768/180066622.jpg?k=c3e7cdf4e3d8a57a34b0cb946b4fbfac42478649b9c3de339b9d7d9a38eede69&o=&hp=1, https://cf.bstatic.com/xdata/images/hotel/max500/180067437.jpg?k=f3a4ab0d2f0aae9a9f5d88fd3236c27516cb86eba5967c700c45e0c9bc42c863&o=&hp=1, "
CHAU KHUONG HOTEL,VND 2.100.000,"Đạt điểm 8,5",Rất tốt,208,An Giang,"02 Ha Hoang Ho, My Xuyen Ward, Long Xuyen City, An Giang Province, Long Xuyên, Việt Nam ","https://cf.bstatic.com/xdata/images/hotel/max1024x768/277853053.jpg?k=07da7ada9408f1e0b62c4fbfe384b6eb2ad9531c91ab24d10540b27243f6832b&o=&hp=1, https://cf.bstatic.com/xdata/images/hotel/max500/277855241.jpg?k=d980435da26bf4a865cf25adabcf53e36311a38cc64edaaaa4ff8d8eafbd87fe&o=&hp=1, "
Khách Sạn Ngọc Hân,VND 560.099,"Đạt điểm 7,0",Tốt,24,An Giang,"Số 266 Trà Sư TT Nhà Bàng, Tịnh Biên, An Giang, Ấp Vĩnh Phú, Việt Nam ","https://cf.bstatic.com/xdata/images/hotel/max1024x768/577085904.jpg?k=6650a2c85d0e12fa5102f42004a0cd9102e4acac5baf6257d69c6c834603bcd1&o=&hp=1, https://cf.bstatic.com/xdata/images/hotel/max500/219322431.jpg?k=48750c6f9992bba0e94dd4d9628a4e00ec808062e85868e2d9bcad7918443498&o=&hp=1, "
River Hotel 4 Long Xuyên,VND 693.600,"Đạt điểm 6,9",Điểm đánh giá,40,An Giang,"74 Đặng Dung, Mỹ Long, TP Long Xuyên, Long Xuyên, Việt Nam ","https://cf.bstatic.com/xdata/images/hotel/max1024x768/496501758.jpg?k=6fafaaefff25aa8d32e5ee4073d95573fca92fea59fc761d39879bd41f445e98&o=&hp=1, https://cf.bstatic.com/xdata/images/hotel/max500/496501760.jpg?k=525645c348aed672026d44a357886d892e18e289143eaafe09f48324d22ed38d&o=&hp=1, "
LARA HOTEL LONG XUYÊN,VND 1.640.000,"Đạt điểm 8,6",Tuyệt vời,87,An Giang,"46 Hùng Vương Phường Mỹ Long, Long Xuyên, Việt Nam ","https://cf.bstatic.com/xdata/images/hotel/max1024x768/338842929.jpg?k=751249cc8af151e33aa5facd240a9cf875c0a69e8ff392328949f7e63bea269c&o=&hp=1, https://cf.bstatic.com/xdata/images/hotel/max500/338844679.jpg?k=a36a636d08bf526692c863827353559eb62ef26014324e030608611e1c5f2338&o=&hp=1, "
Hương Tràm,VND 300.000,"Đạt điểm 8,9",Tuyệt vời,145,An Giang,"Tổ 6 ấp Mằng Rò xã Văn Giáo huyện Tịnh Biên tỉnh An Giang, Hồ Ðá, Việt Nam ","https://cf.bstatic.com/xdata/images/hotel/max1024x768/463978001.jpg?k=b1ed153f909531f2e92f42915845df9975d719730b8061e66b9ce32c8e6553b6&o=&hp=1, https://cf.bstatic.com/xdata/images/hotel/max500/557651058.jpg?k=c2fe5ed22fd6f7fe467df35100c70a33dcda5e737d2f119da53dd360ed144a17&o=&hp=1, "
Sang Như Ngọc Resort,VND 1.890.000,"Đạt điểm 7,9",Tốt,71,An Giang,"Đường 948 Tổ 03, ấp An Hòa, Xã An Hảo, Huyện Tịnh Biên, Tỉnh An Giang, Châu Đốc, Việt Nam ","https://cf.bstatic.com/xdata/images/hotel/max1024x768/205586181.jpg?k=c2b1e70a248fc98d7048f9febc1768bb76541d1d480cbbe0e9d91c9cde8db6f1&o=&hp=1, https://cf.bstatic.com/xdata/images/hotel/max500/401923946.jpg?k=e78fc52e0aaa2608838def4da06d2cb06c0f112a848fbc05c40dbf2fd1089213&o=&hp=1, "
Căn hộ Khách sạn cao cấp Marina Plaza Long Xuyên,VND 1.398.001,"Đạt điểm 8,2",Rất tốt,82,An Giang,"Tổ 1, Khóm Bình Long 3, Mỹ Bình, Long Xuyên, An Giang, Ấp Ðông An (1), Việt Nam ","https://cf.bstatic.com/xdata/images/hotel/max1024x768/486872826.jpg?k=b7f4bccb91553728b1859d324d4a3a603be2ee31e84189f3ddda4ff0ef14c17e&o=&hp=1, https://cf.bstatic.com/xdata/images/hotel/max500/401438299.jpg?k=7b47ff01ab5a4a84c6eb97787c91e939be6a5ba6d1ab14b4a30affb4ab6c5734&o=&hp=1, "
HERA HOSTEL,VND 1.200.000,"Đạt điểm 8,8",Tuyệt vời,291,An Giang,"195 Hoàng Diệu, Phường Châu Phú B, Châu Đốc, Châu Đốc, Việt Nam ","https://cf.bstatic.com/xdata/images/hotel/max1024x768/394475076.jpg?k=7beedeca643f0a6888567c7dc7bf5ea59aca42276dc86c237f351e8d20572708&o=&hp=1, https://cf.bstatic.com/xdata/images/hotel/max500/388494949.jpg?k=45d0345861bfff42be9e17a584ff65fbb9099714b6d8af9b967e367a48bf0a4d&o=&hp=1, "
Lucky 190,VND 432.000,"Đạt điểm 8,1",Rất tốt,318,An Giang,"190 Tây Xuyên Phường Vĩnh Ngươn, Châu Đốc, Việt Nam ","https://cf.bstatic.com/xdata/images/hotel/max1024x768/216078597.jpg?k=04925cb8d147ab19ad1f9cead21980abdd187652e58db686653169e93fba4a07&o=&hp=1, https://cf.bstatic.com/xdata/images/hotel/max500/226575290.jpg?k=04aea4525d5f1e330f9a217919951856a4f6a2cdd18e29938a96adb100de9a28&o=&hp=1, "
Kim Ngân Motel,VND 535.500,"Đạt điểm 8,8",Tuyệt vời,355,An Giang,"286 Tân Lộ Kiều Lương, Châu Đốc, Việt Nam ","https://cf.bstatic.com/xdata/images/hotel/max1024x768/553681064.jpg?k=7c8a25ac3e19838299694ac6539b7a6273fabca84a13e323a21e446effb07cd2&o=&hp=1, https://cf.bstatic.com/xdata/images/hotel/max500/463393454.jpg?k=9266bf333c8e1a1868c565381a6906fae881aac7a18a5b2c81f80f613c82f7db&o=&hp=1, "
Little Saigon Hostel,VND 935.302,"Đạt điểm 8,2",Rất tốt,373,An Giang,"190 đường Bờ Tây , Châu Đốc, Việt Nam ","https://cf.bstatic.com/xdata/images/hotel/max1024x768/284081488.jpg?k=97d75921e059e41557b2260fa94f15742b59c4dae86dc5af187f47ce6ef99abd&o=&hp=1, https://cf.bstatic.com/xdata/images/hotel/max500/284081640.jpg?k=ddc3640e1f7ffb242913fee900db564c9eae037f12802e7bd907aee1b4e0a00f&o=&hp=1, "
