name,score,category,price,address,province,review count,description images
Miếu Bà Chúa Xứ Núi Sam,4.7,Nơi thờ cúng,Không có giá,"925 Phạm Văn Bạch, Khóm Vĩnh Tây, Châu Đốc, An Giang",An Giang,2.129,"https://lh3.googleusercontent.com/p/AF1QipMiZzL2D5ZZxyo0LvBy0Zi-OBXK_Opqdpr650FG, https://lh3.googleusercontent.com/p/AF1QipP842-YDksCQPEzjAH4_uVoo-T9lm4qALpdO_q9, "
Chùa Huỳnh Đạo,4.6,Chùa phật giáo,Không có giá,"Vĩnh Đông 2, Quốc lộ 91, Tân Lộ Kiều Lương, P. Núi Sam, Châu Đốc, An Giang",An Giang,1.705,"https://lh3.googleusercontent.com/p/AF1QipMiZzL2D5ZZxyo0LvBy0Zi-OBXK_Opqdpr650FG, https://lh3.googleusercontent.com/p/AF1QipP842-YDksCQPEzjAH4_uVoo-T9lm4qALpdO_q9, "
Rừng Tràm Trà Sư,4.4,Khu bảo tồn thiên nhiên,Không có giá,"H3M5+WH8, Ấp Văn Trà, Văn Giáo, Tịnh Biên, An Giang 884000",An Giang,6.843,"https://lh3.googleusercontent.com/p/AF1QipPBj0MefgxmFIKgU2v7lM1jYyfu_TYKWSH77ycC, https://lh3.googleusercontent.com/p/AF1QipNjdqHlbbqXnOB0B3c5Nulq4dKfwmqtB6pCMatn, "
Hồ Đá Đồi Tà Pạ,4.5,Thắng cảnh,Không có giá,"Núi Tô, Tri Tôn, An Giang",An Giang,3.890,"https://lh3.googleusercontent.com/p/AF1QipN35KrRKu6UzJNjBNRn_jHT_x_Pc0Uu6RIH4ebP, https://lh3.googleusercontent.com/p/AF1QipPit5oHViOb5CbTHjS8Y8_edUkgrhtSKrjC6ypO, "
Tây An Cổ Tự,4.5,Chùa phật giáo,Không có giá,"Đường Đ. Vòng Núi Sam, P. Núi Sam, Châu Đốc, An Giang",An Giang,847,"https://lh3.googleusercontent.com/p/AF1QipNPr9_ChXG90l1xX2ONVk6j5F8u961plif3PBVC, https://lh3.googleusercontent.com/p/AF1QipPKx4Ye9XJl7GUtcIAcFNY9D74nmMgVAqmIM44y, "
Phước Điền Tự - Chùa Hang,4.7,Chùa phật giáo,Không có giá,"P. Núi Sam, Châu Đốc, An Giang",An Giang,2.654,"https://lh3.googleusercontent.com/p/AF1QipPWH1xr54g6vAMwBz-AEHg86cZe5x8FF-ggaS90, https://lh3.googleusercontent.com/p/AF1QipOAEWN92mOXcvKSVXCDAy4JQwhNSCs7mv6ldq__, "
Chợ Nổi Long Xuyên,4.3,Chợ nổi,Không có giá,"688 Phạm Cự Lượng, P. Mỹ Phước, Thành phố Long Xuyên, An Giang",An Giang,103,"https://lh3.googleusercontent.com/p/AF1QipN4Fa5EqOAG6c8oRxF-ZGFTxe3YWLSf8f0H-q5h, https://lh3.googleusercontent.com/p/AF1QipN3_LfZfZiNgN5tUFuRGbwWSQhoDqsVJjaOpIcm, "
Phước Lâm Tự - Chùa Lầu,4.6,Chùa phật giáo,Không có giá,"JX56+63V, Unnamed, Road, Tịnh Biên, An Giang",An Giang,765,"https://lh3.googleusercontent.com/p/AF1QipNoWwzBMHtSixC7Xw5Om_bXVmyPVqc5qf5cGw7R, https://lh3.googleusercontent.com/p/AF1QipO83FFB2muDHWCAtdg3kO45fN9s64Ggd4OREzDe, "
Khu du lịch Núi Sập,4.2,Điểm thu hút khách du lịch,Không có giá,"TT. Núi Sập, Thoại Sơn, An Giang",An Giang,1.148,"https://lh3.googleusercontent.com/p/AF1QipMa9dzkLaKzZA_FdItbU8M8F2jZuxHeW2RN9YrX, https://lh3.googleusercontent.com/p/AF1QipNtM8TEN13seVAOJrNoYWrQVlPHACr_veIgB5f9, "
Đài Quan sát - Rừng Tràm Trà Sư,4.3,Công viên quốc gia,Không có giá,"H3M5+QJM, Văn Giáo, Tịnh Biên, An Giang",An Giang,173,"https://lh3.googleusercontent.com/p/AF1QipOGwTreG2ioqyMXSeDmsD1G-aQ6vmQ-A9OMaLFv, https://lh3.googleusercontent.com/p/AF1QipMeJaakusBkiTb_3A674PjTkrVgDbP5ZroJN8l_, "
