name,address,score,reviews count,avg price,province,description images
Quán Hạnh,11-15 Đường Phó Đức Chính,"4,3","3,2 N",100.000-200.000 ₫,Thừa Thiên Huế,"https://lh5.googleusercontent.com/p/AF1QipO2dUcU_AbPgowSXPVTYrS8OO5srKj2BBlGIDKS, https://lh5.googleusercontent.com/p/AF1QipMG5ztrOTtCThflmPKNA5MDEKT15LudjfCwSx8M, "
Cơm niêu Chạn,1 Nguyễn Thái Học,"4,5","1,5 N",100.000-200.000 ₫,Thừa Thiên Huế,"https://lh5.googleusercontent.com/p/AF1QipNx7GMYWKgYUx33IkHb9RwCVTUsQ8pb7L0MyuzO, https://lh5.googleusercontent.com/p/AF1QipNMt5Lsn-pvuVsXv66BZDmwUXtw1yh3TuG9XPpJ, "
Quán cơm Chị Tẹo,59 Hai Bà Trưng,"3,8",877,1-100.000 ₫,Thừa Thiên Huế,"https://lh5.googleusercontent.com/p/AF1QipPeXLhMA0sJAv6yhhuUDrr1wew54bQYKiJaf9YX, https://lh5.googleusercontent.com/p/AF1QipPCW2ZkQxaLQrZHd4y11jdpUC3b5SUb7dSr1Z2F, "
Nhà Hàng Cơm Niêu Sen,4 Trần Anh Liên,"4,0",156,100.000-200.000 ₫,Thừa Thiên Huế,"https://lh5.googleusercontent.com/p/AF1QipP0ZmfOCVrIo-r9ruDgydaYjcIOkthzpHvk7v_7, https://lh5.googleusercontent.com/p/AF1QipP_9nO8h7jbLIT7_rUA1iiJdxyCywG0zVhU6ZpZ, "
Nhà Hàng Không Gian Xưa Minh Mạng,98 Minh Mạng,"4,1",429,100.000-200.000 ₫,Thừa Thiên Huế,"https://lh5.googleusercontent.com/p/AF1QipOA1YxFyh_eHj---k_N9KWRVkFV8fUmWBsf0A1m, https://lh5.googleusercontent.com/p/AF1QipOHAX3QYE1iM9oWvPtD165IvueXIjWMSj5iQhVM, "
Quán Ăn Bà Chanh,9 Trường Chinh,"3,8",339,None,Thừa Thiên Huế,"https://lh5.googleusercontent.com/p/AF1QipNjKHGwuHTbQ-WGUGW08DU3jkoqUD4X-QHffD33, https://lh5.googleusercontent.com/p/AF1QipNaviLbinN2H1ENChf5RYGb6UBa1886RsXMPKdx, "
Nhà Hàng Cơm Niêu Khải Hoàn,90-94 Lê Lợi,"4,6","1,4 N",100.000-200.000 ₫,Thừa Thiên Huế,"https://lh5.googleusercontent.com/p/AF1QipNyAJC-SwzGLVKKnqWCWJXaKldEJ9vNUrmp9zHA, https://lh5.googleusercontent.com/p/AF1QipOz1yrfq3QhZA6OiLl7X2p5c_Yd6zsfAkqsRp4H, "
Quán Ăn Tài Phú,2 Điện Biên Phủ,"3,9",479,1-100.000 ₫,Thừa Thiên Huế,"https://lh5.googleusercontent.com/p/AF1QipMYMtkX2kyb4x7X-qzQ-SVhK3F2AHrvMWS1Qe9I, https://lh5.googleusercontent.com/p/AF1QipMStia6UM_ozVy5ENMXjL4MKkJQ7O9G_U4ede7t, "
Bún Bò Huế Sen - Quán ăn sáng chất lượng tại Huế,69 Võ Thị Sáu,"4,8",610,1-100.000 ₫,Thừa Thiên Huế,"https://lh5.googleusercontent.com/p/AF1QipOHV0Ms5wj9yFwhXutFGkhNY30lQd66DC46FKAD, https://lh5.googleusercontent.com/p/AF1QipNs0_AjvMCIcrQPifkPtRut3v2SFj8ioqX-r6EA, "
Nhà Hàng Hải Sản Bé Thân - Lăng Cô,Lăng Cô - Chân mây,"4,2","2,1 N",None,Thừa Thiên Huế,"https://lh5.googleusercontent.com/p/AF1QipM2RVPpIGGR1ojZTqfovW1UnuT3H9U17Amw0dwG, https://lh5.googleusercontent.com/p/AF1QipPilq25qYjfp4UWAe-2GaZteYgjGEvUNTv9h-oD, "
Cơm hến Hoa Đông,64 Kiệt 7 Ưng Bình,"4,4","1,6 N",1-100.000 ₫,Thừa Thiên Huế,"https://lh5.googleusercontent.com/p/AF1QipPoG2CSKeiTVO0ibNkCVOZXr0rpLEn0YQrTAiVQ, https://lh5.googleusercontent.com/p/AF1QipMZeHI1hr2iUqK4_I5JtSYWUwONDV9KxYM_31s, "
Nhà Hàng Cung Đình,03 Nguyễn Sinh Sắc,"4,1",677,None,Thừa Thiên Huế,"https://lh5.googleusercontent.com/p/AF1QipMMzJ-bNhI9rlBCFmJKzGUm1Y47N-CtlN2PK-Pp, https://lh5.googleusercontent.com/p/AF1QipNQvj0MhJaY3igBi6ZTGm1nc2WJHDc54XcncF0k, "
Nhà Hàng Gạo,60 Hai Bà Trưng,"4,4",174,100.000-200.000 ₫,Thừa Thiên Huế,"https://lh5.googleusercontent.com/p/AF1QipPdJ2x78eQ3qX5bnxJAJTUR8XxU8qyQjGZODOhV, https://lh5.googleusercontent.com/p/AF1QipOv-FmSwZh182ZYv1Ghp8ZozCARSalHaNvn_0M7, "
CHOSUN-Tiệm ăn Hàn Quốc,06 Ngô Đức Kế,"4,6",214,1-100.000 ₫,Thừa Thiên Huế,"https://lh5.googleusercontent.com/p/AF1QipOwex2RIud0aiX3heuJMEiJ8xMvtiOTCa2J-0YP, https://lh5.googleusercontent.com/p/AF1QipOROLyM97AA9CI83e1BGEWKQM_slV0FlO05yYkk, "
Bà Tám-Món Ngon Ba Miền-Vietnamese Restaurant-Banh Mi in Hue,6/14 Kiệt 42 Nguyễn Công Trứ,"4,8",384,100.000-200.000 ₫,Thừa Thiên Huế,"https://lh5.googleusercontent.com/p/AF1QipPQNe0kDUM4rI2pk3MxXXoMZFKohnbiOOV9shGo, https://lh5.googleusercontent.com/p/AF1QipPPnFU0OtGhnHKAv2C4f_IXeAkIv8Dgzz48beg4, "
Cơm Hến 17 hàn mặc tử,17 Hàn Mặc Tử,"4,1",587,1-100.000 ₫,Thừa Thiên Huế,"https://lh5.googleusercontent.com/p/AF1QipMgn-RiUHcsXS0cqm_lGQXOJo1to_DYORMPNP97, https://lh5.googleusercontent.com/p/AF1QipP8LxBsNItfl1FY9PZp0Lkyx-i3wzAshqdjcfr1, "
Quán cơm Huế O Én,1 Trần Thúc Nhẫn,"4,7",206,1-100.000 ₫,Thừa Thiên Huế,"https://lh5.googleusercontent.com/p/AF1QipOinflVqI_041LBuXlZqOeTbyta5TcohUZAzjk-, https://lh5.googleusercontent.com/p/AF1QipNnOGjUHK2FC-u4n6xmLm2CBclvvSZgGOcPj2n-, "
Nhà Hàng Hoa Sơn Quán,46 Đặng Thùy Trâm,"4,1",302,200.000-300.000 ₫,Thừa Thiên Huế,"https://lh5.googleusercontent.com/p/AF1QipPKP2L8AiYXouTIC6azLoRnU971YMIyu0TFgyP3, https://lh5.googleusercontent.com/p/AF1QipNocPPdTE_gTz8OE2u7KAH11ZHCq8FEJ5NPhl3q, "
Cơm Niêu Lửa Việt,39 Nguyễn Thái Học,"3,7",178,100.000-200.000 ₫,Thừa Thiên Huế,"https://lh5.googleusercontent.com/p/AF1QipOdzFC198hYVYadn74zlucvcajKCkRJptiR99Fq, https://lh5.googleusercontent.com/p/AF1QipMrhTmVr5kRNrFrGrWrFBIhxb5MI8FEBW-MmzF-, "
Không Gian Xưa,205 Điện Biên Phủ,"3,8",406,100.000-200.000 ₫,Thừa Thiên Huế,"https://lh5.googleusercontent.com/p/AF1QipOM-m9WvBFaj-bX5mWmXY8Ms-cltRZFadYYl9nx, https://lh5.googleusercontent.com/p/AF1QipOSOB4fTZQ03WxB5lyvJEcxvsug5KS5ZO-IkVXQ, "
Bánh Bèo Nậm Lọc Bà Đỏ,8 Nguyễn Bỉnh Khiêm,"4,0","1,4 N",100.000-200.000 ₫,Thừa Thiên Huế,"https://lh5.googleusercontent.com/p/AF1QipMU2UlGk53ISLFVXO95a0s6OowS8tX7CSlFYm8X, https://lh5.googleusercontent.com/p/AF1QipO1rwu7WPUeNMf_5HdwC67AlpeZre26i6gR0LTD, "
Quán Bánh Bèo Nậm Lọc Huế Xưa,1 Nguyễn Bỉnh Khiêm,"4,6",291,1-100.000 ₫,Thừa Thiên Huế,"https://lh5.googleusercontent.com/p/AF1QipNvovX-jno9pqWhQrV5GyQ0Jmdge_2MsOK1sGJw, https://lh5.googleusercontent.com/p/AF1QipOyRV-DN2KDpksMdDl-AWZEQnVSt7sB2WfsuSKA, "
Nhà hàng Cơm niêu NGUỒN,5 Trần Quang Khải,"3,9",371,100.000-200.000 ₫,Thừa Thiên Huế,"https://lh5.googleusercontent.com/p/AF1QipPWYfg14U5EsD3t5nu99bgVhKzwvQ8b7HEnNXu8, https://lh5.googleusercontent.com/p/AF1QipO70dbEbtaxi4BncanjvN6dUqoQQraljymicc-H, "
Chè Hẻm,"1 kiệt, 29 Hùng Vương","4,0","2,6 N",1-100.000 ₫,Thừa Thiên Huế,"https://lh5.googleusercontent.com/p/AF1QipOYyJATlMwIY4YyoMsjVZfaEI6uDGtDiouUpUdJ, https://lh5.googleusercontent.com/p/AF1QipNxT-JWANg7I5ro4-9Bs9WzueWxoSamCDhL36rX, "
Les jardins de la Carambole - Nhà hàng Vườn Khế,32 Đặng Trần Côn,"4,6",1 N,None,Thừa Thiên Huế,"https://lh5.googleusercontent.com/p/AF1QipP1ACUmb9Q29J_BPenL0jE0p8GIYjXAysGEd02f, https://lh5.googleusercontent.com/p/AF1QipPbRtMNwzTuKY7aBG9eH0aGOhYI2j9zm-C8-CpQ, "
Quán bánh O Lé,"Kiệt 104, 17/9 Kim Long","4,7",482,1-100.000 ₫,Thừa Thiên Huế,"https://lh5.googleusercontent.com/p/AF1QipOJ_B7yWhaQBNVBKAy3H6i_hWl3elmLm1b4u6I, https://lh5.googleusercontent.com/p/AF1QipNPOB4ljnTw1jg-YzNSYFF0gIlOLBBdS9j-vz8M, "
Nhà hàng Bánh Gánh,51A Võ Thị Sáu,"4,8",884,100.000-200.000 ₫,Thừa Thiên Huế,"https://lh5.googleusercontent.com/p/AF1QipODCX_DieHm1H9zw-BPyq9AkviIo0q445CgjmQ7, https://lh5.googleusercontent.com/p/AF1QipOBx_pU7A6sWqBcs1F86iAmQU0cukHL4_qom6eA, "
Bánh Ướt - Bún Thịt Nướng Huyền Anh,50 Kim Long,"4,3","1,4 N",1-100.000 ₫,Thừa Thiên Huế,"https://lh5.googleusercontent.com/p/AF1QipPBDmIyuQ-_steN_xGJHydDbhF-qZ9X2w2wNKki, https://lh5.googleusercontent.com/p/AF1QipPwp-K7_qRPOk9oyE_UvAyEa9LLHpbwp7niENWv, "
Bà Hoà,11A Trương Định,"4,2",452,1-100.000 ₫,Thừa Thiên Huế,"https://lh5.googleusercontent.com/p/AF1QipPLP_HB3BWronCfLn0bYx-pMBQslunzYxaEIxIF, https://lh5.googleusercontent.com/p/AF1QipOt2FyhdX3RfSFfBdbFvd-DZqrFVqHWtfzfYzzT, "
"AN LAGOON Seafood Master - Nhà Hàng Hải Sản Lăng Cô, Huế",Thừa Thiên Huế,"4,4",320,None,Thừa Thiên Huế,"https://lh5.googleusercontent.com/p/AF1QipNhZqH6Q5q7mCXsY-KWSOGfHoUBrG7Nq988IXCq, https://lh5.googleusercontent.com/p/AF1QipN3VRdPKlIvQ4mzTPOaTbHVSoYHsQYW43NAoFkx, "
TIỆM ĂN DONALD TRUNG,28 Hoàng Văn Thụ,"4,5",1 N,100.000-200.000 ₫,Thừa Thiên Huế,"https://lh5.googleusercontent.com/p/AF1QipOU0yWMdsazttv-NTY6jXkmAvDtPZmmjiV9ZUBk, https://lh5.googleusercontent.com/p/AF1QipOHnTnnwD0bBIzY7XYw_G_2tWyF2d0DVkcA4mzA, "
QUÁN CHAY THANH LIỄU,50 Nguyễn Công Trứ,"4,5",696,1-100.000 ₫,Thừa Thiên Huế,"https://lh5.googleusercontent.com/p/AF1QipPOtoaJRoPw_WJRPu1iN10WbPbACPisyqyVzL3G, https://lh5.googleusercontent.com/p/AF1QipNjnAD3cmBSa8NJ5dncQSb3PLPeKHMo-aFuNB7d, "
Mộc Viên,2E Hoài Thanh,"4,2",324,200.000-300.000 ₫,Thừa Thiên Huế,"https://lh5.googleusercontent.com/p/AF1QipMc30DH1IeNCbm2oulPbu5nVFaYf75Dh_GYWZTx, https://lh5.googleusercontent.com/p/AF1QipNCdftA8_7d4gzXxz8m49AsdzINs2i9maZjntQE, "
Cơm Niêu Huế - Urban,23 Chu Văn An,"4,5",288,100.000-200.000 ₫,Thừa Thiên Huế,"https://lh5.googleusercontent.com/p/AF1QipO9nJLrOqFE9Hn4Ywmsvz1Jt1DpRHV6TjjHU1Op, https://lh5.googleusercontent.com/p/AF1QipOlNMlBQwHZPRxjoXhGQB77SLhVfkHur6vKAay_, "
Nhà Hàng Ta.ke,34 Trần Cao Vân,"4,2",425,None,Thừa Thiên Huế,"https://lh5.googleusercontent.com/p/AF1QipOLKPtpfu4aYH_FQ7xMzf9lcZA78vidm5ZtSC3E, https://lh5.googleusercontent.com/p/AF1QipNLCVLwwFILAf5xuWLCyUE3BUWE4rM3Yx5IGVw, "
Tinh Gia Vien Restaurant,7 kiet 28 Lê Thánh Tôn,"4,2",222,300.000-400.000 ₫,Thừa Thiên Huế,"https://lh5.googleusercontent.com/p/AF1QipOkyW5OavZYXCdXWIfByjV0Com7cJE8yGNimKBU, https://lh5.googleusercontent.com/p/AF1QipPtIumJ9vZ_i6Wg7tpchxAhmJ7Lk7cjCvAq8RfU, "
Nhà hàng Duyên Anh,"FJVF+H7J, Tỉnh lộ 10","4,4",743,None,Thừa Thiên Huế,"https://lh5.googleusercontent.com/p/AF1QipOU8Gtq1NUgk1B4flK27lY5-huAvOv7SvjLkR6c, https://lh5.googleusercontent.com/p/AF1QipMAwEP6t-OzE_jCpOlhStbF6fTprYQQ3R54LZPu, "
Quán Cơm Xuân Nhạn,78 Lê Duẩn,"3,7",190,1-100.000 ₫,Thừa Thiên Huế,"https://lh5.googleusercontent.com/p/AF1QipNRV6rAxjlhORJ5MhIO5pfochuYHgCjt8f4Wad0, https://lh5.googleusercontent.com/p/AF1QipMYdOWeG_wJNz04AmSAqik5iqD1QGdnK5U25Of1, "
Nhà hàng chay Tĩnh - Tĩnh Garden Vegetarian,140 Phan Bội Châu,"4,9",657,100.000-200.000 ₫,Thừa Thiên Huế,"https://lh5.googleusercontent.com/p/AF1QipMYAqXR3nde6KtsSLkpFwK2PXrH6B9Bxtt6lYXp, https://lh5.googleusercontent.com/p/AF1QipOHs5nymsJsZU3XdIG6nQQFsavu6_taSbSHa3Zm, "
Bánh khoái Hồng Mai,110 Đinh Tiên Hoàng,"4,4",612,1-100.000 ₫,Thừa Thiên Huế,"https://lh5.googleusercontent.com/p/AF1QipMGHe15Rgp3TpcEqPNkkVjHnaRTnAFnFHzVV0T_, https://lh5.googleusercontent.com/p/AF1QipPUJ-ccDEl3si8uIinHe87FA2L0jgxod09jTTaA, "
C'Beer Huế | Nhà hàng món ngon Huế | Món ngon Huế,25 Hai Bà Trưng,"4,1",11,None,Thừa Thiên Huế,"https://lh5.googleusercontent.com/p/AF1QipNdVMZRMdYOFOEGUvJy2XZWFQNvmOM0t2lgrRzA, https://lh5.googleusercontent.com/p/AF1QipO8mddnBECmP3NEhypzIs-PC_oO56KDP2Mfj1sS, "
Cơm hến Bà Cam,49 Tùng Thiện Vương,"4,3",53,1-100.000 ₫,Thừa Thiên Huế,"https://lh5.googleusercontent.com/p/AF1QipN3cV0kA2CYM4ia0Y9xfwyvgskkdRLU7hXouAyH, https://lh5.googleusercontent.com/p/AF1QipPp-0JHgVN9i523W-W4oHjqWBVXoZ1Hr9eT9tcf, "
BURGER NGON HUE,48 Chu Văn An,"4,9",535,100.000-200.000 ₫,Thừa Thiên Huế,"https://lh5.googleusercontent.com/p/AF1QipOJLLTAtzOQPL1SZ36uxbT0Anx2Sk3T5AcqbxPA, https://lh5.googleusercontent.com/p/AF1QipNDuAkcqZrgZszh60lsC_S3TPYA3FekLA6hFKJ8, "
Quán ăn An Tâm,Kiệt 33 Nguyễn Công Trứ,"5,0",331,1-100.000 ₫,Thừa Thiên Huế,"https://lh5.googleusercontent.com/p/AF1QipMaK3zNmdG9h32UZQwJ6Jhf8imWbVUNQyiPrUUn, https://lh5.googleusercontent.com/p/AF1QipPc_HzcvzR_atMWn78goiSdBG0KN5tD-k8BnehB, "
Cơm Hến Ngon,7 Ưng Bình,"4,3",59,1-100.000 ₫,Thừa Thiên Huế,"https://lh5.googleusercontent.com/p/AF1QipOQ5rB1_8CiJJrvd1vtqS9QoRCXQxKW7O4ld_hA, https://lh5.googleusercontent.com/p/AF1QipMOMNWuo9TrQYUpTma6jtr8MlLvzqxfMszQTN5z, "
