name,address,score,reviews count,latitude,longitude,province,category,price,services,description images
Quán Cơm Ngọc,"322 Phan Bội Châu, Thống Nhất, Buôn Ma Thuột, Đắk Lắk, Việt Nam","3,7",150,12.6826215,107.9617689,Đắk Lắk,Quán ăn nhỏ,1-100.000 ₫,"Ăn tại chỗ, Đồ ăn mang đi, ","https://lh5.googleusercontent.com/p/AF1QipP8WZnqLXoLFQmPwQbzarV_xgzUuoWTYCHIUHoM, https://lh5.googleusercontent.com/p/AF1QipM81o1z6nDPaBSbzQQE_jpcrnjx1NhAPOro0ys5, https://lh5.googleusercontent.com/p/AF1QipNuDxPtNQ7IVhmWKmT3I5ALFoJkL3MgT9bSrHhC, https://lh5.googleusercontent.com/p/AF1QipNregEsBZLYYRc0o6iDejTzO0RzM5JNUufDw5em, "
Quán cơm Bắc Anh Lưu Luyến,"111 Đinh Tiên Hoàng, Tự An, Buôn Ma Thuột, Đắk Lắk, Việt Nam","4,0",78,12.673716,107.9733336,Đắk Lắk,Quán ăn nhỏ,1-100.000 ₫,"Ăn tại chỗ, Đồ ăn mang đi, Giao hàng gián tiếp, ","https://lh5.googleusercontent.com/p/AF1QipNGKklkDZad7UVFdkEsVVu3k9NBqvq4t3dhKCg, https://lh5.googleusercontent.com/p/AF1QipO3FIqU6oCABsaGymAcE-bRcjmkVESAoHtBd9U, https://lh5.googleusercontent.com/p/AF1QipMMsOKgNX_KW2ccgQXhBReXalrzMPe5-p_0ePay, https://lh5.googleusercontent.com/p/AF1QipOP3SOZjI54nVNclauFnrhj6pKsC-Cs3P6mv4c, "
Tiệm ăn Phú Lâm,"9 Quang Trung, Thắng Lợi, Buôn Ma Thuột, Đắk Lắk 630000, Việt Nam","4,1",184,12.6810285,107.9722979,Đắk Lắk,Quán ăn nhỏ,1-100.000 ₫,"Ăn tại chỗ, Đồ ăn mang đi, Giao hàng, ","https://lh5.googleusercontent.com/p/AF1QipOrNl7ftW3wrl0KrpGDO4i_5VJ7lzb3a-8cdmar, https://lh5.googleusercontent.com/p/AF1QipNZctnZ-2wakbJUfLe-f0FSI4swU70YcP1pRCwP, https://lh5.googleusercontent.com/p/AF1QipPzGBxk3QnHWqWRTOZOiclWWe77gukX9TaczeGp, https://lh5.googleusercontent.com/p/AF1QipMX2eCy7VDzQAqdfCK6BN4CRqcVoS5EJyzl3Aou, "
Quán ăn Gia Định,"Km 18 QL14, Hoà Phú, Buôn Ma Thuột, Đắk Lắk, Việt Nam",Chưa xét,0,12.6178096,107.8708258,Đắk Lắk,Nhà hàng,Không có giá,"Ăn tại chỗ, Đồ ăn mang đi, ",
Quán Ăn Gỗ,"35 Nguyễn Công Trứ, Tự An, Buôn Ma Thuột, Đắk Lắk, Việt Nam","4,5",2,12.6783205,107.9763435,Đắk Lắk,Nhà hàng,Không có giá,"Ăn tại chỗ, Đồ ăn mang đi, ",
Lẩu Cá Sáu Quang Dak Lak,"247 Y Jut, Thắng Lợi, Buôn Ma Thuột, Đắk Lắk, Việt Nam","4,1",299,12.6863924,107.9705885,Đắk Lắk,Quán ăn nhỏ,100-200 N ₫,"Ăn tại chỗ, Đồ ăn mang đi, Giao hàng, ","https://lh5.googleusercontent.com/p/AF1QipPrMnpjjHSHPP7xiq3p_63dyjkE87mXlXtO5ybC, https://lh5.googleusercontent.com/p/AF1QipM2c9qkNSP2HaESkpV8xE7I7EB2-kB8boJjZHxz, https://lh5.googleusercontent.com/p/AF1QipPzIqiAR1Qg-Sz4i5v3MlpkndHbXo_HFX8TV1QD, https://lh5.googleusercontent.com/p/AF1QipNJLRFomkZ-eegPSxdQrLi_yZNOslLEgZZvXKL1, "
Res Beefsteak,"4, Nguyễn Đình Chiểu Nối Dài, Đắk Lắk, Việt Nam","4,1",361,12.6939758,107.9731513,Đắk Lắk,Nhà hàng bít tết,100-200 N ₫,"Ăn tại chỗ, Đồ ăn mang đi, Giao hàng gián tiếp, ","https://lh5.googleusercontent.com/p/AF1QipOwkA2kzmzqa13Hz4V3rwdcJEPEge3OG-wISudk, https://lh5.googleusercontent.com/p/AF1QipPi6Leut83Snfxempn_qIZfaS2UQNryxuQeM1oS, https://lh5.googleusercontent.com/p/AF1QipNBla6eYNxncNGn-zFfdHPYWg1Q8TeV5WcMDPUn, https://lh5.googleusercontent.com/p/AF1QipP9hLzA9G0JJ1VSEPw2PEylBWdgBrTMW6X862r6, "
-Cơm niêu Buôn Ma Thuột,"259a Phan Bội Châu, Thành Nhất, Buôn Ma Thuột, Đắk Lắk, Việt Nam","4,1",139,12.6824403,107.9596477,Đắk Lắk,Nhà hàng,200-300 N ₫,"Ăn tại chỗ, Đồ ăn mang đi, Giao hàng, ","https://lh5.googleusercontent.com/p/AF1QipPyNsKnPoy8ROZg4qVDhVtHs8WeJhJx2tf05PZk, https://lh5.googleusercontent.com/p/AF1QipOS99XdhjgUyWtYGaciLKN8n6UKcZcGV4-yvoRn, https://lh5.googleusercontent.com/p/AF1QipO5hjWTWPdSK9OpaVWP8QfjqLYQsgbNlvtyjhTk, https://lh5.googleusercontent.com/p/AF1QipN3Gk4lvlRA3pav8J9aYlGfCHWAvfhfPySBJFHY, "
Cơm bắc,"144 Lý Thường Kiệt, Thắng Lợi, Buôn Ma Thuột, Đắk Lắk, Việt Nam","4,2",25,12.6843402,107.971609,Đắk Lắk,Nhà hàng,1-100.000 ₫,"Ăn tại chỗ, Đồ ăn mang đi, ","https://lh5.googleusercontent.com/p/AF1QipPOB5kh0SXNQVWir9ExbeIxlYjboVxBcfZH4YJt, https://lh5.googleusercontent.com/p/AF1QipNceVE_rBYsvmqld5Lkj-g7bdiCJYlu9llYErvM, https://lh5.googleusercontent.com/p/AF1QipN6EUfvkGppb5jkxNvZULd5t_ntzl5aKXkcONq5, "
Quán Nhậu Tô Hiệu,"103 Lê Thị Hồng Gấm, Tân An, Buôn Ma Thuột, Đắk Lắk, Việt Nam","3,6",25,12.6937407,107.984129,Đắk Lắk,Nhà hàng,Không có giá,"Ăn tại chỗ, Đồ ăn mang đi, Giao hàng, ","https://lh5.googleusercontent.com/p/AF1QipP3ZPmuJHqtoGqbCp0Fq-Jfi3TGwq68Pmhq_3Ww, https://lh5.googleusercontent.com/p/AF1QipOi-xiahfrJcKif-Oh6GBrrQA-2OnSGCOIXyKSJ, https://lh5.googleusercontent.com/p/AF1QipNfCrrH__pUCe6Ar1GPIBIKIzEbcN5Kab-lKuoT, "
Quán Tú Nhi,"168 Ngô Quyền, Tân An, Buôn Ma Thuột, Đắk Lắk, Việt Nam","3,9",77,12.6923495,107.9868598,Đắk Lắk,Nhà hàng,Không có giá,"Ăn tại chỗ, Đồ ăn mang đi, ","https://lh5.googleusercontent.com/p/AF1QipPyC2r9za1ToNbkr2sPzEICLqM3OfJe6ulhVbEq, https://lh5.googleusercontent.com/p/AF1QipO3jWhtyxSzmCuemWW5VUl-DGBbRx7hGQEtozMO, https://lh5.googleusercontent.com/p/AF1QipNHgUuvVSCBN0MJCQDtnsUR0qDGCy_IYyEIrkwn, "
