name,address,score,reviews count,province,category,price,services,description images,latitude,longitude
Cây thông Cô đơn,"Đèo Hải Vân, Hoà Hiệp Bắc, Liên Chiểu, Đà Nẵng, Việt Nam","4,6",493,Đà Nẵng,Điểm thu hút khách du lịch,Không có giá,,"https://lh5.googleusercontent.com/p/AF1QipPmw8FqrJtJEVFMlPumX7je7v7ZvBCOXk5gRIiQ, https://lh5.googleusercontent.com/p/AF1QipP7rAgzi9SUR1At6D5uumdv24v7QUJS2f0I07_D, https://lh5.googleusercontent.com/p/AF1QipMxHmHBPnYT4Cu5xCkkNqZqLMyip4bDs1ySNWfi, https://lh5.googleusercontent.com/p/AF1QipMilCxSuiwflS5RIZyT6A-Zcm2WA2Es3zAhjvyb, ",16.16886,108.12631
Khu Du Lịch Sinh Thái Thủy Tiên,"Hoà Hiệp Bắc, Liên Chiểu, Đà Nẵng, Việt Nam","3,7",78,Đà Nẵng,Điểm thu hút khách du lịch,Không có giá,"Ăn tại chỗ, Đồ ăn mang đi, Giao hàng gián tiếp, ","https://lh5.googleusercontent.com/p/AF1QipMfr3kDjdW_RImBu7SmdlFK8zmvdbv3TsJJN-6s, https://lh5.googleusercontent.com/p/AF1QipPClZlii--Xxly0bh_1DwhB9kxHAgHhk3EhPh2x, https://lh5.googleusercontent.com/p/AF1QipNLgSqXspDSB7YJ0rUb6wXwlHBSEV3CVT4fkdUR, https://lh5.googleusercontent.com/p/AF1QipNf1zuSAmdlDPkEH4ujkTrSgqsryhuLAGX41yUg, ",16.15983,108.10730
Suối Hải Đăng,"Unnamed Road, Hoà Hiệp Bắc, Hòa Vang, Đà Nẵng, Việt Nam","4,3",23,Đà Nẵng,Điểm thu hút khách du lịch,Không có giá,,"https://lh5.googleusercontent.com/p/AF1QipPKYtLcNAHrgO-PDUOdIf5mFnOkWBHbgykGdTgv, https://lh5.googleusercontent.com/p/AF1QipOs5Cgv_OTD8mVxqfdhJykcXxXB0n0JIj9qdpqh, https://lh5.googleusercontent.com/p/AF1QipOtmX8PHjZIvHZrY02n0yUgRsi8M87kyIOt7A5g, ",16.14431,108.07466
Chùa Quán Thế Âm,"48 Sư Vạn Hạnh, Hoà Hải, Ngũ Hành Sơn, Đà Nẵng 550000, Việt Nam","4,7",893,Đà Nẵng,Chùa phật giáo,Không có giá,,"https://lh5.googleusercontent.com/p/AF1QipPZLZEWO8DtpMQs6MNGsnUPT00LFG1LnwRQ_33r, https://lh5.googleusercontent.com/p/AF1QipOJz4sZoJyUjO1QGuHINQSEw6PQuJBTIvfrUrz4, https://lh5.googleusercontent.com/p/AF1QipOSLQeVBJ5LhFA_unUIvF-UcA4d7tKWwr1ZcJof, https://lh5.googleusercontent.com/p/AF1QipPK8t8blBecrUqvNUranwz2KV-W4I1PeigJnBab, ",15.99875,108.25514
Vé Bà Nà Hills,"22GM+672, Thôn An Sơn, Hòa Vang, Đà Nẵng 550000, Việt Nam","4,4",6.901,Đà Nẵng,Đại lý du lịch,Không có giá,,"https://lh5.googleusercontent.com/p/AF1QipPQx6YLZYmSBV35bqF6us98Opa881HZX1d6muTs, https://lh5.googleusercontent.com/p/AF1QipPJ4aEJXURQXocilSouCT3owiuNP_5NLzaE10X6, https://lh5.googleusercontent.com/p/AF1QipMXT3vesnIkmuQrLbBhJUGdDtfTKk_g8mFGEE1u, https://lh5.googleusercontent.com/p/AF1QipPvWT9wzY_HwHY5Y8Cb9CBI36aioPy2HSCPlHtA, ",16.02552,108.03315
Biển Phước Mỹ,"36CW+4JQ, Võ Nguyên Giáp, Sơn Trà, Đà Nẵng 550000, Việt Nam","4,8",124,Đà Nẵng,Điểm thu hút khách du lịch,Không có giá,,"https://lh5.googleusercontent.com/p/AF1QipONpE_9H3ua8OpJtnCNbgHTgP4WhX9QOAnvuU9A, https://lh5.googleusercontent.com/p/AF1QipNU99tMcpOWmyveTF0J05_m3wR693w5lJpghh0f, https://lh5.googleusercontent.com/p/AF1QipOrYW8wFMdNCB8r8p1HD49luEDAJMSO7CieDpvx, https://lh5.googleusercontent.com/p/AF1QipOKccPIuJpjwclzfeZRC_afW0AmUNcka84SOnyi, ",16.07033,108.24662
Khu Du lịch Sinh thái Suối Rạng,"474V+98J, Hoàng Sa, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam","3,9",233,Đà Nẵng,Điểm thu hút khách du lịch,Không có giá,,"https://lh5.googleusercontent.com/p/AF1QipMrZGPI0G8kPVL-UjkdEdChV-twOGlnFacj4jWz, https://lh5.googleusercontent.com/p/AF1QipNf1qnwyfnCHLbHLOoIsK0eHxeVBbS4DOltI9jL, https://lh5.googleusercontent.com/p/AF1QipOA-DBXc7jKihrUJAeHBFSBvJN3eCfmfDP2eZ6O, ",16.10596,108.29327
Bãi Yên Ngựa,"46XP+535, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam","4,2",19,Đà Nẵng,Điểm thu hút khách du lịch,Không có giá,,"https://lh5.googleusercontent.com/p/AF1QipMkLkpz3PPjCUiB5niNIe6JFyqydfTAFxFACe-1, https://lh5.googleusercontent.com/p/AF1QipN3atq0jpjOhoEJJ8c_z8Y_n-1Uv4an_k4zfRr8, https://lh5.googleusercontent.com/p/AF1QipPA3mOumcP5QpIQ3kwnsU8GeaO35uoveB7yNGbO, ",16.14789,108.23522
Cánh đồng hoa hướng dương Đà Nẵng,"W4RX+H4M, Thôn Phú Sơn Nam, Hoà Khương, Hòa Vang, Đà Nẵng, Việt Nam","4,5",10,Đà Nẵng,Điểm thu hút khách du lịch,Không có giá,,,15.94147,108.14780
Thác Thần Mặt Trời,"XXXQ+95C, Hoà Phú, Hòa Vang, Đà Nẵng, Việt Nam","4,6",28,Đà Nẵng,Điểm thu hút khách du lịch,Không có giá,,"https://lh5.googleusercontent.com/p/AF1QipM_dDsDx4rhP-9pvV-t-oAk_LYUEEwRdxkcnNfh, https://lh5.googleusercontent.com/p/AF1QipOeoM1RRotDGXfRb18Zla_Pu8OZejAiyr7e5N9w, https://lh5.googleusercontent.com/p/AF1QipPjWpiqFgFtBrvVuH6-2Vzop0UwXyNXUTFdFvZz, https://lh5.googleusercontent.com/p/AF1QipOA2aX-7hJ9gG8HLByAEJI5hL24RE7I-7_a_Kv7, ",15.99843,107.98788
Khu du lịch sinh thái hoà phong,"X4HC+P8H, Cẩm Toại Tây, Hoà Phong, Hòa Vang, Đà Nẵng, Việt Nam","4,6",11,Đà Nẵng,Điểm thu hút khách du lịch,Không có giá,,,15.97932,108.12085
Bãi tắm Thọ Quang,"37X4+M56, Hoàng Sa, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam","4,5",34,Đà Nẵng,Điểm thu hút khách du lịch,Không có giá,,"https://lh5.googleusercontent.com/p/AF1QipPZIo-A2qGdC9JwNC5GBHU4i0uPrBlMPkQ3Oarr, https://lh5.googleusercontent.com/p/AF1QipNZ2_J0QhFF7UA6pG9ahMzYy3z6y1M2etf779-L, https://lh5.googleusercontent.com/p/AF1QipMooD1LMAesqzG3A42KJKiqqeP7I6XrjBLR00vc, https://lh5.googleusercontent.com/p/AF1QipPmdTWWf-ZTahgHefMo8tokxjFeEKd9dmeIL_sR, ",16.09917,108.25540
Động Huyền Không,"2736+WM6, Hòn Thủy Sơn, Hoà Hải, Ngũ Hành Sơn, Đà Nẵng 550000, Việt Nam","4,7",282,Đà Nẵng,Điểm thu hút khách du lịch,Không có giá,,"https://lh5.googleusercontent.com/p/AF1QipOo1Ozg92q_3lcpKBSbwT0isP4KjoHo9Yg1uV27, https://lh5.googleusercontent.com/p/AF1QipPnQ1oz7km59e5X0QaEyRPswco01CWBnadTR-mm, https://lh5.googleusercontent.com/p/AF1QipMOrgG1VoRDZSIJ0dn0C4MFzbvU9GBuMzcDz6qG, https://lh5.googleusercontent.com/p/AF1QipPi4_a3m1uebmuM03UszjiCF8o3V2xmYg7G9Rj0, ",16.00478,108.26165
Khu du lịch sinh thái Suối Hoa,"QL14G, Hoà Phú, Hòa Vang, Đà Nẵng, Việt Nam","3,5",77,Đà Nẵng,Điểm thu hút khách du lịch,Không có giá,,"https://lh5.googleusercontent.com/p/AF1QipNmSd5qfYOmnZZE0sOsrYoERvpRwVFbVii_KMoc, https://lh5.googleusercontent.com/p/AF1QipOeUvcQUY3ltPSMSjTOfqNeCKR7qA4xPpm3RwG_, https://lh5.googleusercontent.com/p/AF1QipNMMo8PovmpYbnCuTMZBJcv6iVYlp_zdWqhvmVc, https://lh5.googleusercontent.com/p/AF1QipNvzZj2f8KaIU4P52cJbDBDntcNvJH-32y_tDdi, ",15.95841,107.99502
Khu sinh thái Mẹ Ken,"Thôn Trung Nghĩa, Hoà Ninh, Hòa Vang, Đà Nẵng, Việt Nam","4,9",100,Đà Nẵng,Điểm thu hút khách du lịch,Không có giá,,"https://lh5.googleusercontent.com/p/AF1QipM8wyNeXluxV8Lnpra77p5JwoRotRIY7BwnGZAH, https://lh5.googleusercontent.com/p/AF1QipOfqNgOGDC5I5AWe7W482xAjCrg2kDsCCrF3XDe, https://lh5.googleusercontent.com/p/AF1QipOYUrwVKGgVn8clKCoERwI-sEOmrUj5CuZQn6Kn, ",16.04657,108.05861
Đà Nẵng,Không có địa chỉ,Chưa xét,0,Đà Nẵng,None,Không có giá,,,16.06349,107.55513
Khu du lịch sinh thái Khe Suối Cày,"khe suối Cày đà nẵng, Đà Nẵng, Việt Nam","4,0",5,Đà Nẵng,Điểm thu hút khách du lịch,Không có giá,,"https://lh5.googleusercontent.com/p/AF1QipNQJbLKpwnJyF0axHpAGrCjTDDNYFATgNWhgxiH, https://lh5.googleusercontent.com/p/AF1QipPZzb-h41NvQh5uC4fyR0War6ShBldfcmw8taLs, ",16.14659,108.02015
Bảo tàng Mỹ thuật Đà Nẵng,"78 Đ. Lê Duẩn, Thạch Thang, Hải Châu, Đà Nẵng 550000, Việt Nam","4,4",983,Đà Nẵng,Bảo tàng nghệ thuật,Không có giá,,"https://lh5.googleusercontent.com/p/AF1QipMhHD8Vd_sobSHFfzymhzdVFScwDroyjVKHO4_r, https://lh5.googleusercontent.com/p/AF1QipNiaywFlTrukJynDS27XJ1K4B1LvP7jrqOBBGaj, https://lh5.googleusercontent.com/p/AF1QipNJQV3vUsBj27svWxB15b9FqxaKcCf4IEV3bvqM, https://lh5.googleusercontent.com/p/AF1QipPwvxcfhaKY5EuEAXfqeTgaHDPjxYs6r2yLVAX-, ",16.07119,108.21794
Kinh thành Huế,"Huế, Thừa Thiên Huế, Việt Nam","4,5",36.013,Thừa Thiên Huế,Địa điểm lịch sử,"7,91 US$",,"https://lh5.googleusercontent.com/p/AF1QipPwzctBG4tLrp61Yw2sOD5e_DowjtK7vuqrQ50C, https://lh5.googleusercontent.com/p/AF1QipNAMQQ0K3ZpfTosdGGnjwGVeYwIi36XUeek94w7, https://lh5.googleusercontent.com/p/AF1QipPrLJ4q0MLFVPls_OrOgG2fXy6HkdqHtLtiQxsv, https://lh5.googleusercontent.com/p/AF1QipOKSzehF-9pM-q4KHleUfJddO_sD_7h1Soa8zMS, ",16.47694,107.57396
Đồi Vọng Cảnh,"102 Huyền Trân Công Chúa, Thủy Biều, Huế, Thừa Thiên Huế, Việt Nam","4,6",1.805,Thừa Thiên Huế,Công viên,Miễn phí,"Cho phép mang theo chó, ","https://lh5.googleusercontent.com/p/AF1QipONXTOToewSBhUfGeS72M2TOnRXxVbOkl0e5_re, https://lh5.googleusercontent.com/p/AF1QipP6XyBfvoU4E0xQQxc-b6u9ydWBwrbFDH_LtTuu, https://lh5.googleusercontent.com/p/AF1QipMvME2-7wxsoOGZNYXIFOdvm0ugOnbKSogdb55H, https://lh5.googleusercontent.com/p/AF1QipMfTMww_wVfBkvpXKnD1SOtlim5G6KecK9LAblf, ",16.42725,107.56522
Trường Du Tạ,"75 Lê Huân, Phú Hậu, Huế, Thừa Thiên Huế, Việt Nam","4,8",10,Thừa Thiên Huế,Điểm thu hút khách du lịch,Không có giá,,"https://lh5.googleusercontent.com/p/AF1QipMEb7m8a85AgtQBTCwqqflTft77ktfdgm50Eu5C, https://lh5.googleusercontent.com/p/AF1QipPfCYyMVXKSjAhhcd7QPPEI-7cq5-rN6-LzEFkg, https://lh5.googleusercontent.com/p/AF1QipN3UhJj7tXEM4lCI9nMCLRswvK0o6FTc7rDD2DW, https://lh5.googleusercontent.com/p/AF1QipO2dXcDRyEKs97tnGX7RJtVe9hl4IoLVFDdr8XY, ",16.46919,107.57568
Chùa Thiên Mụ,"Huế, Hương Hòa, Huế, Thừa Thiên Huế 530000, Việt Nam","4,5",14.983,Thừa Thiên Huế,Chùa phật giáo,Miễn phí,,"https://lh5.googleusercontent.com/p/AF1QipOJRHZjnydB35NX0H0-tUEMbCAGUXb4EnlpMbgw, https://lh5.googleusercontent.com/p/AF1QipNjH8PEUgtFqVIxK6F_cTXGrn5ACOuskCRXPUt5, https://lh5.googleusercontent.com/p/AF1QipMzwwo8KJCkZCBKWbB8kUDxoj74JvBPUjlaWcBf, https://lh5.googleusercontent.com/p/AF1QipOIdUKISmvqSYPi80sFj-iLxksUWtwSTsjZKXg3, ",16.45311,107.54491
Phố đêm Hoàng thành Huế,"81 Lê Huân, Thuận Hoà, Huế, Thừa Thiên Huế, Việt Nam","4,5",17,Thừa Thiên Huế,Điểm thu hút khách du lịch,Không có giá,,"https://lh5.googleusercontent.com/p/AF1QipOcjV-Ucy5Z5e3PdJJYeoBh1Fhjm565jjTMwz73, https://lh5.googleusercontent.com/p/AF1QipPgyS2P7EDa3PNPgAcM_R79-5Ct1oiBhJcUYSj8, ",16.46850,107.57410
Đông Khuyết Đài,"FH9H+9CQ, Cửa Hiển Nhơn, Đại Nội Huế, Đoàn Thị Điểm, Phú Hậu, Huế, Thừa Thiên Huế 530000, Việt Nam","4,6",71,Thừa Thiên Huế,Điểm thu hút khách du lịch,Không có giá,,"https://lh5.googleusercontent.com/p/AF1QipP0yVUGJ4m1LKFnmTVnElSWoJfDHvEWH8D0dC8p, https://lh5.googleusercontent.com/p/AF1QipM138B7g8McbwofyqUUoiteC2FCjTQk_rsQVffA, https://lh5.googleusercontent.com/p/AF1QipO_nfD41bx1khjlqj5PcILTz6DCpaPZjC8fBie-, https://lh5.googleusercontent.com/p/AF1QipMe1UbBaX66jSBxORr1uam-_zCTcILp5uIH3Bxb, ",16.47154,107.58001
Làng Sình,"GHFH+W4M, Lại Ân, Phú Vang, Thừa Thiên Huế, Việt Nam","4,6",40,Thừa Thiên Huế,Điểm thu hút khách du lịch,Không có giá,,"https://lh5.googleusercontent.com/p/AF1QipMDCh43v_fRFty0bp6DYF3KZIXQ-WLtMenu1XU, https://lh5.googleusercontent.com/p/AF1QipOWdFQ3juGM3TU2TD-FgZQw3HDbsMK5d_l5Sq4k, ",16.52485,107.57779
Kỳ Đài,"FH8J+G47, Thuận Hoà, Huế, Thừa Thiên Huế, Việt Nam","4,6",655,Thừa Thiên Huế,Điểm thu hút khách du lịch,Không có giá,,"https://lh5.googleusercontent.com/p/AF1QipNFCrxLMTIL2_xM28WW1bfx8vDEKkXe6an505If, https://lh5.googleusercontent.com/p/AF1QipNQpv-8ZiJ9wKKUVKHIckVRurbLbVMJ4fE4nchV, https://lh5.googleusercontent.com/p/AF1QipPu1Nngsw8WNZoqn5LT2gM62OYgnNUfcZZbhqtm, https://lh5.googleusercontent.com/p/AF1QipOlkd_ZpWREGIk7q9g4AYwK_E1PoiU2gqncyEsv, ",16.46629,107.58029
Cửu vị Thần công,"FH9J+5FH, P, Huế, Thừa Thiên Huế, Việt Nam","4,4",219,Thừa Thiên Huế,Điểm thu hút khách du lịch,Không có giá,,"https://lh5.googleusercontent.com/p/AF1QipM0go0AM77RzGHm4HUdIJ7QrWCf1gCxetiGQfew, https://lh5.googleusercontent.com/p/AF1QipMq2Cf_AgBd0vCWSmMmgXxy2GnSb_kwQS9ggTFE, https://lh5.googleusercontent.com/p/AF1QipMQDj_OPRBj_ajPdyzaPW2J5-m8aL1Ldg3LPpLU, https://lh5.googleusercontent.com/p/AF1QipPKC4-fwNK6Qc1kjmdchFAw3l-adWQD0WekNvks, ",16.46793,107.58123
Phố đi bộ Nguyễn Đình Chiểu,"Nguyễn Đình Chiểu, Phú Hội, Huế, Thừa Thiên Huế, Việt Nam","4,5",1.349,Thừa Thiên Huế,Điểm thu hút khách du lịch,Không có giá,,"https://lh5.googleusercontent.com/p/AF1QipPIkQYP0oFQOtg3fbPIVaqK5rNg4E20R0pUzPPb, https://lh5.googleusercontent.com/p/AF1QipPu0iVyKrh_39saMpRd6MsN7rMSZejuzcTK1EVI, https://lh5.googleusercontent.com/p/AF1QipPQKNsq7HBuBTQNZXLREX-G5l71JQvLuJXQxqaL, https://lh5.googleusercontent.com/p/AF1QipMX2DmaBuTvXyGc-3VYMlS26MhIJQHnXSYbS8_l, ",16.46696,107.58904
Phố đi bộ Huế,"Chu Văn An, Phú Hội, Huế, Thừa Thiên Huế, Việt Nam","4,4",1.590,Thừa Thiên Huế,Điểm thu hút khách du lịch,Không có giá,,"https://lh5.googleusercontent.com/p/AF1QipNcK0iWbY665AuIUEeYC8TxdCb1ZBxqltUyrbkm, https://lh5.googleusercontent.com/p/AF1QipMJEhVNnkrRgAnpNudYlf4VyBNThxuv6eunM1KQ, https://lh5.googleusercontent.com/p/AF1QipMXnxzVdIo4x_vtQmawPZn2DJK0nwZ33H9bdL9z, https://lh5.googleusercontent.com/p/AF1QipMiZV9BGJKA_Gyrw9EyD42coNbCHq8Syebg9ulT, ",16.46864,107.59533
Nghinh Lương Đình,"Nghinh Lương Đình, Lê Duẩn, Phú Thuân, Huế, Thừa Thiên Huế, Việt Nam","4,8",58,Thừa Thiên Huế,Điểm thu hút khách du lịch,Không có giá,,"https://lh5.googleusercontent.com/p/AF1QipMEXhYkcU_kchia72AmKRpFSosUR251tdEZjypK, https://lh5.googleusercontent.com/p/AF1QipPueYXRiz3mGgfdaCLnCgtoNB1gHUYJ6LQlQxM, https://lh5.googleusercontent.com/p/AF1QipOuJMoB6GkI61Oh22T7iel1yHAmbJ7GGk50wbnm, ",16.46478,107.58145
Hoàng Thành Huế,"FH9G+PX2, Lê Huân, Phú Hậu, Huế, Thừa Thiên Huế, Việt Nam","4,4",579,Thừa Thiên Huế,Điểm thu hút khách du lịch,Không có giá,,"https://lh5.googleusercontent.com/p/AF1QipMfEEvTGBjsakC-s1tWqwtjrTVWnbGdKzKZWJGp, https://lh5.googleusercontent.com/p/AF1QipNLUUsOJNUT4gtFkox-1nyB1ZHZuM00NltRo758, https://lh5.googleusercontent.com/p/AF1QipNglFiY145XuEEutrAIXtSVjeqDYuGgGtiv_QmQ, https://lh5.googleusercontent.com/p/AF1QipNee_JXOJu0eTUP_pFM6KoZE-208KguHCkn-TIL, ",16.46953,107.57743
Phố đi bộ Hai Bà Trưng,"FH6Q+8M5, Hai Bà Trưng, Vĩnh Ninh, Huế, Thừa Thiên Huế, Việt Nam","4,4",92,Thừa Thiên Huế,Điểm thu hút khách du lịch,Không có giá,,"https://lh5.googleusercontent.com/p/AF1QipOXAR3HwpOKAiRQDlrBVOwCk2ZcH_sgcqqY54tq, https://lh5.googleusercontent.com/p/AF1QipPuPz3rO7VT9tezcSaWCSinR0s-EGIFAGlRgbkq, ",16.46077,107.58925
Cung Diên Thọ,"75 Lê Huân, Phú Hậu, Huế, Thừa Thiên Huế, Việt Nam","4,5",186,Thừa Thiên Huế,Điểm thu hút khách du lịch,Không có giá,,"https://lh5.googleusercontent.com/p/AF1QipNRm6OnvcT3bPeTrZVW8JnUUmOVb43NBgdMYzhw, https://lh5.googleusercontent.com/p/AF1QipMdo0K_o2hWk1Q0tVlfH42euPZROxAtdY3Rc03A, https://lh5.googleusercontent.com/p/AF1QipPMX3hhXmiAsqkzvZKeR4zA4itVBaoS47iUqfUv, https://lh5.googleusercontent.com/p/AF1QipP5piFdyyMfVX51Yftz1S4dXGL0dTQbtd-6ttIO, ",16.46886,107.57534
Làng Hương Thuỷ Xuân,"62 Huyền Trân Công Chúa, Thủy Xuân, Huế, Thừa Thiên Huế, Việt Nam","4,3",346,Thừa Thiên Huế,Điểm thu hút khách du lịch,Không có giá,,"https://lh5.googleusercontent.com/p/AF1QipNf9zoyQKz4c0ZYgY1wFCSMFyTdLtjetoXt5l0w, https://lh5.googleusercontent.com/p/AF1QipNw57mkaMa5v0MxluXsIYcA4rJZo3ph9cJ21IW_, https://lh5.googleusercontent.com/p/AF1QipOvzlhKLJy7YILigQtYkJxXyvGKvLeYPCYAMEU, ",16.43550,107.56224
Nhà vườn An Hiên,"58 Nguyễn Phúc Nguyên, Hương Long, Huế, Thừa Thiên Huế, Việt Nam","4,0",836,Thừa Thiên Huế,Điểm thu hút khách du lịch,Không có giá,,"https://lh5.googleusercontent.com/p/AF1QipNAhXyL1g_CUa6mVqxogBk_OLb-oKFBvnbpQISA, https://lh5.googleusercontent.com/p/AF1QipMK8Yr9NEp0yngKuyrEgtlsiFk07K1sBYrtnRj_, https://lh5.googleusercontent.com/p/AF1QipO2nXwve1Djb3m2ioJLLuSJ4_5qyvIZyV6ZJ78w, ",16.45531,107.55377
Lăng Tự Đức,"Cầu Đông Ba, thôn Thượng, Huế, Thừa Thiên Huế 530000, Việt Nam","4,5",7.565,Thừa Thiên Huế,Điểm mốc lịch sử,Không có giá,,"https://lh5.googleusercontent.com/p/AF1QipPRJCT4wknSIcutWpjPQ78I96NhXKqPQEbQGyki, https://lh5.googleusercontent.com/p/AF1QipNPAGGs6e8CYo0Ogi6HU1kBe_cDeYuVDQyAgT4K, https://lh5.googleusercontent.com/p/AF1QipMOXDa5kVkJYzLI1Lr8kblgEhTtUjXuGt5hc1EA, https://lh5.googleusercontent.com/p/AF1QipM-gj1ffM115qj9EN19t4ermMCy0jS13puHeFZ_, ",16.43301,107.56643
Đại Nội,"Phú Hậu, Tp. Huế, Thừa Thiên Huế, Việt Nam","4,5",15.948,Thừa Thiên Huế,Địa điểm lịch sử,"6,52 US$",,"https://lh5.googleusercontent.com/p/AF1QipPX4y_T1lNPrLI3XrpsU99niylTNSriX20bdGAW, https://lh5.googleusercontent.com/p/AF1QipPLnZw5zVTo9jJE5uy0NqWInk7FkEMJKZPUNd6I, https://lh5.googleusercontent.com/p/AF1QipMOyGaTKiugo1gd23g5brHo6SEm8j1pGaH2J20N, https://lh5.googleusercontent.com/p/AF1QipNhXCyHwIRRhZJefMTU2VJyW9SBn4N4Wo7ofkHu, ",16.46845,107.57859
Phố cổ Bao Vinh,"Phố cổ, Bao Vinh, Hương Vang, Hương Trà, Thừa Thiên Huế, Việt Nam","4,6",78,Thừa Thiên Huế,Điểm thu hút khách du lịch,Không có giá,,"https://lh5.googleusercontent.com/p/AF1QipOzqiDNmc0OA5OT6izrKYoS5PEpgiB8UYxAKJiE, https://lh5.googleusercontent.com/p/AF1QipMhJmGV5ohWGDgj_LlLf596A5KkJOOl1Uup4-c7, ",16.49513,107.57707
Hồ Thuỷ Tiên,"CH5H+5CG, hồ Tiên, Thủy, Thủy Bằng, Hương Thủy, Thừa Thiên Huế, Việt Nam","4,5",1.364,Thừa Thiên Huế,Điểm thu hút khách du lịch,Miễn phí,,"https://lh5.googleusercontent.com/p/AF1QipOkrBQOYHAtn-N2ABntY5lG06xoyfKVrALCJs_Y, https://lh5.googleusercontent.com/p/AF1QipOzi09y9KeniJ5xONOxA1EW7VfttUsHOtz3hwa3, https://lh5.googleusercontent.com/p/AF1QipM_3ecE0kPsbhroQOjQw6g4FylnG0hEwnSNs7w, https://lh5.googleusercontent.com/p/AF1QipMQmgKbRrREisNJX9-6QhZteGxHX4FOemvhMQ-g, ",16.40793,107.57857
Chùa Từ Hiếu,"CHP9+HVR Duong Xuan Thuong III village, Thủy Xuân, Huế, Thừa Thiên Huế, Việt Nam","4,8",1.394,Thừa Thiên Huế,Chùa phật giáo,Miễn phí,,"https://lh5.googleusercontent.com/p/AF1QipPpxc62OuL9qOs-zrtVViLGn4WmQoJYkLJLwq5I, https://lh5.googleusercontent.com/p/AF1QipNEJLzISXUBnBRSK6269c1DXhhSiePewrwnVIY0, https://lh5.googleusercontent.com/p/AF1QipNsGnMo26yoiZlwGv76cFrL0q0m9T16_U6fjOhs, https://lh5.googleusercontent.com/p/AF1QipMZpo9YFN73RTLZW9_hmYix2MC_YR2S7BuxD9SL, ",16.43888,107.57203
Ngự Thuyền,"FH7J+QJW, Lê Duẩn, Phú Thuân, Huế, Thừa Thiên Huế, Việt Nam","4,4",44,Thừa Thiên Huế,Điểm thu hút khách du lịch,Không có giá,,"https://lh5.googleusercontent.com/p/AF1QipPqPuG5JNNXkoviIADADOTy9lJ6ccI2F-yvYA2J, https://lh5.googleusercontent.com/p/AF1QipO8MNSDrP5kTTuNpUnd3qxSqrvo9Ecj1PR6bgHU, https://lh5.googleusercontent.com/p/AF1QipPUraB8oAiOVkHEmmg302Ul6BvHmAf6qdlvUlnh, ",16.46448,107.58158
Chùa Diệu Đế,"FHHP+5X5, Bạch Đằng, Phú Cát, Huế, Thừa Thiên Huế, Việt Nam","4,6",271,Thừa Thiên Huế,Chùa phật giáo,Không có giá,,"https://lh5.googleusercontent.com/p/AF1QipMiMYVGTh7A9TJvLwVebQ8yWKd4gilBAdZRr54k, https://lh5.googleusercontent.com/p/AF1QipMhsRL8XFF49p848sHQKOJS6AQs7yshFnaR77Bb, ",16.47789,107.58750
Điện Hòn Chén,"CHC7+Q5H, Làng Hải Cát, Hương Trà, Thừa Thiên Huế, Việt Nam","4,4",213,Thừa Thiên Huế,Điện thờ,Không có giá,,"https://lh5.googleusercontent.com/p/AF1QipOVWKxRCKV0q_9R7UruOyJepn-QIz8ABblxB_Q5, https://lh5.googleusercontent.com/p/AF1QipMnGNJTwtqlJrmZyYKk5MVw9aSSBSkDj-zbjYN8, https://lh5.googleusercontent.com/p/AF1QipO3MDuAwfgRNvHpTI6DSXQ3hsGXa3_yFya1jerh, ",16.42193,107.56297
Phu Văn Lâu,"FH8J+59V, Lê Duẩn, Phú Thuân, Huế, Thừa Thiên Huế, Việt Nam","4,6",450,Thừa Thiên Huế,Địa điểm lịch sử,Không có giá,,"https://lh5.googleusercontent.com/p/AF1QipN8iUxg-dK-i0XlrCRK80iZBKk75ucVBAkFG02n, https://lh5.googleusercontent.com/p/AF1QipNNDFeW4QX24rte7EixZXtskeuEPS4toZF4WMDN, https://lh5.googleusercontent.com/p/AF1QipM7BNJRg6OxpxiTDCCPHjNiKOKty4q314hOHCDO, https://lh5.googleusercontent.com/p/AF1QipNwvj36UR_a3f2BLp9gpMzMFgTYc5PhYjyTvPDQ, ",16.46548,107.58092
Đồi Ngọc Linh,"CH4R+C2P, Châu Chữ, Hương Thủy, Thừa Thiên Huế, Việt Nam","4,1",68,Thừa Thiên Huế,Điểm thu hút khách du lịch,Không có giá,,"https://lh5.googleusercontent.com/p/AF1QipMLNI-X2jU1GDdMOAVdD_FjXmb490i1wl7Zy-wB, https://lh5.googleusercontent.com/p/AF1QipPsP9dxKlO5JbhhXy9-MVDXCLRrfk3X8wt-bnlS, https://lh5.googleusercontent.com/p/AF1QipOaZ7pJJURKBe73JfWDNU83UCiVu8AEXPkYWhMF, ",16.40610,107.59009
