name,address,score,reviews count,province,category,price,services,description images,latitude,longitude
Bãi Tắm Non Nước,"273C+42, Ngũ Hành Sơn, Đà Nẵng 550000, Việt Nam","4,5",95,Đà Nẵng,Điểm thu hút khách du lịch,Không có giá,,"https://lh5.googleusercontent.com/p/AF1QipP1ERIfuOqEsmk-gkDNgib7iucLi1q49l1zaoGx, https://lh5.googleusercontent.com/p/AF1QipNz-uu-bvoDbTgJ_62dRsgig4NUQY3NVMTkQthZ, ",16.00279,108.26997
Hải đăng Tiên Sa,"Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam","4,4",323,Đà Nẵng,Điểm thu hút khách du lịch,Không có giá,,"https://lh5.googleusercontent.com/p/AF1QipNinnEpRKiIkevW947SS9JJKsZ2mb_XrB-eGoZ7, https://lh5.googleusercontent.com/p/AF1QipOBHPuhfRpgDAsd9JvGA9dwg3j9IGJADf2obosQ, https://lh5.googleusercontent.com/p/AF1QipMlRzjzQFNXxJb6OlZwZzuGBwcppj_1oaQ3BrqX, https://lh5.googleusercontent.com/p/AF1QipPfRwsMDvTuQdmbpb-D16K7E4dG1Dmj4ldpp848, ",16.13969,108.32206
Hồ Xanh Đà Nẵng,"37X9+F68, Hồ Xanh, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam","4,3",699,Đà Nẵng,Điểm thu hút khách du lịch,Không có giá,,"https://lh5.googleusercontent.com/p/AF1QipOISKs8VUAnuuG7UIKR2HRnPaTvL7PW8jxIxi1o, https://lh5.googleusercontent.com/p/AF1QipPAsC1rj2hpoGPrX_PhzeHSQAaM-GQXMWLtOCBG, https://lh5.googleusercontent.com/p/AF1QipPhJvQbM61xH9jdD9dOAn8ZGblCJfdvL9ymLDTb, https://lh5.googleusercontent.com/p/AF1QipNPrdr59UY0B6ssIn6mLju45Zx5n8WHgGQJixKk, ",16.09867,108.26806
Bảo tàng 3D Art In Paradise,"Lô 10, Trần Nhân Tông, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam","4,3",2.582,Đà Nẵng,Bảo tàng nghệ thuật,Không có giá,,"https://lh5.googleusercontent.com/p/AF1QipOYrxPILxrQwRB1wVfFFoRPxf1TopAUjI6BVs1H, https://lh5.googleusercontent.com/p/AF1QipMK9NAd0u1hJulBT7wPsVNUOMQTfjPXEkpgtcT7, https://lh5.googleusercontent.com/p/AF1QipMjj9GJTUzMhwJJ8YswzlfcWqU_PrArSVxxcU4b, https://lh5.googleusercontent.com/p/AF1QipNddl9I6tmasEYEpv7crsdzV_sAuTtlK3CGAkiO, ",16.09543,108.24311
Nhà Vọng Cảnh,"Nhà Vọng Cảnh, Thọ Quang, Sơn Trà, Đà Nẵng, Việt Nam","4,5",854,Đà Nẵng,Điểm thu hút khách du lịch,Không có giá,,"https://lh5.googleusercontent.com/p/AF1QipMHUORyhVfaQegve2TBMRXcG1iv50yBm__s2i0M, https://lh5.googleusercontent.com/p/AF1QipPlrjXl-cle39_X_yoiDw9dLEtLQ_ixSCK7ubjc, https://lh5.googleusercontent.com/p/AF1QipOmWr8z17kGQnGmqnLYDBdcuEPSPewtWqPRPCb2, https://lh5.googleusercontent.com/p/AF1QipNObcbrzzbI59Iy62tVdBxY271WsXlSD9mi6uuG, ",16.13511,108.24538
Hot Springs Park - Công viên Suối khoáng nóng Núi Thần Tài Đà Nẵng,"QL14G, Hoà Phú, Hòa Vang, Đà Nẵng 550000, Việt Nam","4,3",3.705,Đà Nẵng,Onsen ban ngày,"15,81 US$",,"https://lh5.googleusercontent.com/p/AF1QipO0oqTVFR-dOkw6ouXvhqBlk1tYg2FtjTetcIqo, https://lh5.googleusercontent.com/p/AF1QipO-VRM92OzGt-8-U4qOjJBDH46EQvLFLnkV5aS5, https://lh5.googleusercontent.com/p/AF1QipNwSl-zIIQx8FY58LxHkFmCI5-45VSSqEMf2RXg, https://lh5.googleusercontent.com/p/AF1QipOf89auo2CchT3TUoqs-Sh1s2V7mKA60ivog2vU, ",15.96785,108.01981
Bến Du Thuyền Sông Hàn Đà Nẵng,"26 Bạch Đằng, Thạch Thang, Hải Châu, Đà Nẵng 550000, Việt Nam","4,3",599,Đà Nẵng,Điểm thu hút khách du lịch,Không có giá,,"https://lh5.googleusercontent.com/p/AF1QipMJ-qaEbRELUaKiG-KdaWoe9mOiYqnQ0jPTf9U, https://lh5.googleusercontent.com/p/AF1QipN6pn3hnsOwFlpuceDU_KySmpa6aU5mUra9vHhq, https://lh5.googleusercontent.com/p/AF1QipOQKNsxVFBcM4etrGfqW6PrbF09I8ZTIv3Cm3Vj, https://lh5.googleusercontent.com/p/AF1QipPPfjCr6IyE-mmL6m8R6zi3zGTyDTpFkUvMePQ, ",16.07914,108.22428
Làng Bích họa Đà Nẵng,"366C+72J, Kiệt 75 Nguyễn Văn Linh, Phước Ninh, Hải Châu, Đà Nẵng 550000, Việt Nam","4,0",713,Đà Nẵng,Điểm thu hút khách du lịch,Không có giá,,"https://lh5.googleusercontent.com/p/AF1QipPl1LYS8Hs40V8PUZOPMMaruMj1V0DmRxYRxa8p, https://lh5.googleusercontent.com/p/AF1QipOD34kVsQzUwn9gYdzQ_nwvP9CtyOkO0Oldhpfv, https://lh5.googleusercontent.com/p/AF1QipOHDud1iM4FlpR3YzAPKXdcpNxYVkyM-BKuNveH, ",16.06072,108.22001
Điểm đầu trượt thác Hoà Phú Thành,"QL14G, Hoà Phú, Hòa Vang, Đà Nẵng, Việt Nam","4,3",20,Đà Nẵng,Điểm thu hút khách du lịch,Không có giá,,"https://lh5.googleusercontent.com/p/AF1QipOUvnuX_yeI2xZ_aINBdBeXTHSZgrMo2nfpEqcg, https://lh5.googleusercontent.com/p/AF1QipPl2hHXXn44XRpR611iTOVye7B6bB_wb5h9QkSv, https://lh5.googleusercontent.com/p/AF1QipODZYgeA8PrEEUflO2TEcJ3xDgzm6dnJR6fSPd_, https://lh5.googleusercontent.com/p/AF1QipOa1lhst-dq0fGDBwruJJO0g6j5mNwi0wcEsgQ3, ",15.95543,107.98047
Cầu Trần Thị Lý,"Trần Thị Lý, Hòa Cường, Đà Nẵng, 550000, Việt Nam","4,8",132,Đà Nẵng,Điểm thu hút khách du lịch,Miễn phí,,"https://lh5.googleusercontent.com/p/AF1QipOMAKrUJ1J53zRS8pf19bpXA1c8n-KO3jq70vb9, https://lh5.googleusercontent.com/p/AF1QipNm__VZQyNje4pfwSZc8BiVAsUQ35OC9Bsun0gZ, https://lh5.googleusercontent.com/p/AF1QipPILSI10B4DmuJ13fcYTn2zzd2vTd6z27OA1Oi6, https://lh5.googleusercontent.com/p/AF1QipO8s5sKnZZFUK5bkUL4iiohB-RxknEJySYTHxoO, ",16.05023,108.22973
