hotel,price,score,avg review,reviews count,province,address,description images
Nami Stay Hotel,VND 1.342.000,"Đạt điểm 9,3",Tuyệt hảo,41,Đà Nẵng,"44 An Thượng 26, Đà Nẵng, Việt Nam ","https://cf.bstatic.com/xdata/images/hotel/max1024x768/590572512.jpg?k=4a7f69bd3d7f540eef315af93077d1021976431250bd1da41f8191643eb65541&o=&hp=1, https://cf.bstatic.com/xdata/images/hotel/max500/589153195.jpg?k=de81f1ef9ebef5887da4eaf44ac5b039b56f75a63206740de4b84bb9c0d8ce16&o=&hp=1, "
Le Indochina Hotel & Beach Da Nang City,VND 969.696,"Đạt điểm 8,0",Rất tốt,515,Đà Nẵng,"91 Ho Xuan Huong, Đà Nẵng, Việt Nam ","https://cf.bstatic.com/xdata/images/hotel/max1024x768/560052722.jpg?k=be1c24ddea61bd7c07ca84961933f68f2c5baf97edc910e609611740f1120d60&o=&hp=1, https://cf.bstatic.com/xdata/images/hotel/max500/582516534.jpg?k=f6ff652831cc269f80caf7727b2a0e9613d182377949a066552542e47920fded&o=&hp=1, "
The Linksky Residences,VND 974.025,"Đạt điểm 8,7",Tuyệt vời,51,Đà Nẵng,"93d Hồ Xuân Hương, Đà Nẵng, Việt Nam ","https://cf.bstatic.com/xdata/images/hotel/max1024x768/588562317.jpg?k=bacd22f09b151b6211429032989b3fdd9716a732537c0e3dc7afb94a18164ec2&o=&hp=1, https://cf.bstatic.com/xdata/images/hotel/max500/588562270.jpg?k=5695a3c66e35455e7605e53ec78f599542ea8878c948d815800ca2bbace16d1d&o=&hp=1, "
AOA Danang Beach Hotel,VND 1.280.000,"Đạt điểm 8,3",Rất tốt,653,Đà Nẵng,"Lô 42 - 43 Trần Bạch ĐẰng, phường Mỹ An, quận Ngũ Hành Sơn Đà Nẵng Lô 42 - 43, Đà Nẵng, Việt Nam ","https://cf.bstatic.com/xdata/images/hotel/max1024x768/362812524.jpg?k=ddaedc1ddd8d340e8cf40d7dbfa301e3e66505b92c5167b1da75d5f4884b2fd6&o=&hp=1, https://cf.bstatic.com/xdata/images/hotel/max500/415898592.jpg?k=f34d31c442d8d065c1aefc72906bbf5c9547ff03a1a1db0dd1c6daea35aabf57&o=&hp=1, "
Hai Trieu Hotel,VND 1.188.000,"Đạt điểm 8,5",Rất tốt,1.008,Đà Nẵng,"18 - 20 Loseby , Đà Nẵng, Việt Nam ","https://cf.bstatic.com/xdata/images/hotel/max1024x768/382886050.jpg?k=d4c482b0dbf490cfe1845a931e5d339b2b3f8584a95ad15b35c458d5d3299d78&o=&hp=1, https://cf.bstatic.com/xdata/images/hotel/max500/511773429.jpg?k=93521587827d195abd83e6e2cd941fd4033ff3fc4b1a479a0af1ec5dc017a55f&o=&hp=1, "
Bantique Hotel,VND 1.226.925,"Đạt điểm 8,0",Rất tốt,504,Đà Nẵng,"17 Phạm Văn Đồng, Đà Nẵng, Việt Nam ","https://cf.bstatic.com/xdata/images/hotel/max1024x768/536106970.jpg?k=9e6b60fb19ba85ccf1e8821f8a4eb14323e2bd75c3958d1b1584477c06b0d862&o=&hp=1, https://cf.bstatic.com/xdata/images/hotel/max500/536106236.jpg?k=5f39131ed2b3c60b745997186a5b0c1f4a25eec98022b61db4b9eb4a0daddec3&o=&hp=1, "
May Beach Hotel,VND 1.305.000,"Đạt điểm 8,7",Tuyệt vời,537,Đà Nẵng,"22-23 Đỗ Bá, Đà Nẵng, Việt Nam ","https://cf.bstatic.com/xdata/images/hotel/max1024x768/514308835.jpg?k=7e0508dc50586cccc6b6b3ffd411b955816b99de0c60221d04a3319d4c430705&o=&hp=1, https://cf.bstatic.com/xdata/images/hotel/max500/514309036.jpg?k=40b6a1a4495ab6600d2335ed0ef4d4739e910bc90cc654a28cbfbefea7f184c9&o=&hp=1, "
Bona Hostel,VND 901.153,"Đạt điểm 9,8",Xuất sắc,6,Đà Nẵng,"108c Cao Bá Quát, Đà Nẵng, Việt Nam ","https://cf.bstatic.com/xdata/images/hotel/max1024x768/594484832.jpg?k=b6e37f63cca1f13b1c301773222e2f05ea101a919e29252167ebf4f887b13ec0&o=&hp=1, https://cf.bstatic.com/xdata/images/hotel/max500/594479563.jpg?k=1d10e361277a6c06d1ff070d359cc34482ffe2570988da8a3e326d32ed46a7bb&o=&hp=1, "
Gold Time Hotel Da Nang,VND 1.067.661,"Đạt điểm 7,9",Tốt,535,Đà Nẵng,"55 Đỗ Bá, Đà Nẵng, Việt Nam ","https://cf.bstatic.com/xdata/images/hotel/max1024x768/593663142.jpg?k=587defe5916d53a268c8d4ab75a0bc28d6b2dd374330e5e99777234af12676ac&o=&hp=1, https://cf.bstatic.com/xdata/images/hotel/max500/493407942.jpg?k=a3e73a01288ff7337a7612804c50b3d2fcd173adc64da5ff56337fca62e6c987&o=&hp=1, "
Golden Rose Hotel by THG,VND 1.675.000,"Đạt điểm 8,9",Tuyệt vời,3.143,Đà Nẵng,"56 Loseby Phường An Hải Bắc, Quận Sơn Trà, Đà Nẵng, Việt Nam ","https://cf.bstatic.com/xdata/images/hotel/max1024x768/344274660.jpg?k=3ebb22a2639b4a29e8c31191d111d6305e41ad3140da4d6a9c025f403664567e&o=&hp=1, https://cf.bstatic.com/xdata/images/hotel/max500/344273857.jpg?k=90b0f8604366162f172e45c3fcdc22619b8d78a28e68a927650fd679e4958a61&o=&hp=1, "
Sunflower Hotel 2,VND 700.000,"Đạt điểm 7,9",Tốt,648,Đà Nẵng,"59 Loseby, Ward An Hai Bac, Son Tra District, Đà Nẵng, Việt Nam ","https://cf.bstatic.com/xdata/images/hotel/max1024x768/127813583.jpg?k=6b28f1205b622807cc9ac425934e4f28c404a79d1a412e67aa3edebe2fd080e5&o=&hp=1, https://cf.bstatic.com/xdata/images/hotel/max500/127813522.jpg?k=8c02f5a0b889e0d262df9c61f20c1d8f16759b33da7f77ee19465a5567688a19&o=&hp=1, "
Phuc Thanh Luxury Hotel by THG,VND 1.242.500,"Đạt điểm 8,8",Tuyệt vời,1.154,Đà Nẵng,"Le Quang Dao A.39, Đà Nẵng, Việt Nam ","https://cf.bstatic.com/xdata/images/hotel/max1024x768/293433476.jpg?k=da1710d6684209537946424c7d67a02b3c82ca386eac51af9706bee8bb75d578&o=&hp=1, https://cf.bstatic.com/xdata/images/hotel/max500/418246128.jpg?k=365c28bdebec9639f6fdff8ed392611769ebe4bb94f8bd55ec3418dc9bdea12d&o=&hp=1, "
Mama Hotel And Apartment - Free Sauna And Gym,VND 1.661.112,"Đạt điểm 8,8",Tuyệt vời,71,Đà Nẵng,"5 An Thượng 29, Đà Nẵng, Việt Nam ","https://cf.bstatic.com/xdata/images/hotel/max1024x768/536726672.jpg?k=91a7f006dac40eec5968e7505094d7acc3db20f3c4f47efa89a63140ca935a24&o=&hp=1, https://cf.bstatic.com/xdata/images/hotel/max500/584119047.jpg?k=a574056b2e5015fe9623e1e5cbb50aaa2d98f42dd8874ed9f120974644429762&o=&hp=1, "
SOCO Hotel by THG,VND 1.420.000,"Đạt điểm 8,8",Tuyệt vời,2.388,Đà Nẵng,"305 Nguyen Van Thoai, Đà Nẵng, Việt Nam ","https://cf.bstatic.com/xdata/images/hotel/max1024x768/436121190.jpg?k=b5e60ce4befbd1e147f58a34a36f5d289a87ead2c1c0d59064791a6be138c591&o=&hp=1, https://cf.bstatic.com/xdata/images/hotel/max500/436121187.jpg?k=42b899d0b7198d35107a156c6c76728b151e54330b89b247cbd4b3dd4a0a4995&o=&hp=1, "
Trang Ngan Hotel by THG,VND 1.250.000,"Đạt điểm 8,6",Tuyệt vời,455,Đà Nẵng,"62 An Thuong 26, My An Ward, Ngu Hanh Son District, Đà Nẵng, Việt Nam ","https://cf.bstatic.com/xdata/images/hotel/max1024x768/117739065.jpg?k=402f3e2a34739f6073f1b14b22ce58975c894ae2dafeb267238c82e04adf4eb6&o=&hp=1, https://cf.bstatic.com/xdata/images/hotel/max500/250240556.jpg?k=c6f21bb5904a2daec8230cba1ad0128a5302e8350361fe24ad39d3a1df4d073b&o=&hp=1, "
Star Hotel Đà Nẵng,VND 1.311.000,"Đạt điểm 9,4",Tuyệt hảo,123,Đà Nẵng,"42 Loseby, Son Tra District, Đà Nẵng, Việt Nam ","https://cf.bstatic.com/xdata/images/hotel/max1024x768/590817479.jpg?k=84eec619dc4d6854d863e8679f1b1464cb8b7ad7c6064357276e1c428c3e2ff6&o=&hp=1, https://cf.bstatic.com/xdata/images/hotel/max500/590553183.jpg?k=d328fe296361f0bbbd3c67549630cd6e9f585a89c7ca6cf00bb2a8443e4c7f89&o=&hp=1, "
Golden Star Hotel & Apartment by THG,VND 1.335.000,"Đạt điểm 8,7",Tuyệt vời,129,Đà Nẵng,"12 Phan Liêm, Đà Nẵng, Việt Nam ","https://cf.bstatic.com/xdata/images/hotel/max1024x768/383076837.jpg?k=338b66dff354ceb22899b0083d9d96e35bea389d50da15790bb03cebd159061c&o=&hp=1, https://cf.bstatic.com/xdata/images/hotel/max500/383076787.jpg?k=e7aed114fa55903e465605d3aae5642af6bcbc47e6fa9caea5853ddca766861d&o=&hp=1, "
Nostalgia Boutique Hotel,VND 1.087.135,"Đạt điểm 8,4",Rất tốt,773,Đà Nẵng,"11A Ho Xuan Huong Street, Đà Nẵng, Việt Nam ","https://cf.bstatic.com/xdata/images/hotel/max1024x768/578752474.jpg?k=4abbabd9102c4d9f7de5c3dd8bdcef76eeae702e108231cfcfeb8e16cad55ac5&o=&hp=1, https://cf.bstatic.com/xdata/images/hotel/max500/578751027.jpg?k=d810cd9b720e4d13cd631bcb85d586cb7e3757e7cef98c3b8a27678fbbeb35be&o=&hp=1, "
Moonlight Hotel & Spa VIP - Center City Han River & Dragon Bridge View,VND 1.650.000,"Đạt điểm 9,2",Tuyệt hảo,18,Đà Nẵng,"136-138-140 Phan Chu Trinh, Đà Nẵng, Việt Nam ","https://cf.bstatic.com/xdata/images/hotel/max1024x768/21758044.jpg?k=174b3e03d203ea6e74b2a8f0a3bfbe45659e651ee5c825afbcd48755d27fef0b&o=&hp=1, https://cf.bstatic.com/xdata/images/hotel/max500/21757768.jpg?k=bf9906066203f35838db9a230306f5c2c7e40c79c0418bd91406554af746e796&o=&hp=1, "
Orchide'es Ocean Hotel,VND 1.375.000,"Đạt điểm 8,7",Tuyệt vời,145,Đà Nẵng,"07 Dương Đình Nghệ, Phước Mỹ, Sơn Trà, Đà Nẵng, Việt Nam ","https://cf.bstatic.com/xdata/images/hotel/max1024x768/574287181.jpg?k=3eb7a39f44e28f0dfd8cf70222d9e223e85cd414c1c24b8f24193b933c6ff8ad&o=&hp=1, https://cf.bstatic.com/xdata/images/hotel/max500/574288823.jpg?k=dc00fac67b5e773b9e6222c8f4482b8741a0d7d5f57911831e36faf1c37aa7bf&o=&hp=1, "
Valencia Da Nang Beach Hotel,VND 1.130.220,"Đạt điểm 7,9",Tốt,387,Đà Nẵng,"Lo 61-62 Phan Liem, Phuong My An, Quan Ngu Hanh Son, Đà Nẵng, Việt Nam ","https://cf.bstatic.com/xdata/images/hotel/max1024x768/499592006.jpg?k=ba2f3073a9a9cb5a036ddff527c4aaa5fe29506eec2f27f8807de7cbb1b60ed1&o=&hp=1, https://cf.bstatic.com/xdata/images/hotel/max500/226809125.jpg?k=d9bbb8b4a4f89ee4497b2a3acc2bf6ab588cd2deaac1a079e47f2ae733a5abe3&o=&hp=1, "
Merry Land Hotel Da Nang,VND 1.600.000,"Đạt điểm 8,6",Tuyệt vời,3.822,Đà Nẵng,"Lot B20- B21 Pham Van Dong Str, An Hai Bac Ward, Son Tra District, Đà Nẵng, Việt Nam ","https://cf.bstatic.com/xdata/images/hotel/max1024x768/206176937.jpg?k=66c34f3228a05e118778d046fb0038d1aa14421125486c8494f49ff7e84960c0&o=&hp=1, https://cf.bstatic.com/xdata/images/hotel/max500/373611573.jpg?k=9f5c42204ea1beae51b3ddb1317a43a3ce4023acf85bf7a065ed9c2719855ba5&o=&hp=1, "
Gio Bien 2 Hotel by THG,VND 1.488.000,"Đạt điểm 8,9",Tuyệt vời,995,Đà Nẵng,"49 Tran Bach Dang, Phuoc My, Son Tra, Đà Nẵng, Việt Nam ","https://cf.bstatic.com/xdata/images/hotel/max1024x768/263814773.jpg?k=a31ec41565d09cae201a920406bbd877907528f8c2cdfbd34683f6aa93c9b6e0&o=&hp=1, https://cf.bstatic.com/xdata/images/hotel/max500/263805957.jpg?k=6e5804204d2132d46feeee0281c3a0ad5d15e73c67995015bf38db6cd2509708&o=&hp=1, "
ViAn Hotel And Spa Danang,VND 2.261.000,"Đạt điểm 8,8",Tuyệt vời,683,Đà Nẵng,"124 Phạm Văn Đồng, Đà Nẵng, Việt Nam ","https://cf.bstatic.com/xdata/images/hotel/max1024x768/561299133.jpg?k=729e6e277249c23557fcb37f8f40f26d5e6919c76cf9460c9147bb98fff1ed18&o=&hp=1, https://cf.bstatic.com/xdata/images/hotel/max500/544619711.jpg?k=5cc733b357e803247039cd6883d5f7d7d2eb5c78e5508947ce2c835a7768d1d0&o=&hp=1, "
