name,address,score,reviews count,avg price,province,description images
Nhà hàng Tam Gia Trang,35 Tràng An 2,"4,0",968,100.000-200.000 ₫,Ninh Bình,"https://lh5.googleusercontent.com/p/AF1QipOYIREGAbSwY2Xe4fH0nT1UvqoeYFKouLFL1PYU, https://lh5.googleusercontent.com/p/AF1QipMHUcbmXwJRZ1ODpymqWRkVMsomWC-FYWjWV64, "
Dũng Phố Núi,Ninh Bình,"4,3","1,8 N",100.000-200.000 ₫,Ninh Bình,"https://lh5.googleusercontent.com/p/AF1QipPw6BG62ZOZSMyxjWSrI0oVSXDa6gm3t9eQSQuF, https://lh5.googleusercontent.com/p/AF1QipM6-wkL0XK2i5P0XBAqtBTDAkoWR6DJL4G3TbLE, "
NHÀ HÀNG THĂNG LONG,Tràng An,"4,2","1,1 N",100.000-200.000 ₫,Ninh Bình,"https://lh5.googleusercontent.com/p/AF1QipPQrfUcb4ZpBqw3icVFU5s7YlSaKYq3KRsnC9T5, https://lh5.googleusercontent.com/p/AF1QipPJLlvdn7p-4ysLZhwULjSKPbG0XGqbUwBRVt7D, "
Nhà Hàng Đức Dê,"số nhà 29, ngõ, 458 đường Nguyễn Huệ","3,7",808,200.000-300.000 ₫,Ninh Bình,"https://lh5.googleusercontent.com/p/AF1QipNC6NHQRInslePVvAvuHk_qqCOxB_MstdRk-q2M, https://lh5.googleusercontent.com/p/AF1QipPdL9jKZEeDlPK9dke1lsvuMfElZD74QBB_n8K3, "
Nhà Hàng Hương Quê - Ninh Bình,05 Nguyễn Lương Bằng,"4,2",53,100.000-200.000 ₫,Ninh Bình,"https://lh5.googleusercontent.com/p/AF1QipOADhOVxjly8zQAfAJeJ6eA5_AFHYLnpBNn__R-, https://lh5.googleusercontent.com/p/AF1QipNaCT0kWHvikRAiGif4uqH1JF5SI9rxVSSALJJ_, "
Nhà hàng Ba Cửa Ninh Bình,Thôn Tràng An,"3,9",567,200.000-300.000 ₫,Ninh Bình,"https://lh5.googleusercontent.com/p/AF1QipMrzhMXzezYmQIPTtWvrerhFHYWWILWqKf4eKpr, https://lh5.googleusercontent.com/p/AF1QipMTnrCGl9oXGq4m4LmLHkkaA5Hk6sONunrudVya, "
Chợ Quê Quán,Tràng An 2,"3,9",467,100.000-200.000 ₫,Ninh Bình,"https://lh5.googleusercontent.com/p/AF1QipPj_A-7i8KtJuicelm7pFQvHZwudNKamhA_JeOX, https://lh5.googleusercontent.com/p/AF1QipNBMUYisiAgcdRWtdaywKNwAPziHHhLngvv0eb3, "
HOA LƯ QUÁN - Thịt Dê Cơm Cháy,ĐT491,"4,8",301,200.000-300.000 ₫,Ninh Bình,"https://lh5.googleusercontent.com/p/AF1QipPFyY9ebCzW7Em3zCdpBjfJK6aAwkaRwV5nJ6XS, https://lh5.googleusercontent.com/p/AF1QipPeVJ-kocEhcWhBWTPpCcgANr3MkZdV70x38dwQ, "
Nhà Hàng Vũ Bảo Ninh Binh,86 Lương Văn Tụy,"4,1",130,200.000-300.000 ₫,Ninh Bình,"https://lh5.googleusercontent.com/p/AF1QipPKZeKbVRAgJMazj-HkZhXUbmDi_lJq2wQVn6Jr, https://lh5.googleusercontent.com/p/AF1QipNqGMHSrgjq2dTGMv99i__cAe9LBJwaT618K_N4, "
Nhà Hàng Thịt Dê Chính Thư,Unnamed Rd,"4,0","2,6 N",200.000-300.000 ₫,Ninh Bình,"https://lh5.googleusercontent.com/p/AF1QipP3cNEaG-CVohlq73ZWfTKbAq3oso7EEaQep6Ee, https://lh5.googleusercontent.com/p/AF1QipMujUtz57FP39VIUIzDNJtfVJLYuMnqpya4Wu-V, "
NHÀ HÀNG NGON TẠI HOA LƯ NINH BÌNH - NHÀ HÀNG HUYNDAI,"Xóm 1, Thôn","4,0",92,None,Ninh Bình,"https://lh5.googleusercontent.com/p/AF1QipOGHV4wIT4vRDM1IpqJs7RAMNhGj3vTR30bkWJZ, https://lh5.googleusercontent.com/p/AF1QipMH0ZCXOzNd6gjkWu7mY-z5lowCXNp4tO-b100s, "
Nhà hàng Phố Xưa Ninh Bình,10 Tràng An,"4,4",396,200.000-300.000 ₫,Ninh Bình,"https://lh5.googleusercontent.com/p/AF1QipNT9aUsCEkfldbE0ZdnEyWnhBfyejukvABk5yM, https://lh5.googleusercontent.com/p/AF1QipM2-riBx0cKGReQjhdCUKJe1OyEfXH6bdCZPi8c, "
Nhà Hàng Hữu Nghị Ninh Bình,số 57 đường Tràng An 2,"4,1",268,200.000-300.000 ₫,Ninh Bình,"https://lh5.googleusercontent.com/p/AF1QipPoD6pMIRUyEFwMuWvlrPQJvoTaLTSByMSf6B0, https://lh5.googleusercontent.com/p/AF1QipN6tV3WGRNdGBs8SWcodJKudWPHrKXFFjn_N6ij, "
Nhà Hàng Madame Thư Ninh Bình,Ninh Bình,"4,9",391,200.000-300.000 ₫,Ninh Bình,"https://lh5.googleusercontent.com/p/AF1QipMkzwbDecaLT3MqCYgHuRh8r1bfvkj2gMWZ1jkg, https://lh5.googleusercontent.com/p/AF1QipPlPWgv9zgoRtcR_lzwj3FOUe9Jx6_Ed2ijaG0A, "
Nhà Hàng Dê Núi Thành Long - Vua Dê Số 1 Ninh Bình,Ngô Quyền,"4,4","1,1 N",100.000-200.000 ₫,Ninh Bình,"https://lh5.googleusercontent.com/p/AF1QipPbtuLTIU4RU05scLiAuGqYSA3DzO9tk75yjQ-6, https://lh5.googleusercontent.com/p/AF1QipOmjSnQ3pekbp7P09AJjy_KVy-mzNR4bm9EGWpX, "
Sochu BBQ Restaurant,72B Nguyễn Lương Bằng,"4,2",224,100.000-300.000 ₫,Ninh Bình,"https://lh5.googleusercontent.com/p/AF1QipMZfxrWj_fMPMPyWUCvoyuz6mI-Noo2jkTxgPaP, https://lh5.googleusercontent.com/p/AF1QipPZ430ShH44OEfnownvlUnLokKFYkSegygzm_X1, "
Restaurant Trung Tuyết,14 Hoàng Hoa Thám,"4,5","1,1 N",1-100.000 ₫,Ninh Bình,"https://lh5.googleusercontent.com/p/AF1QipObE8MGXD3JeDoUudEVZmXOQN0SZt89uiRqnPzZ, https://lh5.googleusercontent.com/p/AF1QipM4Y3tlAF1AxF6JkWbtRo4-hVRHUQMzJZNvLGAB, "
Nhà hàng Bình Dũng chim to dần,Ngõ 668 Ngô Gia Tự,"4,0",114,200.000-300.000 ₫,Ninh Bình,"https://lh5.googleusercontent.com/p/AF1QipOX-cwJhvdrxNVbrLEcPrm5hvM0CbodBLCy8XGx, https://lh5.googleusercontent.com/p/AF1QipOCzg1iT7sAu-U4xh9gYqi87dDOJvsnfB73xB53, "
Nhà Hàng Tụng Dung,Unnamed,"4,2",333,100.000-200.000 ₫,Ninh Bình,"https://lh5.googleusercontent.com/p/AF1QipMWm4mSBboifZfyFgLIxgSpXIFMpB7r32O0zFKS, https://lh5.googleusercontent.com/p/AF1QipMa5wLSb_UtyaIqM3udZ2ZqTAvPFAvod5PlNPG6, "
