name,address,score,reviews count,latitude,longitude,province,category,price,discount,services,description images
Alani Hotel & Spa,"136-138 Trần Bạch Đằng, Bắc Mỹ Phú, Ngũ Hành Sơn, Đà Nẵng 550000, Việt Nam","4,5",228,16.0541826,108.1740113,Đà Nẵng,Khách sạn 4 sao,550.000 ₫,Không có giảm giá,"Wi-Fi miễn phí, Bữa sáng miễn phí, Đỗ xe miễn phí, Phù hợp cho người khuyết tật, Bể bơi ngoài trời, Có điều hòa nhiệt độ, Dịch vụ giặt ủi, Trung tâm thương mại, Có đường ra bãi biển, Dịch vụ phòng, Phù hợp với trẻ em, Nhà hàng, Xe đưa đón ra sân bay, Bồn tắm nước nóng, Spa, Trung tâm thể dục, Sân gôn, Quán bar, Không hút thuốc, ","https://lh5.googleusercontent.com/p/AF1QipMV2tscB2_cIuhLQY4N4gFP2lJvGfyd-7LEglOr, https://lh5.googleusercontent.com/p/AF1QipPGfE_ti_BQcf4c60G_s_jtI9VIhNb5iNgQeaZ_, https://lh5.googleusercontent.com/p/AF1QipOkq8EZfu-cedCRgtGMPaN3h6wlzvp3ay7LEnbD, https://lh5.googleusercontent.com/p/AF1QipMS8yAa7P1V-B5XYf4kBcSmMDVHKLcTbHIDHaAt, "
Central Beach Hotel,"lo 35-36 Trần Bạch Đằng, Bắc Mỹ An, Ngũ Hành Sơn, Đà Nẵng 550000, Việt Nam","4,1",110,16.0487836,108.1759592,Đà Nẵng,Khách sạn,201.746 ₫,Không có giảm giá,"Wi-Fi miễn phí, Bữa sáng có tính phí, Đỗ xe miễn phí, Phù hợp cho người khuyết tật, Có điều hòa nhiệt độ, Dịch vụ giặt ủi, Trung tâm thương mại, Có đường ra bãi biển, Nhà hàng, Xe đưa đón ra sân bay, Sân gôn, Quán bar, Không hút thuốc, ","https://lh5.googleusercontent.com/p/AF1QipPxiKoUHnc9VQLvLAGqU2ANbOgwBrPizi8OXy9n, https://lh5.googleusercontent.com/p/AF1QipO4bW95eKuMCpfaw6skdnAEBlr8TmbExeEcVb-w, https://lh5.googleusercontent.com/p/AF1QipPCI9GaszDqgBdLvnyScX41NenZkeYvRhKOobt8, https://lh5.googleusercontent.com/p/AF1QipO2R9oUlTsmUASrMpKY4ThViaUVnqTtHPQMop5C, "
Pullman Danang Beach Resort,"101 Võ Nguyên Giáp, Street, Ngũ Hành Sơn, Đà Nẵng 550000, Việt Nam","4,6",2.958,16.0405647,108.1779894,Đà Nẵng,Khách sạn 5 sao,3.896.000 ₫,Không có giảm giá,"Wi-Fi miễn phí, Bữa sáng miễn phí, Đỗ xe miễn phí, Phù hợp cho người khuyết tật, Bể bơi ngoài trời, Có điều hòa nhiệt độ, Dịch vụ giặt ủi, Trung tâm thương mại, Có đường ra bãi biển, Dịch vụ phòng, Phù hợp với trẻ em, Nhà hàng, Xe đưa đón ra sân bay, Trung tâm thể dục, Sân gôn, Quán bar, ","https://lh5.googleusercontent.com/p/AF1QipMsaxVSTGnau6PlXnEFtPc_IAqwILR500Pn9wqW, https://lh5.googleusercontent.com/p/AF1QipOJnYA25To4IJmpe5PDCUSpeZ4juXVK-eTK-zPZ, https://lh5.googleusercontent.com/p/AF1QipMxGiL3v7kI2_V06hjoB6vOnnQz5lQ6t5mgmzlz, https://lh5.googleusercontent.com/p/AF1QipMRGMWSW-8idk9y3COVapPX9pqRz1y0eLQGg81-, "
TMS Hotel,"292 Võ Nguyên Giáp, Bắc Mỹ Phú, Ngũ Hành Sơn, Đà Nẵng 550000, Việt Nam","4,6",1.767,16.0511516,108.1761885,Đà Nẵng,Khách sạn 5 sao,1.892.021 ₫,Không có giảm giá,"Wi-Fi miễn phí, Bữa sáng miễn phí, Đỗ xe miễn phí, Phù hợp cho người khuyết tật, Bể bơi, Có điều hòa nhiệt độ, Dịch vụ giặt ủi, Có đường ra bãi biển, Dịch vụ phòng, Nhà hàng, Bếp ở một số phòng, Xe đưa đón ra sân bay, Spa, Trung tâm thể dục, Quán bar, ","https://lh5.googleusercontent.com/p/AF1QipNN-W-FCDkNlaekaMLov9GZC_BEIc2SzcCE4DQE, https://lh5.googleusercontent.com/p/AF1QipObbTKddgqJhtXh7PONJoItj5EWrFoZRz6tNIjE, https://lh5.googleusercontent.com/p/AF1QipM3zIV9CdBlvf9YO3_7ZQ_ATm03hL9cc2xHo3DN, https://lh5.googleusercontent.com/p/AF1QipOzvBNGtOyoPBsiYlOSGZbJsGFowTDPhUeyEPlJ, "
Mường Thanh Luxury Đà Nẵng Hotel,"270 Võ Nguyên Giáp, Bắc Mỹ Phú, Ngũ Hành Sơn, Đà Nẵng 550000, Việt Nam","4,4",5.009,16.0537175,108.1752658,Đà Nẵng,Khách sạn 5 sao,1.486.224 ₫,Không có giảm giá,"Wi-Fi miễn phí, Bữa sáng miễn phí, Đỗ xe miễn phí, Phù hợp cho người khuyết tật, Bể bơi ngoài trời, Có điều hòa nhiệt độ, Dịch vụ giặt ủi, Trung tâm thương mại, Có đường ra bãi biển, Dịch vụ phòng, Phù hợp với trẻ em, Nhà hàng, Xe đưa đón ra sân bay, Bồn tắm nước nóng, Spa, Trung tâm thể dục, Quán bar, ","https://lh5.googleusercontent.com/p/AF1QipO0tFrULnj6lb1LF2tl1x0ru8Bw4YlAGtozRRgP, https://lh5.googleusercontent.com/p/AF1QipOlHRBDKUu4fcZT3ODrfnOXzrFOfzYo6VwnMZJy, https://lh5.googleusercontent.com/p/AF1QipMJSj__NAgflUxv-pERyc8T66Qray4bAkbPzYRa, https://lh5.googleusercontent.com/p/AF1QipMzEsSxHnzOdIBjyuiEJST4vhxRkxB8OiaaWxk1, "
Tuong Van Hotel Đà Nẵng,"53 An Thượng 2, Bắc Mỹ An, Ngũ Hành Sơn, Đà Nẵng 55000, Việt Nam","4,5",12,16.0485394,108.1754681,Đà Nẵng,Khách sạn,824.420 ₫,Không có giảm giá,,"https://lh5.googleusercontent.com/p/AF1QipODeQpaLlBqorup0xnebe2ZvDoBhFsb_jOvmnE, https://lh5.googleusercontent.com/p/AF1QipPQUSh4sNiXO4Q0djKJBcxfV2kEPCVislhweS4, https://lh5.googleusercontent.com/p/AF1QipNfhWPdYKbm6iDJr-GF3fBL13HamE2wntD52Pec, https://lh5.googleusercontent.com/p/AF1QipOV0L6ySVPuc1O-04ChtLi6cPO2nB01EUlxmZ_G, "
Cozy Danang Boutique Hotel,"37 Cô Giang, Phước Ninh, Hải Châu, Đà Nẵng 550000, Việt Nam","4,7",339,16.0616042,108.1496491,Đà Nẵng,Khách sạn,936.000 ₫,Không có giảm giá,"Wi-Fi miễn phí, Bữa sáng miễn phí, Đỗ xe miễn phí, Bể bơi ngoài trời, Có điều hòa nhiệt độ, Dịch vụ giặt ủi, Nhà hàng, Xe đưa đón ra sân bay, ","https://lh5.googleusercontent.com/p/AF1QipNhScqNlhVXsvPkPattCwkW7AU-OiLJS2lL8sA, https://lh5.googleusercontent.com/p/AF1QipOChTXHAvogIhsWCVCMRgkmHuJL_hU5KsjkF1DL, https://lh5.googleusercontent.com/p/AF1QipNP8T7RhNmt-0U_gF9GdVytw8LHQ1-Ujpn9ds_x, https://lh5.googleusercontent.com/p/AF1QipO5ob437B6se3Pj-mQsuwxrrU_M3XWUm1ZtvBjs, "
Khách Sạn Le Indochina Hotel & Beach Đà Nẵng,"91 Hồ Xuân Hương, Bắc Mỹ An, Ngũ Hành Sơn, Đà Nẵng 550000, Việt Nam","3,4",73,16.040547,108.175138,Đà Nẵng,Khách sạn 3 sao,185.178 ₫,Không có giảm giá,"Wi-Fi miễn phí, Đỗ xe miễn phí, Bể bơi, Có điều hòa nhiệt độ, Dịch vụ giặt ủi, Nhà hàng, Xe đưa đón ra sân bay, ","https://lh5.googleusercontent.com/p/AF1QipPEAZ8dq2hWzbil9TLpC7mYfDyIl_JRBp8W9zSx, https://lh5.googleusercontent.com/p/AF1QipN8QVCYPSNcFSw1PofU8nsywXa8cEYC3iu4GJ_2, https://lh5.googleusercontent.com/p/AF1QipOsOFDH4jpd9x4Z8ufbN-3M4GPtFDWLz5eS71jo, https://lh5.googleusercontent.com/p/AF1QipOExHwIMiDAo9Z31cLYIF6D0wNyPNDOVDUL5QCR, "
Khách sạn Radisson Đà Nẵng,"170 Võ Nguyên Giáp, Phước Mỹ, Sơn Trà, Đà Nẵng 550000, Việt Nam","4,7",1.967,16.0739562,108.1728628,Đà Nẵng,Khách sạn 5 sao,1.823.627 ₫,Không có giảm giá,"Wi-Fi miễn phí, Bữa sáng có tính phí, Đỗ xe miễn phí, Phù hợp cho người khuyết tật, Bể bơi ngoài trời, Có điều hòa nhiệt độ, Dịch vụ giặt ủi, Trung tâm thương mại, Có đường ra bãi biển, Dịch vụ phòng, Phù hợp với trẻ em, Nhà hàng, Xe đưa đón ra sân bay, Spa, Trung tâm thể dục, Quán bar, Không hút thuốc, ","https://lh5.googleusercontent.com/p/AF1QipNmNtaO-VMacuWSWy0vriSIoPB-GFemm7h-CUtA, https://lh5.googleusercontent.com/p/AF1QipOd8kXJQC27xP2pJpx5ryRG4-M1j9_PjjawyKV1, https://lh5.googleusercontent.com/p/AF1QipPPWrZHUYl4aWnFsEh779nqncieCh5RBVJbMsv3, https://lh5.googleusercontent.com/p/AF1QipNOlVU-f5gzAZTtx9zvSYKlTAuuyP50-a0As5wt, "
Santa Luxury Hotel,"09 Đ. Đỗ Bá, Bắc Mỹ Phú, Ngũ Hành Sơn, Đà Nẵng 550000, Việt Nam","4,7",660,16.0517799,108.1746584,Đà Nẵng,Khách sạn 4 sao,Không có giá,Không có giảm giá,"Wi-Fi miễn phí, Bữa sáng miễn phí, Đỗ xe miễn phí, Bể bơi, Có điều hòa nhiệt độ, Dịch vụ giặt ủi, Có đường ra bãi biển, Nhà hàng, Xe đưa đón ra sân bay, ","https://lh5.googleusercontent.com/p/AF1QipOZs4hDsyoPApJxZ5VWNqK72YFK25YiJOOSIOBP, https://lh5.googleusercontent.com/p/AF1QipPNaFiQJiz493UfsLBp3npHddH4zBE5ZZcxnWPG, https://lh5.googleusercontent.com/p/AF1QipNPh3FsRGmGP6u8v6HdzKjH8UzRnCyygxEf4szW, https://lh5.googleusercontent.com/p/AF1QipPSA8npgHXbdl3r_ZXkiOv2pcQaWDArOoUU6WmX, "
