name,address,score,reviews count,latitude,longitude,province,category,price,discount,services,description images
Khách sạn Mira - Khách sạn gần biển ở Quy Nhơn,"11A Ngô Mây, Nguyễn Văn Cừ, Quy Nhơn, Bình Định, Việt Nam","4,2",409,13.761678,108.642621,Bình Định,Khách sạn 3 sao,254.802 ₫,Ít hơn 24% so với bình thường,"Wi-Fi miễn phí, Đỗ xe miễn phí, Có điều hòa nhiệt độ, Dịch vụ giặt ủi, Có đường ra bãi biển, Phù hợp với trẻ em, Nhà hàng, Xe đưa đón ra sân bay, ","https://lh5.googleusercontent.com/p/AF1QipPckf6t2lPd54jM25kM5ZbSSgMEYDnhijoezrRl, https://lh5.googleusercontent.com/p/AF1QipNpAnzovni88wv5NQcC1ohUTWVQFb_1deaGCdg, https://lh5.googleusercontent.com/p/AF1QipNr5In46mJUd5GXTg8EqFwoH_SU4j-wea28WuDZ, https://lh5.googleusercontent.com/p/AF1QipOreReSq5IAoLTDABysm7LALAJwYbVX_eHTNpsK, "
Galaxy Hotel,"27 Nguyễn Lạc, Trần Phú, Quy Nhơn, Bình Định, Việt Nam","4,1",200,13.7636578,108.6471641,Bình Định,Khách sạn 2 sao,378.806 ₫,Không có giảm giá,"Wi-Fi miễn phí, Đỗ xe miễn phí, Có điều hòa nhiệt độ, Dịch vụ giặt ủi, Có đường ra bãi biển, Phù hợp với trẻ em, Nhà hàng, ","https://lh5.googleusercontent.com/p/AF1QipMJVpweCXjnMOHWUnTi-QSwBFWjk6kDEIss3Fj-, https://lh5.googleusercontent.com/p/AF1QipMxorLETBjAJrdWpDammZRHsaAQpr8_oo6WZpI, https://lh5.googleusercontent.com/p/AF1QipNPGNnyQmDQJmoYqaLCZ71zGkYmHVESNtRVF0E-, https://lh5.googleusercontent.com/p/AF1QipMVcGVt-T0Xoj5XhsYYcsG3TrNpEWY9msFTxwHd, "
Khách sạn Center Quy Nhơn,"51 Hoàng Diệu, Trần Phú, Quy Nhơn, Bình Định 55109, Việt Nam","4,2",232,13.7690819,108.6465816,Bình Định,Khách sạn 2 sao,148.732 ₫,Không có giảm giá,"Wi-Fi miễn phí, Bữa sáng miễn phí, Đỗ xe miễn phí, Có điều hòa nhiệt độ, Dịch vụ giặt ủi, Phù hợp với trẻ em, Nhà hàng, Xe đưa đón ra sân bay, ","https://lh5.googleusercontent.com/p/AF1QipMInHDh_ZqP0RQyTlpK7aXZX5x7TrxmjR5UwsOL, https://lh5.googleusercontent.com/p/AF1QipOnxmqRv8QHJnmtdWDLn2IB9W0OOZF6Ouwzo0g, https://lh5.googleusercontent.com/p/AF1QipMIdqelUOPPgMfBQzCGshHjYvlDqxrEEsVntPwj, https://lh5.googleusercontent.com/p/AF1QipPUWh5qeWcJ8DEr_p4DGpqs6GbHJE1tDi9tSsnK, "
"Happiness Hotel - Khách sạn ở Eo Gió, Quy Nhơn","Đường số 5, Nhơn Lý, Quy Nhơn, Bình Định 820000, Việt Nam","4,6",152,13.8851159,108.7147566,Bình Định,Khách sạn,598.867 ₫,Ít hơn 37% so với bình thường,"Wi-Fi miễn phí, Bữa sáng miễn phí, Đỗ xe miễn phí, Bể bơi, Có điều hòa nhiệt độ, Dịch vụ giặt ủi, Có đường ra bãi biển, Nhà hàng, Bếp ở một số phòng, ","https://lh5.googleusercontent.com/p/AF1QipNvnAxcJeqskgJGGDA1HRiQ73vIY36BAoDz7UYx, https://lh5.googleusercontent.com/p/AF1QipP9kBw-5LeQmsDw8xLXNVLOuZayDC-O7hjpk52q, https://lh5.googleusercontent.com/p/AF1QipNemH0CypCMdkm1aDHLLVtsgeIa2wDissVwXVUl, https://lh5.googleusercontent.com/p/AF1QipOH6Jrx6twLh5ziZT61Mwy5IhXVTXTeXovrCoHi, "
Sea Star Hotel - Khách sạn gần biển Quy Nhơn,"29/10 Ngô Mây, Nguyễn Văn Cừ, Quy Nhơn, Bình Định 53000, Việt Nam","4,5",45,13.7616912,108.6419115,Bình Định,Khách sạn 2 sao,228.949 ₫,Không có giảm giá,"Wi-Fi miễn phí, Đỗ xe miễn phí, Có điều hòa nhiệt độ, Dịch vụ giặt ủi, Có đường ra bãi biển, Xe đưa đón ra sân bay, ","https://lh5.googleusercontent.com/p/AF1QipPJqm50IcoU1sMWJ7ff_GqNc1u8AHcta0djuwdx, https://lh5.googleusercontent.com/p/AF1QipNUebePkjROgjgDDxDYsfsvho26fhGFS0gqmmU0, https://lh5.googleusercontent.com/p/AF1QipMs3CAh3SChUQTLZuK0MiPm7c2ZaU_OxisvYKNP, https://lh5.googleusercontent.com/p/AF1QipNvSfemJnWUmHEBP7zR8FAXtThoH7M7HOzju7WF, "
Casa Marina Resort,"Quốc lộ 1D, Khu Phố 1, Bãi Xép, Phường Ghềnh Ráng,, Quy Nhơn, Bình Định, Việt Nam","4,2",754,13.6848891,108.6533494,Bình Định,Khách sạn 3 sao,656.102 ₫,Ít hơn 36% so với bình thường,"Wi-Fi miễn phí, Bữa sáng miễn phí, Đỗ xe miễn phí, Bể bơi ngoài trời, Có điều hòa nhiệt độ, Dịch vụ giặt ủi, Có đường ra bãi biển, Dịch vụ phòng, Phù hợp với trẻ em, Nhà hàng, Xe đưa đón ra sân bay, Spa, Trung tâm thể dục, ","https://lh5.googleusercontent.com/p/AF1QipOHw5XyWHZI0ZOSKvt-VV8W0iUP03oSm2dQBkzc, https://lh5.googleusercontent.com/p/AF1QipNuNwej3T0pB6O7pVIz6IcdZQt8Z_IGQU8HeQ7y, https://lh5.googleusercontent.com/p/AF1QipNReaIHsF_Y9IzlO-7RiltexKq45yIhkz3ErF5u, https://lh5.googleusercontent.com/p/AF1QipMTNnoD1r7J_hbnDy6BAQUq-swLaA2D0hXD438G, "
Khách sạn Lưu Ngãi Condotel,"92 Võ Thị Yến, Nguyễn Văn Cừ, Quy Nhơn, Bình Định 591300, Việt Nam","4,0",58,13.7540481,108.6368428,Bình Định,Khách sạn 3 sao,398.541 ₫,Ít hơn 31% so với bình thường,"Wi-Fi miễn phí, Bữa sáng miễn phí, Đỗ xe miễn phí, Bể bơi, Có điều hòa nhiệt độ, Dịch vụ giặt ủi, Dịch vụ phòng, Nhà hàng, Bếp ở một số phòng, ","https://lh5.googleusercontent.com/p/AF1QipMOY1pokSUcty2iLHZxm19GTNznJBcFhUfuGE5U, https://lh5.googleusercontent.com/p/AF1QipOB6vgVys2joIHRuKSzysvIbaGeJLS3QN1pgsdY, https://lh5.googleusercontent.com/p/AF1QipOjzxuv7pPtAPM39HoAy_QgLN3cCTIzEkeWtsz7, https://lh5.googleusercontent.com/p/AF1QipPAmdRjFcEiyyS5FTQV2txslagGDntGbIg8N0s7, "
Hotel Diễm My - Khách sạn sân bay Phù Cát,"ĐT636, Gò Găng, Phù Cát, Bình Định 55000, Việt Nam","3,9",75,13.948189,108.4917792,Bình Định,Khách sạn,300.028 ₫,Không có giảm giá,"Wi-Fi miễn phí, Dịch vụ giặt ủi, ","https://lh5.googleusercontent.com/p/AF1QipNGkHe7d7exgZor1VsAnrRzgWpE3TX1lEsTdaph, https://lh5.googleusercontent.com/p/AF1QipNl_51KkrB4GAOCGRKx3ap1eYAQpSJemXlMTa1q, https://lh5.googleusercontent.com/p/AF1QipMz-c6bcbo3PvMF47tVUCQsvwYdvphG2OJ_Sc-k, https://lh5.googleusercontent.com/p/AF1QipMARiwi0S-1QjGvwZUO19uVNvMdnisk6O9JopPS, "
"Khách sạn Hoàng Oanh,","2A Trần Độc, Trần Phú, Quy Nhơn, Bình Định, Việt Nam","4,0",98,13.7635479,108.6466295,Bình Định,Khách sạn 2 sao,230.434 ₫,Ít hơn 27% so với bình thường,"Wi-Fi miễn phí, Đỗ xe miễn phí, Có điều hòa nhiệt độ, Dịch vụ giặt ủi, Có đường ra bãi biển, Phù hợp với trẻ em, Xe đưa đón ra sân bay, ","https://lh5.googleusercontent.com/p/AF1QipNmQXJqPqMneqOQsRe2Ygn-_hWsuQyKIL6ZkWqX, https://lh5.googleusercontent.com/p/AF1QipMbXtUxCICtJYiStW5C6HNmMc35xAeT-Mw_KJFa, https://lh5.googleusercontent.com/p/AF1QipMR9QpzrYoerjD33F7m1FVH3VJWGj8S15U-s77Y, https://lh5.googleusercontent.com/p/AF1QipPr6eV2ayYqaIw1sH64xZqO6tRmNhSB5wi5H7J_, "
RAON Hotel - STAY 24H,"7 Nguyễn Thị Định, Nguyễn Văn Cừ, Quy Nhơn, Bình Định, Việt Nam","4,0",134,13.754065,108.6352144,Bình Định,Khách sạn,289.803 ₫,Ít hơn 35% so với bình thường,,"https://lh5.googleusercontent.com/p/AF1QipP_GpWQwT3zgG8O2quJo5zFV9krbhjBUSFiSRkk, https://lh5.googleusercontent.com/p/AF1QipOyiavQaDUjVz51kSmMUEFYqHN0jTEsCVTXHe0_, https://lh5.googleusercontent.com/p/AF1QipPJz8z0FGmUirCviR-6nX-j4itWXtTv8kOKVfAB, https://lh5.googleusercontent.com/p/AF1QipM9Ieb2kz7U7de0qk7w210QPZBRHN9TzkykWMNr, "
