name,address,score,reviews count,province,category,price,discount,services,description images,latitude,longitude
BIG HOTEL,"27 Duy Tân, An Cựu, Huế, Thừa Thiên Huế 530000, Việt Nam","4,0",15,Thừa Thiên Huế,Khách sạn,282.182 ₫,Không có giảm giá,,"https://lh5.googleusercontent.com/p/AF1QipPvzxO-IMbPjo5FyuiVXJqxWk9mAcvCUCJV7MMK, https://lh5.googleusercontent.com/p/AF1QipNT8XKyxGGT8iJlsDcDQDs9srLWqcbWWdaUiPdg, https://lh5.googleusercontent.com/p/AF1QipNnHUj59-0sRJUNKjBIbCmdLdU0U3yKb0vsnsOW, ",16.45255,107.59359
Vina Spa Hotel Huế,"5 kiệt 57 Nguyễn Công Trứ, Phú Hội, Huế, Thừa Thiên Huế 530000, Việt Nam","4,1",34,Thừa Thiên Huế,Khách sạn,490.472 ₫,Không có giảm giá,,"https://lh5.googleusercontent.com/p/AF1QipMbu6BlddQL00XqC-3uxPUIQQU9TRUmlcB34Iia, https://lh5.googleusercontent.com/p/AF1QipOm5jaDWXqp088T1lhq-_uYKb0UTPxhtHont9EM, https://lh5.googleusercontent.com/p/AF1QipOMvTCaynEW6_l_Q5YiISp7uYsyn4OetTObnbL9, https://lh5.googleusercontent.com/p/AF1QipPpcPQIlD3Upqoi6uM8blyUSQf4UTrMFmLO406w, ",16.47164,107.59816
An Nam Hue Boutique,"Khải Định/108A Huế, Thủy Bằng, Hương Thủy, Thừa Thiên Huế 49610, Việt Nam","4,1",76,Thừa Thiên Huế,Khách sạn,501.368 ₫,Ít hơn 30% so với bình thường,"Wi-Fi miễn phí, Bữa sáng có tính phí, Đỗ xe miễn phí, Bể bơi ngoài trời, Có điều hòa nhiệt độ, Dịch vụ giặt ủi, Dịch vụ phòng, Phù hợp với trẻ em, Nhà hàng, Bếp ở một số phòng, Xe đưa đón ra sân bay, Không hút thuốc, ","https://lh5.googleusercontent.com/p/AF1QipMpySE0XuU-5ovOHMAY856AvEQ3eSYoLmQAxuGj, https://lh5.googleusercontent.com/p/AF1QipNLhgV58OQr1GG6UCDpIrf2Hte7b4sKDQxpqXlk, https://lh5.googleusercontent.com/p/AF1QipM3D-tSZw4MxZhG6Z1zfk5K6auHzrVXuUL1FN-N, https://lh5.googleusercontent.com/p/AF1QipNJRHG6nxoTid5G0fL7QT9eqBJVxDaEAXvRoP54, ",16.41599,107.58670
KHÁCH SẠN THẢO AN HUẾ,"4 Đào Trinh Nhất, Vỹ Dạ, Huế, Thừa Thiên Huế 52000, Việt Nam","4,0",71,Thừa Thiên Huế,Khách sạn,279.818 ₫,Không có giảm giá,,"https://lh5.googleusercontent.com/p/AF1QipNPtEacdZAgvEUFs4uT0VlICM6krW2PGvpQqynd, https://lh5.googleusercontent.com/p/AF1QipNq0OTewRwnt_bAZFe8QDSWtqpez-4Cg6GHHS_R, https://lh5.googleusercontent.com/p/AF1QipOZKFUwCvwt2GuljaqjzlcB6D-Evb2isdvQpPL4, https://lh5.googleusercontent.com/p/AF1QipNk6v28-XtsLFnPcpe2uvlChqLOH9oIwH2KTICL, ",16.47489,107.60280
Khách sạn Sông Hương Huế,"79 Nguyễn Sinh Cung, Vỹ Dạ, Huế, Thừa Thiên Huế, Việt Nam","3,8",150,Thừa Thiên Huế,Khách sạn 2 sao,516.373 ₫,Không có giảm giá,"Wi-Fi miễn phí, Bữa sáng có tính phí, Đỗ xe miễn phí, Có điều hòa nhiệt độ, Dịch vụ giặt ủi, Dịch vụ phòng, Phù hợp với trẻ em, Nhà hàng, Xe đưa đón ra sân bay, Quán bar, Không hút thuốc, ","https://lh5.googleusercontent.com/p/AF1QipNYndXfSon3qd5raS5p1DPxL0ekRn-pGeB1Jr_G, https://lh5.googleusercontent.com/p/AF1QipMGuGzvzWxWO936IW2xEWTqCiyEUFHx8udq0eej, https://lh5.googleusercontent.com/p/AF1QipPtafF8uiQYJZvae8x3O6cP8w1dL2hK0Xj0Ckr9, https://lh5.googleusercontent.com/p/AF1QipPbUCGbnXXozYhxe-T0eyl5KvrBaUCOLXY7O13U, ",16.47766,107.59536
La Habana Hue Hotel,"03 Phạm Ngũ Lão, Phú Hội, Huế, Thừa Thiên Huế, Việt Nam","4,7",18,Thừa Thiên Huế,Khách sạn 3 sao,346.863 ₫,Ít hơn 18% so với bình thường,"Wi-Fi miễn phí, Có điều hòa nhiệt độ, Dịch vụ giặt ủi, Nhà hàng, Bếp ở một số phòng, Xe đưa đón ra sân bay, ","https://lh5.googleusercontent.com/p/AF1QipMX-9bTdb24fwKjF1LiL-z0yCvBvFEDcNPipxR5, https://lh5.googleusercontent.com/p/AF1QipNwuomlV9YjppffaOg3fPOtkbzMd4Cxfjstm8wM, https://lh5.googleusercontent.com/p/AF1QipNMCLVKimxSipAqS1tE02kPL1JTNnhv6CkiiKma, https://lh5.googleusercontent.com/p/AF1QipN4E96B-QwnY7ZRPOUVbR7tFWpGLN35OTKSn94u, ",16.46965,107.59431
Smile Homestay Huế,"2/25 Bến Nghé, Phú Hội, Huế, Thừa Thiên Huế, Việt Nam","5,0",1,Thừa Thiên Huế,Khách sạn,216.568 ₫,Không có giảm giá,,"https://lh5.googleusercontent.com/p/AF1QipPNxr6nKaGq4Nt_GcUKqJdpyMvMR9WI-T2tdUlE, https://lh5.googleusercontent.com/p/AF1QipOgib1bzi_0M0uUEAcM7LusxHlXBBb56nq9Fudr, https://lh5.googleusercontent.com/p/AF1QipPQRmP9nkfCdbO5x0g_0m16YyGJHvO0DWhw5OX9, https://lh5.googleusercontent.com/p/AF1QipMJDmWaeMQ9hN7AJd_2OUg9SKn7w7YKlIjFCeLW, ",16.46680,107.59482
The Sunriver Boutique Hotel Hue,"15 Đội Cung, Phú Hội, Huế, Thừa Thiên Huế 530000, Việt Nam","3,3",207,Thừa Thiên Huế,Khách sạn,432.716 ₫,Không có giảm giá,"Wi-Fi miễn phí, Bữa sáng có tính phí, Đỗ xe miễn phí, Bể bơi ngoài trời, Có điều hòa nhiệt độ, Dịch vụ giặt ủi, Chấp nhận vật nuôi, Dịch vụ phòng, Phù hợp với trẻ em, Nhà hàng, Xe đưa đón ra sân bay, Trung tâm thể dục, Không hút thuốc, ","https://lh5.googleusercontent.com/p/AF1QipN6xR4KtelWfg2fBZlY-7XACjHGxJAIG1bXw2M3, https://lh5.googleusercontent.com/p/AF1QipM_n25SggSID8bSh9cZNUnYElx7wCKGwalwDujP, https://lh5.googleusercontent.com/p/AF1QipPCAnzs9CoVcSiTeuW0rlAVIkejtKxJ-fT4LPbP, https://lh5.googleusercontent.com/p/AF1QipPCAnzs9CoVcSiTeuW0rlAVIkejtKxJ-fT4LPbP, ",16.46889,107.59401
Smile Homestay Huế,"2/25 Bến Nghé, Phú Hội, Huế, Thừa Thiên Huế, Việt Nam","5,0",1,Thừa Thiên Huế,Khách sạn,216.568 ₫,Không có giảm giá,,"https://lh5.googleusercontent.com/p/AF1QipPNxr6nKaGq4Nt_GcUKqJdpyMvMR9WI-T2tdUlE, https://lh5.googleusercontent.com/p/AF1QipOgib1bzi_0M0uUEAcM7LusxHlXBBb56nq9Fudr, https://lh5.googleusercontent.com/p/AF1QipPQRmP9nkfCdbO5x0g_0m16YyGJHvO0DWhw5OX9, https://lh5.googleusercontent.com/p/AF1QipMJDmWaeMQ9hN7AJd_2OUg9SKn7w7YKlIjFCeLW, ",16.46680,107.59482
Shine Hotel,"38 Nguyễn Huệ, Vĩnh Ninh, Huế, Thừa Thiên Huế, Việt Nam","3,2",31,Thừa Thiên Huế,Khách sạn,211.981 ₫,Không có giảm giá,,"https://lh5.googleusercontent.com/p/AF1QipO9hc0OAxre3npX4DrSAp0a9T3DSMLxj2E10hdH, https://lh5.googleusercontent.com/p/AF1QipPzCBE6JwC9XwrhfkjRyscqFMt78xjlyXMlqHKo, https://lh5.googleusercontent.com/p/AF1QipMRk8Nu7OWhlO2nGToyVfTFIk-wNkttPN2RuZKZ, https://lh5.googleusercontent.com/p/AF1QipMUeFju90-64AJtwFIb4cSREtxuLmZ3dZPmC0BS, ",16.45724,107.58336
