name,address,score,reviews count,province,category,price,services,description images,latitude,longitude
Cơm tấm Út Vân,"132 Nguyễn Văn Thoại, Bắc Mỹ Phú, Ngũ Hành Sơn, Đà Nẵng 550000, Việt Nam","4,8",1.983,Đà Nẵng,Quán ăn nhỏ,1-100.000 ₫,"Ăn tại chỗ, Đồ ăn mang đi, Giao hàng gián tiếp, ","https://lh5.googleusercontent.com/p/AF1QipMW4H4efCjV_jqhftJAgNawpgFtJ7E3pbUZnDOP, https://lh5.googleusercontent.com/p/AF1QipP50lz60Ew0ZsBZ8f5hVvUeqSseyTd5c-80T2mq, https://lh5.googleusercontent.com/p/AF1QipMvcVBRcO3oYJqzNUUKDWjnb9SnuT8aUsm4XIDy, https://lh5.googleusercontent.com/p/AF1QipOJhmaPS6aKM-WjYWD9bAN-d_5src2NJKTlGLyO, ",16.05569,108.24472
Nhà hàng Thìa Gỗ Đà Nẵng,"53 Phan Thúc Duyện, Bắc Mỹ An, Ngũ Hành Sơn, Đà Nẵng 50507, Việt Nam","4,8",5.841,Đà Nẵng,Nhà hàng Việt Nam,100-200 N ₫,"Ăn tại chỗ, Đồ ăn mang đi, Giao hàng gián tiếp, ","https://lh5.googleusercontent.com/p/AF1QipOa7omv_BBl5HQ43XP1RSDrm2DFR4e1xpuyc18, https://lh5.googleusercontent.com/p/AF1QipOrKoNu294RIji3G-3I_kYgfPSuURgdgRrf47GQ, https://lh5.googleusercontent.com/p/AF1QipM3b3ZoqmxejB2EE7yLFAY05UuiKyxIIQpMKbOS, https://lh5.googleusercontent.com/p/AF1QipOkEySxe86YCOGelfk5PYCUiceHLQBtLuiT30oZ, ",16.05299,108.24158
Quán Ốc Ngon Đà Nẵng,"137 Nguyễn Đức Trung, Hòa Khê, Thanh Khê, Đà Nẵng 88000, Việt Nam","4,4",410,Đà Nẵng,Nhà hàng hải sản,100-200 N ₫,"Ăn tại chỗ, Mua hàng ngay trên xe, Giao hàng gián tiếp, ","https://lh5.googleusercontent.com/p/AF1QipNY1igXUR66aqma_iEGrl72-GxyEVbPoUwkhiIP, https://lh5.googleusercontent.com/p/AF1QipPB1_thKFhwiMK7PRfSJG1bT1ZNyRpl-l1zEjvR, https://lh5.googleusercontent.com/p/AF1QipNyS69vVDUZy5jdj0OeF3uueoFzDSmcXiIovhdA, https://lh5.googleusercontent.com/p/AF1QipMcSeA7JISJHHRTk045w24cZR238Dn61eVsFiTd, ",16.06620,108.18847
Bún mắm Ngọc,"20 Đoàn Thị Điểm, Hải Châu 2, Hải Châu, Đà Nẵng 550000, Việt Nam","4,2",453,Đà Nẵng,Quán ăn nhỏ,1-100.000 ₫,"Ăn tại chỗ, Đồ ăn mang đi, Giao hàng, ","https://lh5.googleusercontent.com/p/AF1QipPaB9OA1SMXtMo0uP3k-ncQHxn528O3PuAmfe4k, https://lh5.googleusercontent.com/p/AF1QipP3PqMITmL0XOStPq8fVrqTucEaMaaHqdNKQS2z, https://lh5.googleusercontent.com/p/AF1QipNH4lIQoWAv335Guv0oAKz0Df8p2WUlsvMhqepm, https://lh5.googleusercontent.com/p/AF1QipOb1GqHdl54JwAq0QxVf5DQnWF_ogcfYw30-dU_, ",16.06659,108.21720
Hải sản Mộc quán Đà Nẵng,"26 Tô Hiến Thành, Phước Mỹ, Sơn Trà, Đà Nẵng 550000, Việt Nam","4,6",9.608,Đà Nẵng,Nhà hàng hải sản,₫₫,"Ăn tại chỗ, Đồ ăn mang đi, Giao hàng, ","https://lh5.googleusercontent.com/p/AF1QipMg_NRlvVStHg1QafkN8RmaE-GbQkcRSW19rVYn, https://lh5.googleusercontent.com/p/AF1QipN8EjUOkWxdmL_dqFvb1Sw724RD5IHZ6ksqf2LK, https://lh5.googleusercontent.com/p/AF1QipNF1BF6SMXCuWPxXhpw6HThWYGRBpkiclAtYwci, https://lh5.googleusercontent.com/p/AF1QipNGJ60C5P-V9gxZo_Rf-0WXM6Y7Fabo1C_PFouP, ",16.06400,108.24158
Quán hải sản Thời Cổ Đà Nẵng,"354/1 Võ Nguyên Giáp, Bắc Mỹ An, Ngũ Hành Sơn, Đà Nẵng 550000, Việt Nam","4,7",2.534,Đà Nẵng,Nhà hàng hải sản,₫₫,"Ăn tại chỗ, Đồ ăn mang đi, Giao hàng gián tiếp, ","https://lh5.googleusercontent.com/p/AF1QipMx01ztfr-HiPhzChm1jQqmaw9JYBfOvwLOeNuC, https://lh5.googleusercontent.com/p/AF1QipN8oF83bJbeLSfLuwOQQ7lYayeKAF8ELn6VtHEH, https://lh5.googleusercontent.com/p/AF1QipPj-VzQPHFqpIGbmTDxBTe0bzih8nqvfp-aT292, https://lh5.googleusercontent.com/p/AF1QipOmt9RJH4ObhXTEiKB8o_AYZft5ltu55yS7MINb, ",16.04386,108.24731
Nhà Hàng 3 Big - Nướng & Lẩu Hàn Quốc,"134 Phan Châu Trinh, Phước Ninh, Hải Châu, Đà Nẵng 550000, Việt Nam","4,9",11.181,Đà Nẵng,Nhà hàng tiệc đứng,100-200 N ₫,"Ăn tại chỗ, Đồ ăn mang đi, Giao hàng gián tiếp, ","https://lh5.googleusercontent.com/p/AF1QipMcu2Vd7KyeCSISSQSmFSexiU3AxcaETgzJT3Hs, https://lh5.googleusercontent.com/p/AF1QipOX2dUs8Fovb8g0jt23gmO9pLRWtQg5Gc85VgDg, https://lh5.googleusercontent.com/p/AF1QipMe9Ojyvr1Z7vtRp5ciTfi3Yqamot5lj5VboIbz, https://lh5.googleusercontent.com/p/AF1QipMwKcuZZcvIriK6taYIGtU1koP3wM34yC3nLOHn, ",16.06397,108.21973
XÓM MỚI GARDEN,"222 Trần Phú,phường Phước Ninh, Đà Nẵng, 552760, Việt Nam","4,9",4.223,Đà Nẵng,Nhà hàng Việt Nam,100-300 N ₫,"Ăn tại chỗ, Mua hàng ngay trên xe, Giao hàng, ","https://lh5.googleusercontent.com/p/AF1QipNYkCrWBPWByh9QfZCUkWCI5lbCTRJehQo8MFtX, https://lh5.googleusercontent.com/p/AF1QipMe_RavyH4ACA1NlV72-ex79fGhgza5J3c-UZDj, https://lh5.googleusercontent.com/p/AF1QipMKlJ3eps7cqv9BfY-0X-CslZR4MIc4dWo_Dpcd, https://lh5.googleusercontent.com/p/AF1QipPrBxQaoxyN-c2wzpgTFuYzB9A33SmGrs4wTlxM, ",16.06350,108.22321
Quán Huế Ngon -다낭최고의 로컬 BBQ 레스토랑- Best local food in Da Nang-,"65 Trần Quốc Toản, Phước Ninh, Hải Châu, Đà Nẵng 550000, Việt Nam","4,0",1.285,Đà Nẵng,Nhà hàng Việt Nam,100-300 N ₫,"Ăn tại chỗ, Mua hàng ngay trên xe, Giao hàng gián tiếp, ","https://lh5.googleusercontent.com/p/AF1QipNx1ElMSYX0c2CMxuDAi4LVCBp3Vl8Bbmq30B7N, https://lh5.googleusercontent.com/p/AF1QipP0-TRvW_t29dNGqhaKB5UvlItIje6EpldgYr_S, https://lh5.googleusercontent.com/p/AF1QipMsN9al0Ef7_kY0VZ6HNYX-0bkXRa7B7vR21Lqm, https://lh5.googleusercontent.com/p/AF1QipMFpCIvafiZCWBTEPY_0CaNt6VK0NWt1kmeGxr-, ",16.06623,108.22129
DONALD TRUNG ĐÀ NẴNG _352 Hải Phòng,"352 Hải Phòng, Chính Gián, Thanh Khê, Đà Nẵng 550000, Việt Nam","4,9",542,Đà Nẵng,Nhà hàng Việt Nam,1-100.000 ₫,"Giao hàng gián tiếp, ","https://lh5.googleusercontent.com/p/AF1QipPLypsdpsKWNl-y_x7PsZx80xxcFrbtbUVqyS2S, https://lh5.googleusercontent.com/p/AF1QipPNUV-n3D4JVPxOmDmfbvihIpYDN2nnAemmZIyD, https://lh5.googleusercontent.com/p/AF1QipPFVWBOzGoB9Vr0pe8e4kULL-fcbZY8wwKJPxcp, https://lh5.googleusercontent.com/p/AF1QipOSNR1eIggpPql5wi-S1qQKulnlnbAf1zV3USDs, ",16.06795,108.20481
