name,address,score,reviews count,avg price,province,description images
Quán Cơm 63,63 Đường Lý Thường Kiệt,"4,1",436,100.000-200.000 ₫,Bạc Liêu,"https://lh5.googleusercontent.com/p/AF1QipNyy-Q4NIqqtRpMTLlMHLeLT9eBAL38wXrp8Yti, https://lh5.googleusercontent.com/p/AF1QipNoMb6jMZnywSth6mmPTRHZD-KjNbtHu5YuABU-, "
Nhà Hàng Em Nhỏ Bạc Liêu,022 Võ Thị Sáu,"4,1",153,None,Bạc Liêu,"https://lh5.googleusercontent.com/p/AF1QipO1-0YQEXFxKf8AxVFXAMnfY1m10RKjNUHHl6K9, https://lh5.googleusercontent.com/p/AF1QipNKRHoaV0uATTB9zt2uuZzmlI1-W-Rfc-Ud16yy, "
Bánh Xèo A Mật,Đường Giồng Nhãn,"4,0","1,8 N",100.000-200.000 ₫,Bạc Liêu,"https://lh5.googleusercontent.com/p/AF1QipPq4fit0KNG3U4t3j63kE0eBqpFJuhOeTY6M_MK, https://lh5.googleusercontent.com/p/AF1QipNWu3MX0sM0R9Mk_N9D_-9ArCd3zrBgCp3xRoEN, "
Nhà hàng Thuyền Trăng Quán,128 Võ Thị Sáu,"4,1",493,200.000-300.000 ₫,Bạc Liêu,"https://lh5.googleusercontent.com/p/AF1QipNXpBYVLAbjgve58KXAo75pzuiP1wQA42Uyz48n, https://lh5.googleusercontent.com/p/AF1QipNGfTgsJtl6KW0N_52RDP-z5dj9Ej3wnl2kvMWc, "
Quán 58 Bạc Liêu,187 Hoàng Diệu,"4,1",158,100.000-200.000 ₫,Bạc Liêu,"https://lh5.googleusercontent.com/p/AF1QipOvrNImALesHQKIhW1GCrrWBrHoP9jvU0Y_L4O-, https://lh5.googleusercontent.com/p/AF1QipPGJXA0tXitD3IDJayYSGwG5NYQtQQITdmmCTTJ, "
Bún xào nem nướng Băng Tâm (ngon),516 Võ Thị Sáu,"4,4",299,1-100.000 ₫,Bạc Liêu,"https://lh5.googleusercontent.com/p/AF1QipOLLi-9IyFy5yBcYNTAAKes09ufvpXJC6m5FRg9, https://lh5.googleusercontent.com/p/AF1QipPQuWi1WtenP7zNCD5rCW21HYlHOo_tkGWvZoSR, "
Đặc Sản Bạc Liêu,6PCQ+H33,"4,1",18,None,Bạc Liêu,"https://lh5.googleusercontent.com/p/AF1QipMDM28HohU8E3emATtQUV73X2RFNA7wbF1FO8bB, https://lh5.googleusercontent.com/p/AF1QipNxNsSv148_bU1T58Piz-R6i2Pa-ngJg-QyokG_, "
Quán Cơm Nga,420 Trần Phú,"4,1",52,1-100.000 ₫,Bạc Liêu,"https://lh5.googleusercontent.com/p/AF1QipNyEQ4n1QBcV20AwWfzSrVfgf2B1qP4ZEOtH6St, https://lh5.googleusercontent.com/p/AF1QipOwqVTMVi2pkmSF4hL4veoS_9ltYB8dEFuDdXnB, "
Bún Bò Cay Bạc Liêu ÁNH NGUYỆT,119 Cao Văn Lầu,"3,9",489,1-100.000 ₫,Bạc Liêu,"https://lh5.googleusercontent.com/p/AF1QipM7ghO2FlvVSvjguHpVBnherEAVNUri26GkDYVO, https://lh5.googleusercontent.com/p/AF1QipNNPfbOaFdGaOi9hXPyFcQgycgE6sO0bmcqXzdL, "
Ẩm thực sân vườn Ba Lúa,192 23 Tháng 8,"4,0",178,100.000-200.000 ₫,Bạc Liêu,"https://lh5.googleusercontent.com/p/AF1QipNAK6afChO-Ostd-PfZRw747oZioI0gcwGY7wC6, https://lh5.googleusercontent.com/p/AF1QipN6iTLQE36iF-7FsJk2-mmy5Bvi4xz8O56KCbb-, "
Nhà hàng Công tử Bạc Liêu,13 Điện Biên Phủ,"3,9",28,1-100.000 ₫,Bạc Liêu,"https://lh5.googleusercontent.com/p/AF1QipNHDs-FrRnVde6A_1OCtRdLkVVCsrQxaTdOTUtF, https://lh5.googleusercontent.com/p/AF1QipOJ7ejU7WH5oiXGmYg-sAbeyKqr803vy9fr9SPg, "
Cơm Chiên A Chen,55 Lê Lợi,"4,1",664,1-100.000 ₫,Bạc Liêu,"https://lh5.googleusercontent.com/p/AF1QipNVYew_XOcCA3YnLkoB_dQQJK7hqtFVsm3gt8c, https://lh5.googleusercontent.com/p/AF1QipNRTksRVoVMRcfQj30dqIBp05MPArhTNqF3Xo8G, "
Quán cơm Hiệp Thành,369 Cao Văn Lầu,"4,1",59,1-100.000 ₫,Bạc Liêu,"https://lh5.googleusercontent.com/p/AF1QipN8ULUWo6aM1iZTSU6lVIZ19N8YtKI4zPmYFAzP, https://lh5.googleusercontent.com/p/AF1QipPxJ74l_vhYE6LXuxt4ZtU1TbVj1z5EGZx4WiNS, "
Lạc dining - Nhà hàng Âu,152a/4 Nguyễn Đình Chiểu,"4,7",32,200.000-300.000 ₫,Bạc Liêu,"https://lh5.googleusercontent.com/p/AF1QipPVA2yocR-Z-zjRKtZFeU9mJ8N-mcgywdI0jiH-, https://lh5.googleusercontent.com/p/AF1QipOTqG12K9Fwh2meQsOjwwM4OkxIQvJnC1OBzS8S, "
Bún nước lèo Năm Hớn,649 Trần Phú,"4,0",229,1-100.000 ₫,Bạc Liêu,"https://lh5.googleusercontent.com/p/AF1QipPC03esd7D3OuIZWab6zhAln6gPnlk8G-9Bydph, https://lh5.googleusercontent.com/p/AF1QipPRZh7pJ99LOpjDYtYNrz03MYCKStSdJlKJUSfY, "
Quán cà phê Quảng Trường,7 Trần Huỳnh,"3,9",235,None,Bạc Liêu,"https://lh5.googleusercontent.com/p/AF1QipOc2NUPk4_SMqR-KEsv9OyVTnavW2yehDAPKpho, https://lh5.googleusercontent.com/p/AF1QipO_a_JSncTxGTC8BaGM-wCl7AubNqCFN4-tKHNc, "
Cơm Niêu Cậu Tân Xứ Bạc,475 Trần Phú,"4,5",92,1-100.000 ₫,Bạc Liêu,"https://lh5.googleusercontent.com/p/AF1QipOuub3_xQD8QxjaAYlvNwmpmyz6xqvV-WlR3_W2, https://lh5.googleusercontent.com/p/AF1QipMSg5iG6VrQySCTxL3F0SV6-LITFm01P68Z-jAN, "
Phở Hà Nội Thịnh Đạt,137/5 Đ. Võ Văn Kiệt,"4,0",155,1-200.000 ₫,Bạc Liêu,"https://lh5.googleusercontent.com/p/AF1QipOGxT7jdMSYWx2Kb2b2Pco_tsGjz6XV1SkldWqA, https://lh5.googleusercontent.com/p/AF1QipM_tzUS5sddxmXXwdDGjQ1bRqQRKa7RCARMKPjU, "
Quán Ăn Bò Kho Mai Anh,413 23 Tháng 8,"4,4",49,1-100.000 ₫,Bạc Liêu,"https://lh5.googleusercontent.com/p/AF1QipOYG2GY9GTqQjq5irWtYZE2Cd9F5Sj-uLdmplRH, https://lh5.googleusercontent.com/p/AF1QipM-Wrjlm-rzeejYharCk0B5GxZjK5HGAXL9dqUl, "
Lẩu Mắm Hồng Gấm 2,Ninh Bình,"4,1",441,100.000-200.000 ₫,Bạc Liêu,"https://lh5.googleusercontent.com/p/AF1QipNQcxwLYynskd6gaObhQ5DDiqr2n9E8Q7zYci-s, https://lh5.googleusercontent.com/p/AF1QipNwWlfwTolNl5MMtjQVUc1C8Rc2fcykh9nPiMcD, "
Ẩm Thực HTV99,7PXM+X5C,"4,0",200,100.000-200.000 ₫,Bạc Liêu,"https://lh5.googleusercontent.com/p/AF1QipOsFZwBJ1iouPDzh17_1OAorYLnLDxI8CEk6QM, https://lh5.googleusercontent.com/p/AF1QipMEfhVxRT6NFrVMWvSX53aRwrD84iiiacOEe60u, "
GoGi House Vincom Trần Phú Bạc Liêu,"L3-05, TTTM Vincom","4,6",51,200.000-300.000 ₫,Bạc Liêu,"https://lh5.googleusercontent.com/p/AF1QipPh04XkN8OoHcxKRHs0OmH79FIXbQU94bjQXSjj, https://lh5.googleusercontent.com/p/AF1QipO0O4eZLzV4AABhvs1-Nv1845V74nLIibGkH1H-, "
Quán Nhậu 3ku Beer Bạc Liêu Thơm Ngon Mời Bạn Ăn Nha,180/5 Đ. Võ Văn Kiệt,"4,5",78,100.000-200.000 ₫,Bạc Liêu,"https://lh5.googleusercontent.com/p/AF1QipN8JO_JNZ6DR2Xvt9Y_892YRxh4eub6iuAqJD2l, https://lh5.googleusercontent.com/p/AF1QipPVN5bGtPOoJwObeFS8DncxmlmtCkUMHBXLA4zQ, "
Quán Cơm- Phở Huỳnh Khoa,95 Trần Huỳnh,"4,8",15,None,Bạc Liêu,"https://lh5.googleusercontent.com/p/AF1QipNPREIZkTbJ9hQGmQBzlzB6h-TgnG5CnQVDjufp, https://lh5.googleusercontent.com/p/AF1QipNy0ZL0LHY7cMMcgH0TPM-1vvAMgezjxRy180nb, "
Ẩm thưc Phượng Vĩ,725 Ninh Bình,"4,4",93,100.000-200.000 ₫,Bạc Liêu,"https://lh5.googleusercontent.com/p/AF1QipMg6ZBIdRCfHF7nG2u2JT2kShY3eyNiF0_UeJw, https://lh5.googleusercontent.com/p/AF1QipP5W9bqxSWDyPvhG6LDuP6e9VFhT4K5lPhQ37cq, "
Quán cơm tấm Sườn Nướng-Gà Ta Nướng Tư Hạnh,300 Võ Thị Sáu,"4,2",93,1-100.000 ₫,Bạc Liêu,"https://lh5.googleusercontent.com/p/AF1QipOvAoQ6fBjJAycvIXv90I4s5uRg2FMuk05suGgu, https://lh5.googleusercontent.com/p/AF1QipNWWcehsY4fkkb8wUIzfILi-0XpEhmdGMcBD1Se, "
Quán ăn ở bạc liêu,45c Phan Đình Phùng,Chưa xét,0,None,Bạc Liêu,"https://lh5.googleusercontent.com/p/AF1QipPI6qhNZrNdaCFgMtuAo2_62qAebqF8Sfhl71ba, "
QUÁN ĂN 97 (97 Hot Beef Food - Bali City - Vietnam) - Cơm phần (box meals),Ấp cái tràm a1,"5,0",121,1-100.000 ₫,Bạc Liêu,"https://lh5.googleusercontent.com/p/AF1QipMeGJE1GiWyOEBFkWHP7i37tiI9oqf_Mc8z-4Ac, https://lh5.googleusercontent.com/p/AF1QipOfBEIqQcJ-vatsvi-w9AqrhhGvvOnwcvNTsIoi, "
Quán Sứ,"7PMF+55W, Điện Biên Phủ","4,0",145,1-100.000 ₫,Bạc Liêu,"https://lh5.googleusercontent.com/p/AF1QipOro6gRTv6xYp_bmCn3cmZGVrmKGUVnhb4DSHQC, https://lh5.googleusercontent.com/p/AF1QipOb1kTlXKNbKQsE1rRiMlvxhyrtJMlxmYUPcvWv, "
Ẩm Thực Bạc Liêu,"38B/4, Khóm 2","4,6",41,Trên 1.000.000 ₫,Bạc Liêu,"https://lh5.googleusercontent.com/p/AF1QipO2j0w2c16-4QCNqS2sAGNNQsLsj5LFEf_2rh7V, https://lh5.googleusercontent.com/p/AF1QipN-41sA8g2zeN38PS6CfUqjUo1QpOpvR0R4z346, "
Quán ăn Hương Mai,25 Trần Huỳnh,"3,7",59,None,Bạc Liêu,"https://lh5.googleusercontent.com/p/AF1QipMb8XUQScCVX1H_hAox1BoI3Pj9GloD5MASMsyx, https://lh5.googleusercontent.com/p/AF1QipNutkHZMy8VuQTp1sCE6INUqjWRRS56SlRjN4o, "
Tiệm nướng Khói Buffet,Nguyễn Đình Chiểu,"4,2",68,100.000-200.000 ₫,Bạc Liêu,"https://lh5.googleusercontent.com/p/AF1QipOuV3A9Mhgvdov5Dz1-WhRa86eeoqxvOkm8ZbIU, https://lh5.googleusercontent.com/p/AF1QipMAQFkroGDQTZ3FSsQradtquZAtHE46EiO8wqZ5, "
