name,address,score,reviews count,latitude,longitude,province,category,price,discount,services,description images
Khách sạn HAPPY HOME,"186b Nguyễn Tất Thành, Ea Kar, Đắk Lắk, Việt Nam","5,0",6,12.8120527,107.8763987,Đắk Lắk,Khách sạn,387.140 ₫,Không có giảm giá,"Wi-Fi miễn phí, Đỗ xe miễn phí, Có điều hòa nhiệt độ, Dịch vụ giặt ủi, Dịch vụ phòng, Bếp ở một số phòng, Không hút thuốc, ","https://lh5.googleusercontent.com/p/AF1QipPWIhp8WnDqkTqJj56K8Cu5s67W3QoVzK1444-T, https://lh5.googleusercontent.com/p/AF1QipMr04uXCNr4f3TL2qt-ZdXR9nxRtsshZyPcwKOz, https://lh5.googleusercontent.com/p/AF1QipP3FLi9Pf4zY3bw0lQT3HWb-KKepxVkfgi9nNY, https://lh5.googleusercontent.com/p/AF1QipOtzO2i9Cl8boNfj0BhlsnpivUz2qzO_HY2l1U, "
Khách sạn Sao Khuê 2,"28 Đường Lý Tự Trọng, Tân An, Buôn Ma Thuột, Đắk Lắk, Việt Nam","2,7",26,12.8120527,107.3820139,Đắk Lắk,Khách sạn,362.430 ₫,Ít hơn 27% so với bình thường,"Wi-Fi miễn phí, Đỗ xe miễn phí, Có điều hòa nhiệt độ, Dịch vụ giặt ủi, ","https://lh5.googleusercontent.com/p/AF1QipNaqfXAHZOh8u3xAth08CWAWr6yCzNnyccKbQjA, https://lh5.googleusercontent.com/p/AF1QipMV57ehT9u4R4E_K-renCsRuvsQ4gT0Mr8KTlAu, https://lh5.googleusercontent.com/p/AF1QipMPeUjJtlGG7PKUa42qW-d69Ehif09-5yw9rEpq, https://lh5.googleusercontent.com/p/AF1QipMWFC1IYhA62WSWAF5tRHqQSzyFq8iTau5uzXHK, "
Nhà Khách T284,"21 Mai Hắc Đế, Tân Thành, Buôn Ma Thuột, Đắk Lắk, Việt Nam","3,8",119,12.6707768,107.4623706,Đắk Lắk,Khách sạn 3 sao,460.000 ₫,Không có giảm giá,"Wi-Fi miễn phí, Đỗ xe miễn phí, Có điều hòa nhiệt độ, Dịch vụ giặt ủi, Nhà hàng, ","https://lh5.googleusercontent.com/p/AF1QipOhOQTdEM3LJF3_2O59XnFt-f_8Pnx17sYmLQtR, https://lh5.googleusercontent.com/p/AF1QipPMqVPm7VKiVxnj_sMZJ3EsfixKWUBsxAD9Ux81, https://lh5.googleusercontent.com/p/AF1QipNhsEJQPL0bNEV2rC7Q50KzPl8ReAHQZ9zX5IcH, https://lh5.googleusercontent.com/p/AF1QipP_22srUv4quaHGxMdJcUuY3khaaarQaHL64z7O, "
Khách sạn Phú Hải,"22 Lý Tự Trọng, Tân An, Buôn Ma Thuột, Đắk Lắk, Việt Nam","3,6",112,12.6942496,107.4812361,Đắk Lắk,Khách sạn 3 sao,329.999 ₫,Không có giảm giá,"Wi-Fi miễn phí, Đỗ xe miễn phí, Có điều hòa nhiệt độ, Dịch vụ giặt ủi, ","https://lh5.googleusercontent.com/p/AF1QipM9AtgVmErLcEOaqu7xELzM69hFTvp_EF4usUBf, https://lh5.googleusercontent.com/p/AF1QipP2tytWyW1rVk6hvO82P02KxOzFg8Wx-8PjNpEK, https://lh5.googleusercontent.com/p/AF1QipMp0L-82vz3R_5Yfv5P2qwtjH_XbE30IpOFUYoo, https://lh5.googleusercontent.com/p/AF1QipP381IZIW0O-JlWO2KAAK-c99W0r92hJnYVAr30, "
Lak View Hotel,"71b Y Jut, Liên Sơn, Lắk, Đắk Lắk, Việt Nam","4,6",200,12.4122745,107.5935366,Đắk Lắk,Khách sạn,359.181 ₫,Không có giảm giá,,"https://lh5.googleusercontent.com/p/AF1QipPIVtTDY3a3wWKFd9vvFYhwJJFAj6-FMt1k_-l5, https://lh5.googleusercontent.com/p/AF1QipO1-IjeJHxBHoLx-guHEA6xsoSvUJGN_DofIvhJ, https://lh5.googleusercontent.com/p/AF1QipPcTFU_KMA8qGSfODDD8u_Spw8NnxDFAmf4mXgg, https://lh5.googleusercontent.com/p/AF1QipP2nMID8CW3HUAZMTlcwfVmXdWX03rqq-s81d4W, "
Khách sạn Khang Hy,"162 Lý Chính Thắng, Tân An, Buôn Ma Thuột, Đắk Lắk 63000, Việt Nam","3,9",39,12.7020354,107.488765,Đắk Lắk,Khách sạn 2 sao,343.122 ₫,Ít hơn 21% so với bình thường,"Wi-Fi miễn phí, Đỗ xe miễn phí, Có điều hòa nhiệt độ, Dịch vụ giặt ủi, Bếp ở một số phòng, ","https://lh5.googleusercontent.com/p/AF1QipMut3Sn8xbDoqqZ8qKy4vt6WI_yyB5-2Y6KKaY0, https://lh5.googleusercontent.com/p/AF1QipPjSiagtLUVPniCDgKRiPVQ1V76KfRghAXAain7, https://lh5.googleusercontent.com/p/AF1QipNkbp2GEeE2nSnXjvyazYBHAfc1A0LK8ELy-Zft, https://lh5.googleusercontent.com/p/AF1QipNjqcaryh6kFB-ALihsZprGd4ronwRHFtiBKe9r, "
Khách sạn Metro Ban Mê Hotel,"136 Lý Chính Thắng, Tân An, Buôn Ma Thuột, Đắk Lắk, Việt Nam","4,0",31,12.7016356,107.488433,Đắk Lắk,Khách sạn,501.792 ₫,Không có giảm giá,"Wi-Fi miễn phí, Đỗ xe miễn phí, Có điều hòa nhiệt độ, Dịch vụ giặt ủi, Chấp nhận vật nuôi, ","https://lh5.googleusercontent.com/p/AF1QipOw8IdMLhooigCPBeQqYAOdTcmutgSyoWET2Bvi, https://lh5.googleusercontent.com/p/AF1QipMckdsn3qwVlWq3KuxnRE0aQp4nxLn0FI-Y2Qa2, https://lh5.googleusercontent.com/p/AF1QipOz3Ovq_y0t0I8a-KMQRhzyQkFmUq5HytrhcRpx, https://lh5.googleusercontent.com/p/AF1QipOLKxj7hnMcfLRwB1HZHM19jkXGssBQtwKNLRC9, "
Trung Nguyên Coffee Resort,"153 Đ. Lý Thái Tổ, Tân Lợi, Buôn Ma Thuột, Đắk Lắk, Việt Nam","3,9",344,12.7008591,107.4839285,Đắk Lắk,Khách sạn 3 sao,598.559 ₫,Không có giảm giá,"Wi-Fi miễn phí, Bữa sáng miễn phí, Đỗ xe miễn phí, Có điều hòa nhiệt độ, Dịch vụ giặt ủi, Dịch vụ phòng, Phù hợp với trẻ em, Nhà hàng, Xe đưa đón ra sân bay, ","https://lh5.googleusercontent.com/p/AF1QipNhnX9XJkTDNqRWzAEYdliYuDp0G-QlCY5RyOcX, https://lh5.googleusercontent.com/p/AF1QipMJ0QOPFarwPLT6VLyOLwOf1AE3fcDHz_D3D3z8, https://lh5.googleusercontent.com/p/AF1QipOrYDDtnyHX-guxfuCxkpI5CJDKWZ4SgxezAgGY, https://lh5.googleusercontent.com/p/AF1QipO4eEJ6KZU5fGx2eL83RLhu9UlIv14ZgtYi1tE2, "
AMACON (Amazing Container Hotel & Coffee),"101 Đ. Lý Thái Tổ, Tân An, Buôn Ma Thuột, Đắk Lắk 63000, Việt Nam","4,2",161,12.6989606,107.4825996,Đắk Lắk,Khách sạn,425.000 ₫,Không có giảm giá,"Wi-Fi miễn phí, Đỗ xe miễn phí, Bể bơi ngoài trời, Có điều hòa nhiệt độ, Dịch vụ giặt ủi, Phù hợp với trẻ em, Nhà hàng, Bếp ở một số phòng, ","https://lh5.googleusercontent.com/p/AF1QipOHDLXrmTKEio2Hd3jwjnUdSiEPJnWPqtgC8EPn, https://lh5.googleusercontent.com/p/AF1QipNEY6UnLuUKv-u9-fOmYYMhVdjoYOg34JlYMc7u, https://lh5.googleusercontent.com/p/AF1QipMDe8jTHHfeNgWGqA7iBWWW4AH9YoKy-p-Deinz, https://lh5.googleusercontent.com/p/AF1QipNKMwwmCB60CfsmKVYtgMy6_YBUed_WO01AXQTx, "
Attica Ban Me Hotel,"36 Đ. Trần Hưng Đạo, Tự An, Buôn Ma Thuột, Đắk Lắk 02623, Việt Nam","4,1",57,12.6824354,107.4745973,Đắk Lắk,Khách sạn,195.480 ₫,Không có giảm giá,,"https://lh5.googleusercontent.com/p/AF1QipM5e2BZnzN-RJsOTrGLlbvuO9pZssvbaS90bY5r, https://lh5.googleusercontent.com/p/AF1QipM7NP33w25nOaWIDav3FAfzdSuerp9xHTQUtV9V, https://lh5.googleusercontent.com/p/AF1QipNTO8lmx078yYo6CcPEjuKiL6UuUUUo7IVJ4C0V, https://lh5.googleusercontent.com/p/AF1QipPmG-erfpa_q77DFmw2-HXAR7e8tRPNlSB_7YwN, "
Khách sạn Hoa Lư 1,"06 Đường Ama Khê, Tân Lập, Buôn Ma Thuột, Đắk Lắk, Việt Nam","3,8",168,12.6872944,107.4800756,Đắk Lắk,Khách sạn,Không có giá,Không có giảm giá,"Wi-Fi miễn phí, Dịch vụ giặt ủi, ","https://lh5.googleusercontent.com/p/AF1QipMF__ejzZ1bMuaD69XXsnqSJD2iaVwgROBvFand, https://lh5.googleusercontent.com/p/AF1QipMs4k5rZ8izETseDckCO0I5-mKj2jEK4u6x2oxv, https://lh5.googleusercontent.com/p/AF1QipM5pn_5B0MLMJaMj_5aGbULjUrJK3lWi2orzLv8, https://lh5.googleusercontent.com/p/AF1QipOdL6LQtEbNIl9b7RV-uLfiROKZmitgY3Q0tvJo, "
Jun's Home,"Hẻm 171 Nguyễn Thái Bình, Hoà Thắng, Buôn Ma Thuột, Đắk Lắk, Việt Nam","4,5",177,12.6582466,107.5574427,Đắk Lắk,Khách sạn,727.716 ₫,Ít hơn 39% so với bình thường,,"https://lh5.googleusercontent.com/p/AF1QipPFm-jADhF8WNci7On-2WUCKtlB6IMUtn_vFvcN, https://lh5.googleusercontent.com/p/AF1QipMOM0yNTvgD-dI2winiQjevJbnOKLbBtXcNdSEN, https://lh5.googleusercontent.com/p/AF1QipMfgXcAZpo1ZnRtyRBwXC7rqBe2noeGRSd11HPH, https://lh5.googleusercontent.com/p/AF1QipOyyDWHkQ7mn9Id96LqmujM7xZIRRTf96vfwUWm, "
Khách Sạn Hoàng Gia,"116 Xô Viết Nghệ Tĩnh, Thống Nhất, Buôn Ma Thuột, Đắk Lắk, Việt Nam","3,6",72,12.6834934,107.4639802,Đắk Lắk,Khách sạn 3 sao,324.718 ₫,Không có giảm giá,"Wi-Fi miễn phí, Dịch vụ giặt ủi, ","https://lh5.googleusercontent.com/p/AF1QipNVVCqIIC81ZuSKS3z_McM5HK7rmupZaQ6HWnEB, https://lh5.googleusercontent.com/p/AF1QipM-ysgMa8IsC8hkY-XPcfBbCD_9bV-4XNbDGk0Z, https://lh5.googleusercontent.com/p/AF1QipOEsEVt26xgJEfqlIduOg4f79WeD6UtCIDB-MTY, https://lh5.googleusercontent.com/p/AF1QipMpZayg1l31goagpwBLb0IcIJOmL3nZ9wKkGmxq, "
TNN Garden,"Hoà Thắng, Buôn Ma Thuột, Đắk Lắk, Việt Nam","4,6",92,12.6577519,107.5544881,Đắk Lắk,Khách sạn,1.244.779 ₫,Không có giảm giá,"Wi-Fi miễn phí, Bữa sáng miễn phí, Đỗ xe miễn phí, Bể bơi, Có điều hòa nhiệt độ, Dịch vụ giặt ủi, Bếp ở một số phòng, ","https://lh5.googleusercontent.com/p/AF1QipNYzVO2-CECOL3iZG2Bhsmudk9f8HTFT24n40ru, https://lh5.googleusercontent.com/p/AF1QipNYTqg11uj5B44tOXul37M_Axh4Z7vk2FfIupiB, https://lh5.googleusercontent.com/p/AF1QipPDl-zKQgGnv5ldoAVw8k1V_QEZowNS5qycTfdo, https://lh5.googleusercontent.com/p/AF1QipMvxNGs7CFdn42GTt7viEc798m47yd_SiJL506c, "
Zan HomeStay,"37 Hồ Giáo, Thành Nhất, Buôn Ma Thuột, Đắk Lắk, Việt Nam","4,2",186,12.6773125,107.4493286,Đắk Lắk,Khách sạn,450.000 ₫,Không có giảm giá,"Wi-Fi miễn phí, Đỗ xe miễn phí, Có điều hòa nhiệt độ, Dịch vụ giặt ủi, Chấp nhận vật nuôi, Phù hợp với trẻ em, Bếp ở một số phòng, Xe đưa đón ra sân bay, ","https://lh5.googleusercontent.com/p/AF1QipPBZdo7QfLc71MVbHCHqCw9n1_jhspvS6Qy2E9S, https://lh5.googleusercontent.com/p/AF1QipPE2eEmRc1rla4F1OKxu8TkgrG1DKIKdRYvKPdw, https://lh5.googleusercontent.com/p/AF1QipMw6J5bmp4U3QJg6z987yeQ2BoGshUqCzu8s0gS, https://lh5.googleusercontent.com/p/AF1QipMJLNWJJP_k-5T0P56AjXsz7A1hw-s6FXzBhLgg, "
Khách sạn Mạnh Hùng,"48 Trần Huy Liệu, Tân Thành, Buôn Ma Thuột, Đắk Lắk, Việt Nam","4,0",48,12.6666908,107.4590043,Đắk Lắk,Khách sạn,269.100 ₫,Không có giảm giá,"Wi-Fi miễn phí, Đỗ xe miễn phí, Có điều hòa nhiệt độ, Dịch vụ giặt ủi, ","https://lh5.googleusercontent.com/p/AF1QipMNA-sSiydwY0XLKRwvbDwUPKfXJmj9WYV1GOnZ, https://lh5.googleusercontent.com/p/AF1QipNsxFg9uu2sDgvvTjTZgyTUfXyZsPJUNFIfj-hL, https://lh5.googleusercontent.com/p/AF1QipMe-hSpjDqvZEh6KsmtGdTo9w4aLmOhL2HXhQPJ, https://lh5.googleusercontent.com/p/AF1QipO0Taiju-kX_f2enr6c79BwgXhlKaGr4BS7VAE5, "
T Home BMT,"96 Ngô Văn Năm, Tân Lợi, Buôn Ma Thuột, Đắk Lắk 63000, Việt Nam","5,0",4,12.6988944,107.481486,Đắk Lắk,Khách sạn,395.729 ₫,Không có giảm giá,,"https://lh5.googleusercontent.com/p/AF1QipNJO535UaEo2eP7Tt8jm90jOaDT-1vEDfMwpMTW, https://lh5.googleusercontent.com/p/AF1QipOQdQ3G2RxHBULjERj1f_4yKPHWs2h3KFa98p1p, https://lh5.googleusercontent.com/p/AF1QipNZLaSNjQ2ltCpRe4Id7QOU55_V03P_zKhJlcry, https://lh5.googleusercontent.com/p/AF1QipMZGu-8LDUeXD1cyrmduWz8SewHOQYR-GvfOPfN, "
Khách Sạn Thiên Phong,"211 Hà Huy Tập, Tân Lợi, Buôn Ma Thuột, Đắk Lắk, Việt Nam","4,0",44,12.7044088,107.4866054,Đắk Lắk,Khách sạn 1 sao,300.000 ₫,Không có giảm giá,"Wi-Fi miễn phí, Đỗ xe miễn phí, Có điều hòa nhiệt độ, Dịch vụ giặt ủi, Xe đưa đón ra sân bay, ","https://lh5.googleusercontent.com/p/AF1QipNkyzu-kYRZ5uGNHFcCFnG_9BNH3CgnO3JxbMRC, https://lh5.googleusercontent.com/p/AF1QipNBd6feATZrVXuItHOAaj4KKb4-GNza0vb2R5Fh, https://lh5.googleusercontent.com/p/AF1QipPT2Lm3_12kZtTijUYTy3XebNsudhzpDegYqHH_, https://lh5.googleusercontent.com/p/AF1QipNInTus8iyKuq3TCTlpWnPH87KfHOkBTAK8yMz9, "
Cọ Homestay,"18/74 Giải Phóng, Tân Lợi, Buôn Ma Thuột, Đắk Lắk 63000, Việt Nam","4,9",66,12.708681,107.4849264,Đắk Lắk,Khách sạn,497.648 ₫,Không có giảm giá,"Wi-Fi miễn phí, Đỗ xe mất phí, Có điều hòa nhiệt độ, Dịch vụ giặt ủi, Dịch vụ phòng, Bếp ở một số phòng, Không hút thuốc, ","https://lh5.googleusercontent.com/p/AF1QipNM-Jbv0ZeBYG7rdBM3jJInsqGC5FXTtrtIg_3F, https://lh5.googleusercontent.com/p/AF1QipNYvsP6nFjjvKMNm7iKpCiuV8BJHLZSS3FnDwLT, https://lh5.googleusercontent.com/p/AF1QipPFNu6G1LcGrMtJfhM7l36X6OgWXDZZC8pbRWdv, https://lh5.googleusercontent.com/p/AF1QipPwgIXC3dIB6pZ13kBjlaSJXSIBtix-ObNT6m2x, "
Bob Hotel 3,"323 Lý Thường Kiệt, Thắng Lợi, Buôn Ma Thuột, Đắk Lắk 630000, Việt Nam","5,0",16,12.6883404,107.4665858,Đắk Lắk,Khách sạn,259.783 ₫,Không có giảm giá,"Wi-Fi miễn phí, Đỗ xe miễn phí, Phù hợp cho người khuyết tật, Có điều hòa nhiệt độ, Chấp nhận vật nuôi, Bếp ở một số phòng, ","https://lh5.googleusercontent.com/p/AF1QipPsUMsQKfINK5vZYPXe-oc6vjplqOzhgFBK9zDj, https://lh5.googleusercontent.com/p/AF1QipOnpBGagWNgQupfP8OYQ78TzaymcT95RukHsDIG, https://lh5.googleusercontent.com/p/AF1QipOnawsoIVmZby2-SZ6iSbVQRxX99x0abj-DJjuC, https://lh5.googleusercontent.com/p/AF1QipMgPR7LDVqDLvPjRLe00bAlde1QbO4dFnLFnKXW, "
"Lăk Village Hotell.70 y jút, thị trấn Liên Sơn, huyện Lăk, Đăk Lăk","70 Y Jut, Liên Sơn, Lắk, Đắk Lắk 630000, Việt Nam","4,8",51,12.4136566,107.5929355,Đắk Lắk,Khách sạn,430.000 ₫,Không có giảm giá,,"https://lh5.googleusercontent.com/p/AF1QipOE-dht3vAhLrfuPK1EuehEWQT2yIPV-pGREsKz, https://lh5.googleusercontent.com/p/AF1QipPE0Nk1mP0WGaAyThCTllD6ujjF7JyahoGFWvcm, https://lh5.googleusercontent.com/p/AF1QipOGy-7In_CtzaU4yzFVqB97LnLXiMX4rfNC_wMZ, https://lh5.googleusercontent.com/p/AF1QipPKZ1JapqZIK8pxSJUDbBObtWOfbqVzVxou2C7d, "
