name,score,category,price,address,province,review count,description images
Bảo tàng Tỉnh Hải Dương,4.1,Bảo tàng,Không có giá,"Số 11 Hồng Quang, P. Nguyễn Trãi, Hải Dương",Hải Dương,140,"https://lh3.googleusercontent.com/p/AF1QipPg67Q9VF7fpeHV9C8U6Bb3Bu9loExTwL-GAyRk, https://lh3.googleusercontent.com/p/AF1QipO_RZeR_Bd9tno1zkuHTShRIhKsHgg_C1v9gU5g, "
Hồ Bạch Đằng,4.5,Hồ,Không có giá,Hải Dương,Hải Dương,169,"https://lh3.googleusercontent.com/p/AF1QipPg67Q9VF7fpeHV9C8U6Bb3Bu9loExTwL-GAyRk, https://lh3.googleusercontent.com/p/AF1QipO_RZeR_Bd9tno1zkuHTShRIhKsHgg_C1v9gU5g, "
Đền Kiếp Bạc,4.6,Đền thờ đạo Lão,Không có giá,"582J+M3M, Côn Sơn-Kiếp Bạc, Hưng Đạo, Chí Linh, Hải Dương 170000",Hải Dương,2.151,"https://lh3.googleusercontent.com/p/AF1QipO3QnQ7epBRPRasm9YcN4-85RbOEIlPlNQ99fWS, https://lh3.googleusercontent.com/p/AF1QipM3ncFeUWSKnT8aFUFU-f89bO0BfBYa1PBvIitw, "
Phường Rối Nước Xã Thanh Hải,4.6,Nhà hát nghệ thuật biểu diễn,Không có giá,"VCQ2+3JW, Thanh Hả, Thanh Hà, Hải Dương",Hải Dương,138,"https://lh3.googleusercontent.com/p/AF1QipN-XWjnmvXzd2Hs7xLUzN2Tym13khfpkJaYzKAa, https://lh3.googleusercontent.com/p/AF1QipOvHWaTJqY3Ksd8n0XBJPtidkogL3PbLfqla_nN, "
Chùa Côn Sơn,4.7,Chùa phật giáo,Không có giá,"592J+7Q4, Cộng Hoà, Chí Linh, Hải Dương 174251",Hải Dương,388,"https://lh3.googleusercontent.com/p/AF1QipONUMT_ffoI4gWJWvbD80GjG5vMzVFSMHC65Hei, https://lh3.googleusercontent.com/p/AF1QipPRKPHNkKDfVJJhQEDOMD-vFzUFJtAD3MLTFU_y, "
Văn Miếu Mao Điền,4.6,Đền thờ đạo Lão,Không có giá,"W5PP+3FX, QL5, Cẩm Điền, Cẩm Giàng, Hải Dương",Hải Dương,536,"https://lh3.googleusercontent.com/p/AF1QipNnqvnY80LhELBSsUx6SYdz3GKkTaaoNeq82WVF, https://lh3.googleusercontent.com/p/AF1QipOJ0bWKgypVbciP-bMRhUvUCEkzfWEHeUuGPKWG, "
Đền Cao An Phụ,4.6,Thắng cảnh,Không có giá,"2F7V+H32, An Sinh, Kinh Môn, Hải Dương",Hải Dương,426,"https://lh3.googleusercontent.com/p/AF1QipNySQ2jG04Zg9Ydw0CKQO9Rnul_OFyIJ9bX0OtJ, https://lh3.googleusercontent.com/p/AF1QipOxYyShkyGT0WBqym7qs6UXESfgkWZ5txI2YEz4, "
Đảo Cò Chi Lăng Nam,4.1,Điểm thu hút khách du lịch,Không có giá,"P67H+C5V, Chi Lăng, Chi Lăng Nam, Thanh Miện, Hải Dương",Hải Dương,1.096,"https://lh3.googleusercontent.com/p/AF1QipPlqvWUL14_OD4cLCsEKZNrL3HEkvPDOiBgtAfO, https://lh3.googleusercontent.com/p/AF1QipMcHB30_NjJPJp24P_ANFRIZPeiTLZZr4EXOpo0, "
Chùa Thanh Mai,4.6,Chùa phật giáo,Không có giá,"6F97+284, Hoàng Hoa Thám, Chí Linh, Hải Dương",Hải Dương,251,"https://lh3.googleusercontent.com/p/AF1QipMWZ0nNUGvoiMMV7zYwzxyXJGOW_qesrdiIv2SM, https://lh3.googleusercontent.com/p/AF1QipNd_mNBT6AgVfMTA1eMO-f_32a3UIXtfvMMfaYa, "
Động Kính Chủ,4.4,Hang động,Không có giá,"Kinh Môn, Hải Dương",Hải Dương,38,"https://lh3.googleusercontent.com/p/AF1QipNcQ_uj8IpFfHy1cT5-GJ5H4dboHPhgGvETjJN_, https://lh3.googleusercontent.com/p/AF1QipMr4qXTt_LU9xPkuAHdCRQwCccoq5pdIwVnA4Q4, "
Đền thờ Chu Văn An,4.6,Nơi thờ cúng,Không có giá,"788 Đ. Kim Giang, Thanh Liệt, Thanh Trì, Hà Nội",Hải Dương,76,"https://lh3.googleusercontent.com/p/AF1QipPbpz7AnJtfZTLgsNVKM2ypdYt2BctzAiaDk_y6, https://lh3.googleusercontent.com/p/AF1QipOdZ1CKIhezWF93Zpq-SSqdf5qKnBssUUxUn93v, "
Công Viên Bạch Đằng,Chưa xét,Khu đất khép kín,Không có giá,"Đoàn Kết, P. Quang Trung, Hải Dương",Hải Dương,không có đánh giá,"https://lh3.googleusercontent.com/p/AF1QipNj4P8LS__oi0eI9u1GxInPnWpODcLHsaIXH2lQ, https://lh3.googleusercontent.com/p/AF1QipOJ4u1HPxbGFatLAjwmDZ0NyQXMZdcfuExONyQi, "
