name,address,score,reviews count,latitude,longitude,province,category,price,services,description images
Nhà Hàng Cua Đỏ,"Châu Xuyên, Phường Lê Lợi, Bắc Giang, Việt Nam","4,5",250,21.2675797,106.1567251,Bắc Giang,Nhà hàng,Không có giá,"Ăn tại chỗ, Mua hàng ngay trên xe, Giao hàng gián tiếp, ","https://lh5.googleusercontent.com/p/AF1QipMXgmvQtprsGjtTy0xZ1sSofu7IuH3o7Zzgobc8, https://lh5.googleusercontent.com/p/AF1QipMrKxiIDB1WLDFRJ348ZIoR_bHb1glaYegqzyjl, https://lh5.googleusercontent.com/p/AF1QipPNvDviW8C0mI37-4U9Ju_WcS1kXUrUzwRDJZ3R, https://lh5.googleusercontent.com/p/AF1QipOlvuRsStpSXAZ-apP59rtZWDejhNbqUxTGOPOh, "
Nhà Hàng Hải Sản Ghẹ Xanh Bắc Giang,"3 Hùng Vương 1, Phường Lê Lợi, Bắc Giang, Việt Nam","4,5",110,21.2675573,106.1674776,Bắc Giang,Nhà hàng hải sản,Không có giá,"Ăn tại chỗ, Đồ ăn mang đi, Giao hàng gián tiếp, ","https://lh5.googleusercontent.com/p/AF1QipPtBJoaB2FQlq_0W3eT-SX1l0g2yC3UslM6CDkK, https://lh5.googleusercontent.com/p/AF1QipPGl4cw_xLcDOjuDZj6ralNzXS6WTYdR8L8n77Y, https://lh5.googleusercontent.com/p/AF1QipPXPF9KDqBHMwj7zlve9BWISRSR3nXMNUrZZ0Zm, https://lh5.googleusercontent.com/p/AF1QipPjPmQA9OPj1CFX3llS4nIkjO5S86PF6hFoNP9_, "
BosSam BBQ- 186 Nguyễn Thị Lưu TP.Bắc Giang,"186 Nguyễn Thị Lưu, Phường Ngô Quyền, Bắc Giang, 230000, Việt Nam","4,9",27,21.2820511,106.1650178,Bắc Giang,Nhà hàng,200-300 N ₫,"Ăn tại chỗ, Đồ ăn mang đi, Giao hàng, ","https://lh5.googleusercontent.com/p/AF1QipNGzw5u61dspbOjTcBRNYWgPlPNy0n-V_f_y21p, https://lh5.googleusercontent.com/p/AF1QipNSyHZnLQEhKTgQBwLwUVQaZeq6CkA2qk7b_lDk, https://lh5.googleusercontent.com/p/AF1QipPe1ne7h7xa1X5Il6Mpyt4LaDjDNfw0glLhf1N2, https://lh5.googleusercontent.com/p/AF1QipMVwLNao4Teyk7lW7PRB1Sp2MWwx2yGfdBOr7GA, "
Bảo Nam restaurant,"101 Vương Văn Trà, Phường Thọ Xương, Bắc Giang, Việt Nam","4,4",99,21.2845621,106.1518337,Bắc Giang,Nhà hàng châu Á,Không có giá,"Ăn tại chỗ, Đồ ăn mang đi, Giao hàng, ","https://lh5.googleusercontent.com/p/AF1QipPveQPVVvuuWdeaXFO3-m_BMGP0Z26EiM5iUOZ-, https://lh5.googleusercontent.com/p/AF1QipOESLCpxe3Pa_X_RbLJChXjJPRjtz-jX7m9_Czd, https://lh5.googleusercontent.com/p/AF1QipOE72j6hby89P71Yte81lrsFELG55V0PB2D6h-0, https://lh5.googleusercontent.com/p/AF1QipPo-LbBigbdAXaN-dJXib3tl-QGr20m17yEO5zK, "
NHÀ HÀNG RÙA VÀNG BẮC GIANG,"3 Hùng Vương 1, Phường Lê Lợi, Bắc Giang, Việt Nam","4,1",708,21.2666967,106.1665152,Bắc Giang,Nhà hàng,200-300 N ₫,"Ăn tại chỗ, Mua hàng ngay trên xe, Giao hàng gián tiếp, ","https://lh5.googleusercontent.com/p/AF1QipMZYqrVLG5CW7jBWYE2CVx7CRrClmME7GyDxL8b, https://lh5.googleusercontent.com/p/AF1QipPZfo_QQv_ID9dSzbNRpB0pbwR1OwKW4G4iReOi, https://lh5.googleusercontent.com/p/AF1QipMw4fRT49kyaufiWkFzsjD9c6mtuSuhkx-mkyXe, https://lh5.googleusercontent.com/p/AF1QipMQ05rmJAq73Ts1vBCn055J4aIAdw6lJAGSpUmv, "
Phở Yên (Bắc Giang),"759V+R5F, Đồng Cửa, Phường Lê Lợi, Bắc Giang, Việt Nam","4,7",30,21.2695835,106.1568542,Bắc Giang,Nhà hàng phở,Không có giá,"Ăn tại chỗ, Đồ ăn mang đi, ","https://lh5.googleusercontent.com/p/AF1QipOSikTixohh2GjwTtyyVqFtC6qteYOvq1ZHhjKR, https://lh5.googleusercontent.com/p/AF1QipMrtPs3efu1-KlFdAjuQH0wLh8PdNWPV_sUbYsD, https://lh5.googleusercontent.com/p/AF1QipNOL5BY2sTqaPhpZSLHIHewAaFO6t2kt0q_JLqL, https://lh5.googleusercontent.com/p/AF1QipOAyjbZ9KplcoBVGsuOrBd9nehng1Qg4yA7B4J-, "
Ok Mokchang Bắc Giang,"344 Nguyễn Thị Lưu, Phường Ngô Quyền, Bắc Giang, 230000, Việt Nam","4,0",42,21.2839494,106.1677695,Bắc Giang,Nhà hàng,Không có giá,"Ăn tại chỗ, Đồ ăn mang đi, Giao hàng, ","https://lh5.googleusercontent.com/p/AF1QipN-2HJlwjGEwjvrIf3wXrQU1ygk_Ibp22282DQa, https://lh5.googleusercontent.com/p/AF1QipNc0fxt82AouYXrQl7Sg2cAF2pcnsMu639F0h_8, https://lh5.googleusercontent.com/p/AF1QipPfld7HvEVQ_vpJvRRJh4eh8FXXhaBthCtdHPm_, https://lh5.googleusercontent.com/p/AF1QipMerJyqecYvt62N-m7ADI0J7DkwFMd4DJcQ29F4, "
Nhà Hàng Paris Restaurant,"Số 24, ngõ, 50, đường Nguyễn Thị Lưu, Phường Ngô Quyền, Bắc Giang, Việt Nam","4,2",150,21.2790819,106.1592392,Bắc Giang,Nhà hàng,Không có giá,"Ăn tại chỗ, Đồ ăn mang đi, Giao hàng, ","https://lh5.googleusercontent.com/p/AF1QipOUToYYJQqvG6viC2j5MUEP0NIpE7gw9QrTxk0m, https://lh5.googleusercontent.com/p/AF1QipMCO0v7cTaRsR_JvLyhbbVbWel77vVN94MdPbn3, https://lh5.googleusercontent.com/p/AF1QipN-dXjv5E9H6ibXipVfllU-o-rfKyW5fMuX_YN5, https://lh5.googleusercontent.com/p/AF1QipMXCCmXN_e108zLXdZYoiTEgu1ixWI9DCdGPBr2, "
Long Wang - Lẩu Hấp Thủy Nhiệt Hồng Kông - Vincom Bắc Giang,"43 Ngô Gia Tự, Phường Trần Phú, Bắc Giang, 230000, Việt Nam","4,8",38,21.2770773,106.1558905,Bắc Giang,Nhà hàng,300-400 N ₫,"Ăn tại chỗ, Mua hàng ngay trên xe, Giao hàng gián tiếp, ","https://lh5.googleusercontent.com/p/AF1QipOFqktVAkqd6s4BXGR7aju-mBkDWEK4WNLLimg1, https://lh5.googleusercontent.com/p/AF1QipPUTZytCIvq0LbAT-DXKNSTBEc0cGOsUnnQynIO, https://lh5.googleusercontent.com/p/AF1QipMA52DucY9g84Y4vuQ4SgMg4BlyYvY2yW7ARjl9, https://lh5.googleusercontent.com/p/AF1QipOUJbz21ebFrTggh_5-4Zk2HjVPVo6hTG9SP-It, "
MM Food Bắc Giang Premium,"387 Lê Lợi, Phường Hoàng Văn Thụ, Bắc Giang, 26119, Việt Nam","4,5",19,21.2762781,106.1691797,Bắc Giang,Nhà hàng,1-100.000 ₫,"Ăn tại chỗ, Mua hàng ngay trên xe, Giao hàng gián tiếp, ","https://lh5.googleusercontent.com/p/AF1QipPj4nSlsLrB6z2D8a2bXZ_i93BMGHeCXV8QkF0o, https://lh5.googleusercontent.com/p/AF1QipPw5odSUkm33W5R3L_C9ZQhvWxx_YDkHMD3LMUT, https://lh5.googleusercontent.com/p/AF1QipMy9a4T6H8HgoDqYEUJ1LLi4Ne-IWsbgSpg9-g, https://lh5.googleusercontent.com/p/AF1QipNZiUBUXoicbEc-XlllmrVOxVZG5yOb_Tj7vBzG, "
Nhà Hàng Anh Đào,"285 Nguyễn Thị Lưu, Phường Ngô Quyền, Bắc Giang, Việt Nam","4,2",95,21.2835622,106.1668547,Bắc Giang,Nhà hàng,₫₫,"Ăn tại chỗ, Đồ ăn mang đi, Giao hàng gián tiếp, ","https://lh5.googleusercontent.com/p/AF1QipNc0G0-89rZRT8TFEavkHj_sgjPDBp15kKbWONT, https://lh5.googleusercontent.com/p/AF1QipP0GO54gxkpsLVekjkj0SHT0yi5zlL6o7oj3ejo, https://lh5.googleusercontent.com/p/AF1QipMbm9Tu61DSSZnEc-Gu4LDBlumdBgj9og4skRjx, "
Nhà hàng Phố Núi Bắc Giang,"1158 Hoàng Hoa Thám, Song Mai, Bắc Giang, 230000, Việt Nam","4,4",57,21.3073709,106.1274126,Bắc Giang,Nhà hàng,100-200 N ₫,"Ăn tại chỗ, Đồ ăn mang đi, Giao hàng, ","https://lh5.googleusercontent.com/p/AF1QipOLQvWUya0sj4w65pzzwQCGsIujJSK7Ue_ymR5k, https://lh5.googleusercontent.com/p/AF1QipMk29zxXA5ne4W8631l-3hTE2fYBnbJ3D1e7DfD, https://lh5.googleusercontent.com/p/AF1QipMqTWd3ZN9JW6nYrVgTOkJDctu2LievZe-a7nXX, "
Nhà hàng nổi Hải Đăng,"Hồ Thùng Đấu, Nguyễn Công Hãng, Phường, Bắc Giang, Việt Nam","3,9",349,21.2800008,106.1532484,Bắc Giang,Nhà hàng châu Á,200-300 N ₫,"Ăn tại chỗ, Đồ ăn mang đi, Giao hàng gián tiếp, ","https://lh5.googleusercontent.com/p/AF1QipPlgM0COC0aP0vaQw70JGzw8G5xBMz_ZaJSXjwt, https://lh5.googleusercontent.com/p/AF1QipOKAlohG742qAC70bq85W7RU4mGPWkw6Cn9RACg, https://lh5.googleusercontent.com/p/AF1QipNw1vPXgaCqQ08hZcLGMS5ba-GguCwliPHgIQWE, https://lh5.googleusercontent.com/p/AF1QipMh5gILQ22G-qdcZh7XUokdddhNo9wff6Ist3X9, "
Nhà hàng Gà Judo,"35 Thân Cảnh Văn, Phường Ngô Quyền, Bắc Giang, 220000, Việt Nam","4,1",66,21.2808036,106.1695046,Bắc Giang,Nhà hàng,100-200 N ₫,"Ăn tại chỗ, Đồ ăn mang đi, Giao hàng, ","https://lh5.googleusercontent.com/p/AF1QipN6u2c-x5X_aqIraL2hoHXYs9uSNcx4xpnJEmxR, https://lh5.googleusercontent.com/p/AF1QipPCr_Icv_GF6_99mytETZGXluJqSGx8ipBk5e2R, https://lh5.googleusercontent.com/p/AF1QipOQ3WcCyGhtRi-kFoU13a8IBoFC6gsrkafePSNg, https://lh5.googleusercontent.com/p/AF1QipM2shrXkp9W7BtjXmOUb-c26TZdm2ZmsKc9KRpc, "
Quán Cơm Nương,"63 Đ.Ngô Văn Cảnh, Phường Hoàng Văn Thụ, Bắc Giang, Việt Nam","4,0",85,21.2754597,106.168006,Bắc Giang,Nhà hàng,1-100.000 ₫,"Ăn tại chỗ, Đồ ăn mang đi, Giao hàng, ","https://lh5.googleusercontent.com/p/AF1QipNRgLz3zEoE84M6QjCs5u6AbEFnL51k0mavGHcQ, https://lh5.googleusercontent.com/p/AF1QipOp5tPGJpVydrKGi6oxti3dH7ZLI4W_Q8ETcGrj, https://lh5.googleusercontent.com/p/AF1QipN6VcBXc1uwRQp2wMTbQ2M3Vwekxmw4GddMuq8N, https://lh5.googleusercontent.com/p/AF1QipNIo4HmsIkDDLOgR_hoQ9CLmz0_wrglnY5zurln, "
Quán Cuốn,"72 Nguyễn Đình Tuân, Phường Hoàng Văn Thụ, Bắc Giang, Việt Nam","4,1",72,21.2787904,106.1690528,Bắc Giang,Quán ăn nhỏ,1-100.000 ₫,"Ăn tại chỗ, Đồ ăn mang đi, Giao hàng, ","https://lh5.googleusercontent.com/p/AF1QipOktfN788XUx6jjrJ941Idv3SG4eEFIE_n4nD48, https://lh5.googleusercontent.com/p/AF1QipMqn4SlZCc26Kpy6N45EjtO5R_-qjPNybGtEBxD, https://lh5.googleusercontent.com/p/AF1QipOdd_Dl3yaKnsuk4b13VZDlAs7gQNaQwi9JeAe0, https://lh5.googleusercontent.com/p/AF1QipMnPcYKOECaj7SSLhowTWZZQjq62gLHll6JWdaW, "
