name,address,score,reviews count,avg price,province,description images
Quán Cơm Quế Phát,22A Trần Nhật Duật,"4,2","1,6 N",1-100.000 ₫,An Giang,"https://lh5.googleusercontent.com/p/AF1QipNP5jHkjW1JXj1lSuNFO6LVozfx9B1Fc1YSEPCz, https://lh5.googleusercontent.com/p/AF1QipNEom8fwxps4ENfTyABcm0SW8bz2mTZoMm59hQj, "
Lẩu trâu Kiều Thu,122 Đ. Phó Đức Chính,"4,2","1,1 N",100.000-200.000 ₫,An Giang,"https://lh5.googleusercontent.com/p/AF1QipMZyOc0EjxtSwZESGRm9QyHuiGNeIuSxSnH7tlR, https://lh5.googleusercontent.com/p/AF1QipO8wg73Q0MgD93LlF1eCe7v9XZzrB2OOPT3jkxX, "
Cơm tấm Cây Điệp,67 Lý Tự Trọng,"4,1",653,1-100.000 ₫,An Giang,"https://lh5.googleusercontent.com/p/AF1QipNIdracVg7qktFuLp4EXCMPO3U29PCrVMbYY0mz, https://lh5.googleusercontent.com/p/AF1QipMFRE6pb4IlpiL14HTi_dBG3R09u7HOBqR8vZhc, "
Đu đủ đâm RINA,An Giang,"4,4",562,1-100.000 ₫,An Giang,"https://lh5.googleusercontent.com/p/AF1QipO1zrUbfWUwZX5MPOwlYTlHuagafP5xQxSaTZIQ, https://lh5.googleusercontent.com/p/AF1QipMINmKFK0nWbw7yx9h894p0_LTvZ8s_HOBBoEs0, "
Nhà hàng Thắng Lợi 1,Số 01 Đ. Lê Hồng Phong,"3,8",958,None,An Giang,"https://lh5.googleusercontent.com/p/AF1QipOAaKSuOYw2IDVoxbFnFUlLpfkxuegDUMSek-CB, https://lh5.googleusercontent.com/p/AF1QipOY2XilYgkDxbrfKJtAQ_4rzNAvjSuJ1KFXievO, "
Lẩu mắm Hiếu Miênn,5D Lê Lai,"4,4",410,100.000-200.000 ₫,An Giang,"https://lh5.googleusercontent.com/p/AF1QipMrRTP4gbbdIMzt5mu573fshC4AB5mT91kX6mQ, https://lh5.googleusercontent.com/p/AF1QipPGg0yPvxMsJkBS6MAQhvNJS2BppOezRhOGt26R, "
Nhà hàng Khoa Trí,12 F1 Lạc Long Quân,"4,1",565,1-200.000 ₫,An Giang,"https://lh5.googleusercontent.com/p/AF1QipO_inPR5RuhiKSqEU1q2sNbv9PoRWRVUiMCP2tI, https://lh5.googleusercontent.com/p/AF1QipOp9rkgwPHKhUxwPMFIFnYwQMW5UI5YEmCZIshh, "
Quán Làng Tôi,32 Trần Nhật Duật,"4,1",314,300.000-400.000 ₫,An Giang,"https://lh5.googleusercontent.com/p/AF1QipOumBaifQ-ScNXOJ6UgIIvwg2FtY45SwHtDRF7r, https://lh5.googleusercontent.com/p/AF1QipMZGfUK-aB7kRrY8Ynh3Bbi0oJP0Ex30wdCH_JP, "
Cơm tấm Hướng Dương - Long Xuyên,20-22-24 Phan Đình Phùng,"3,7",594,1-100.000 ₫,An Giang,"https://lh5.googleusercontent.com/p/AF1QipPGVB_6WOgSD25YxDcbZ7zHW4KZ7Z-6rNeYvNLq, https://lh5.googleusercontent.com/p/AF1QipO9HuuIdHiz5GYSlXO-ectrp0Ru3AgLc5S8orOn, "
Quán Bò Tư Thiêng,654 Tổ 6,"4,0",147,100.000-200.000 ₫,An Giang,"https://lh5.googleusercontent.com/p/AF1QipOqk29ByMHJd9I1mUap1YZXHq9JN-zaYp2ea1EG, https://lh5.googleusercontent.com/p/AF1QipP0opM0j-gEo1OezEMQ6opS-ROpYQB38OIxFD0m, "
