name,address,score,reviews count,latitude,longitude,province,category,price,services,description images
Quán Cơm 63,"63 Đường Lý Thường Kiệt, Phường 3, Bạc Liêu, Việt Nam","4,1",437,9.2890556,105.6532433,Bạc Liêu,Nhà hàng,100-200 N ₫,"Ăn tại chỗ, Đồ ăn mang đi, ","https://lh5.googleusercontent.com/p/AF1QipNoMb6jMZnywSth6mmPTRHZD-KjNbtHu5YuABU-, https://lh5.googleusercontent.com/p/AF1QipOF_Rq-qWeioe98lmgCXDejrwSieFGQwf6aorjN, https://lh5.googleusercontent.com/p/AF1QipOm-MR37TEReSBsUDyZVVxR8O1mXVNu1rQS0ibk, https://lh5.googleusercontent.com/p/AF1QipM4qM4D6gNu1kSpSovZne9yOQzGYI2INeb0dyCP, "
Bánh Xèo A Mật,"Đường Giồng Nhãn, Hiệp Thành, Bạc Liêu, Việt Nam","4,0",1.759,9.235797,105.6787331,Bạc Liêu,Nhà hàng,100-200 N ₫,"Ăn tại chỗ, Mua hàng ngay trên xe, Giao hàng gián tiếp, ","https://lh5.googleusercontent.com/p/AF1QipNWu3MX0sM0R9Mk_N9D_-9ArCd3zrBgCp3xRoEN, https://lh5.googleusercontent.com/p/AF1QipMg4V6swnPctgbijfoSTHYgNsIjctkmBxB7PfqE, https://lh5.googleusercontent.com/p/AF1QipNLquYtWLt1PQta2WJkbC2AdZC0IR8p96OuS2n-, https://lh5.googleusercontent.com/p/AF1QipP2BmmZ0Y_0rZ_AGsc7MkZF36H258kILYQH0Ekh, "
Nhà Hàng Em Nhỏ Bạc Liêu,"022 Võ Thị Sáu, Phường 8, Bạc Liêu, Việt Nam","4,1",153,9.2871481,105.6472033,Bạc Liêu,Nhà hàng,Không có giá,"Ăn tại chỗ, ","https://lh5.googleusercontent.com/p/AF1QipOCvxmamLiOTzILZ7azpMQYan9eIuEQ0K5-5V2_, https://lh5.googleusercontent.com/p/AF1QipODcKznrrngFzCTqF6sAEY60N_mtfmvJxggSq3d, https://lh5.googleusercontent.com/p/AF1QipNijXuGLxCl_Uc0loZ5G1AsGTEeSKIun0JXYaHs, https://lh5.googleusercontent.com/p/AF1QipNKRHoaV0uATTB9zt2uuZzmlI1-W-Rfc-Ud16yy, "
Nhà hàng Thuyền Trăng Quán,"128 Võ Thị Sáu, Phường 8, Bạc Liêu, Việt Nam","4,1",491,9.293695,105.6385358,Bạc Liêu,Nhà hàng,200-300 N ₫,"Ăn tại chỗ, Đồ ăn mang đi, Giao hàng gián tiếp, ","https://lh5.googleusercontent.com/p/AF1QipNGfTgsJtl6KW0N_52RDP-z5dj9Ej3wnl2kvMWc, https://lh5.googleusercontent.com/p/AF1QipMEqwfEL45088Ygea2YGAmTw-Qr_Euf3Xyu4BKn, https://lh5.googleusercontent.com/p/AF1QipNWhtamyVvL3LriD4_a7OhOqibu8VQTOYX7cuYu, https://lh5.googleusercontent.com/p/AF1QipPOeOAMCC9lqRdFf5gMCsJu8uOKP7RkvsnCEZcv, "
Quán 58 Bạc Liêu,"187 Hoàng Diệu, Phường 1, Bạc Liêu, Việt Nam","4,1",161,9.2910304,105.6605356,Bạc Liêu,Nhà hàng,100-200 N ₫,"Ăn tại chỗ, Đồ ăn mang đi, Giao hàng, ","https://lh5.googleusercontent.com/p/AF1QipPGJXA0tXitD3IDJayYSGwG5NYQtQQITdmmCTTJ, https://lh5.googleusercontent.com/p/AF1QipPQV45M1P-J_sMlUoDCNlCx8qkQ5pkf0TfWCnbJ, https://lh5.googleusercontent.com/p/AF1QipPGJXA0tXitD3IDJayYSGwG5NYQtQQITdmmCTTJ, https://lh5.googleusercontent.com/p/AF1QipPG4_q4tezpfQt93HmpQ3ywW9i0VQdPFlqRvcgU, "
Đặc Sản Bạc Liêu,"6PCQ+H33, Phường Nhà Mát, Bạc Liêu, Việt Nam","4,1",18,9.2213752,105.6655831,Bạc Liêu,Nhà hàng,Không có giá,"Ăn tại chỗ, Đồ ăn mang đi, Giao hàng, ","https://lh5.googleusercontent.com/p/AF1QipMDM28HohU8E3emATtQUV73X2RFNA7wbF1FO8bB, https://lh5.googleusercontent.com/p/AF1QipM6AYcIeLTCPSMMLuSa5ERjxmwWl-jW_0QvAfZv, "
Quán Cơm Nga,"420 Trần Phú, Phường 7, Bạc Liêu, Việt Nam","4,1",54,9.3002983,105.6492772,Bạc Liêu,Quán ăn nhỏ,1-100.000 ₫,"Ăn tại chỗ, Mua hàng ngay trên xe, Giao hàng gián tiếp, ","https://lh5.googleusercontent.com/p/AF1QipPK0DPgUHr3em_PyMo41KtxGgh4S6nYPS6jW5Zr, https://lh5.googleusercontent.com/p/AF1QipO_GT8u-Y9zkA2xkOXL394uahdalXDmsP5F9KbN, https://lh5.googleusercontent.com/p/AF1QipOwqVTMVi2pkmSF4hL4veoS_9ltYB8dEFuDdXnB, https://lh5.googleusercontent.com/p/AF1QipMMX7c0_OecfwpfVOCaWjwIxGJd114u1XNi_97n, "
Bún Bò Cay Bạc Liêu ÁNH NGUYỆT,"119 Cao Văn Lầu, Phường 5, Bạc Liêu, Việt Nam","3,9",491,9.2805584,105.6551301,Bạc Liêu,Nhà hàng,1-100.000 ₫,"Ăn tại chỗ, Đồ ăn mang đi, ","https://lh5.googleusercontent.com/p/AF1QipNNPfbOaFdGaOi9hXPyFcQgycgE6sO0bmcqXzdL, https://lh5.googleusercontent.com/p/AF1QipPiwfb6sg6hdF2_RbYCplD5FnwS9vHlct2zO_1_, https://lh5.googleusercontent.com/p/AF1QipPTwGxRUy-PEcotDsAPqOZSj5YYG_wm25yNDZgW, https://lh5.googleusercontent.com/p/AF1QipMMcX4ECGPjjlABSv8oBTIegVYgBrvcC30yNE10, "
Ẩm thực sân vườn Ba Lúa,"192 23 Tháng 8, Phường 8, Bạc Liêu, Việt Nam","4,0",178,9.295808,105.6375645,Bạc Liêu,Nhà hàng,100-200 N ₫,"Ăn tại chỗ, Đồ ăn mang đi, Giao hàng gián tiếp, ","https://lh5.googleusercontent.com/p/AF1QipN6iTLQE36iF-7FsJk2-mmy5Bvi4xz8O56KCbb-, https://lh5.googleusercontent.com/p/AF1QipO8V0czog8YgKpujeFiFYdu8VDPIb5ku5WDxMgf, https://lh5.googleusercontent.com/p/AF1QipNwh8DMISpZxkALjCaaCNEMXgBy78fpfuD5fmw0, https://lh5.googleusercontent.com/p/AF1QipP_LqtdM3LOAJWf5w8nN0YzCmVDs9z79hhWcc9r, "
Nhà hàng Công tử Bạc Liêu,"13 Điện Biên Phủ, Phường 3, Bạc Liêu, Việt Nam","3,9",28,9.2837958,105.6511708,Bạc Liêu,Nhà hàng,1-100.000 ₫,"Ăn tại chỗ, Đồ ăn mang đi, Giao hàng, ","https://lh5.googleusercontent.com/p/AF1QipOJ7ejU7WH5oiXGmYg-sAbeyKqr803vy9fr9SPg, https://lh5.googleusercontent.com/p/AF1QipN48iDmNADBV-_sJwx_gT4khvjvBBfBBHivYn50, https://lh5.googleusercontent.com/p/AF1QipOqTR57kfRXA3bjLv9U9nLEg08D7X2VD2KmMkQy, https://lh5.googleusercontent.com/p/AF1QipNAkTSUQ1wSFhzYyIz8DtR_6BHowlBMIJb6p9Yt, "
Bún xào nem nướng Băng Tâm (ngon),"516 Võ Thị Sáu, Phường 3, Bạc Liêu, Việt Nam","4,4",305,9.2842849,105.6493895,Bạc Liêu,Nhà hàng,1-100.000 ₫,"Ăn tại chỗ, Đồ ăn mang đi, Giao hàng, ","https://lh5.googleusercontent.com/p/AF1QipP-IpzdYbdhCtdICKKh2oRYPd5PCeFK0PJ21rbr, https://lh5.googleusercontent.com/p/AF1QipO5mzQY03dJ7wwJ5tfIBm_IZDbfmlpr5alKfz0s, https://lh5.googleusercontent.com/p/AF1QipMsFaK8hrMhDgSHiULa2OZ4-JIAKxPkwRaMIUSm, https://lh5.googleusercontent.com/p/AF1QipOR_a1h7kE_5GvzrSgsVxVfmBExvnBXKxlBSmon, "
Cơm Chiên A Chen🍛🍛,"55 Lê Lợi, Phường 3, Bạc Liêu, Việt Nam","4,1",666,9.2881469,105.6553208,Bạc Liêu,Nhà hàng,1-100.000 ₫,"Ăn tại chỗ, Mua hàng ngay trên xe, Giao hàng gián tiếp, ","https://lh5.googleusercontent.com/p/AF1QipNRTksRVoVMRcfQj30dqIBp05MPArhTNqF3Xo8G, https://lh5.googleusercontent.com/p/AF1QipO4qNJSaNU3NVC6u5IWvs8M4jD8WmbBlrlyk-IU, https://lh5.googleusercontent.com/p/AF1QipP1Vnfkw9_5MCRPcXyjs08yFmJHSFPEluDR-6SM, https://lh5.googleusercontent.com/p/AF1QipNKitkfqsMxmwcxJStPt39xy2tAboyChw9pqmDu, "
Bún nước lèo Năm Hớn,"649 Trần Phú, Phường 7, Bạc Liêu, Việt Nam","4,0",230,9.3069093,105.6482783,Bạc Liêu,Quán ăn nhỏ,1-100.000 ₫,"Ăn tại chỗ, Đồ ăn mang đi, ","https://lh5.googleusercontent.com/p/AF1QipPRZh7pJ99LOpjDYtYNrz03MYCKStSdJlKJUSfY, https://lh5.googleusercontent.com/p/AF1QipOwBgOc638bIaTsA-5NAHs7D5u_f-2085LZLWlJ, https://lh5.googleusercontent.com/p/AF1QipPE9g-7PK4vxvkI6sA7X2gJoJ8d--IokCgGsvn2, https://lh5.googleusercontent.com/p/AF1QipNEDGJJR2pd9bR5Ejse4vbvQjQLzXtEJhg1Lgk1, "
Cơm Niêu Cậu Tân Xứ Bạc,"475 Trần Phú, Phường 7, Bạc Liêu, Việt Nam","4,5",93,9.3010418,105.6488385,Bạc Liêu,Nhà hàng,1-100.000 ₫,"Ăn tại chỗ, Mua hàng ngay trên xe, Giao hàng gián tiếp, ","https://lh5.googleusercontent.com/p/AF1QipPioH_UB6FIgzDyqcChxnD2qGSIkF6hobdFjeTS, https://lh5.googleusercontent.com/p/AF1QipP_3-e-sGhi_psbjmsIbaAejWH7WOSeIJk8yV_q, https://lh5.googleusercontent.com/p/AF1QipPuGt6m_o1UfQpMmhZToMY17pleLlf751-1aAhD, https://lh5.googleusercontent.com/p/AF1QipN8Id1wUhbGOPXzcPJ7XHm9qRh4UicZjRZa2ky7, "
Lạc dining - Nhà hàng Âu,"152a/4 Nguyễn Đình Chiểu, Phường 7, Bạc Liêu, Việt Nam","4,7",33,9.2948944,105.6450992,Bạc Liêu,Nhà hàng,200-300 N ₫,"Ăn tại chỗ, Đồ ăn mang đi, Giao hàng gián tiếp, ","https://lh5.googleusercontent.com/p/AF1QipOGbrqzrzgTowsEG_hnJsEpAsLpwijmmCkYdQ_d, https://lh5.googleusercontent.com/p/AF1QipO9YWH6--FVovDcC8yil4aY4mULaSr-E7mmJG6E, https://lh5.googleusercontent.com/p/AF1QipO6JASHtQo1BkqQME9Ba8-NSzD7WpA0mBu5jK2D, https://lh5.googleusercontent.com/p/AF1QipMKCHmDcOgsPooPmP67bAlJ1tZLd_j8Xtv2n7UF, "
Quán Ăn Bò Kho Mai Anh,"413 23 Tháng 8, Phường 8, Bạc Liêu, Việt Nam","4,4",50,9.2968784,105.6244569,Bạc Liêu,Nhà hàng,1-100.000 ₫,"Ăn tại chỗ, Đồ ăn mang đi, ","https://lh5.googleusercontent.com/p/AF1QipM-Wrjlm-rzeejYharCk0B5GxZjK5HGAXL9dqUl, https://lh5.googleusercontent.com/p/AF1QipPYpEUYrGlLJCS2kUUuK6P2jrELJzyZlriTVDQ, https://lh5.googleusercontent.com/p/AF1QipMMKeeSwOU-Nx9ysR-DnAuOsQOmuCWdfluSUZ7U, https://lh5.googleusercontent.com/p/AF1QipNzV3q_RerIm7AzBcGLJNbxjufHNmEwhBlkzCZr, "
Quán cà phê Quảng Trường,"7 Trần Huỳnh, khóm 5, Bạc Liêu, Việt Nam","3,9",236,9.2955417,105.6525889,Bạc Liêu,Quán cà phê,₫₫,"Ăn tại chỗ, Nhận hàng ở lề đường, Giao hàng gián tiếp, ","https://lh5.googleusercontent.com/p/AF1QipNdpmQxJDhHot4gmhX8fk-qbpUPiFzGs6DLx-fM, https://lh5.googleusercontent.com/p/AF1QipPWUXqbY1KOlHR50VKV0yxeV4iq-DJFkMaSJ82A, https://lh5.googleusercontent.com/p/AF1QipN8y_sD3r4b857tN88HSMtOQzjwJcJdrBmgfTJX, https://lh5.googleusercontent.com/p/AF1QipM7jBKCWySAjB5U0HLt2mY1Xx-3Z76yfCVrHmuK, "
Lẩu Mắm Hồng Gấm 2,"Ninh Bình, Phường 2, Bạc Liêu, Việt Nam","4,1",443,9.2715121,105.6533915,Bạc Liêu,Nhà hàng,100-200 N ₫,"Ăn tại chỗ, Mua hàng ngay trên xe, Giao hàng gián tiếp, ","https://lh5.googleusercontent.com/p/AF1QipNwWlfwTolNl5MMtjQVUc1C8Rc2fcykh9nPiMcD, https://lh5.googleusercontent.com/p/AF1QipOevUJIKEOpNVIrMp9SbaXSzQ3M50LKkzE1PZIS, https://lh5.googleusercontent.com/p/AF1QipMWhDch6NfVT3AGwiB8ss-vKX51nuqq7-66ZkxZ, https://lh5.googleusercontent.com/p/AF1QipO7d3H6IBMwlnoG34ak1fHv3FXZ7cF85U9kV59M, "
