name,address,score,reviews count,latitude,longitude,province,category,price,discount,services,description images
Sunrise Hotel Bạc Liêu,"Khu Villa Vincom, Căn HG, 37 - 39 Trần Huỳnh, Phường 7, Bạc Liêu, Việt Nam","4,7",121,9.2905224,105.646344,Bạc Liêu,Khách sạn,710.077 ₫,Không có giảm giá,,"https://lh5.googleusercontent.com/p/AF1QipOwMkF8DPWQ7Uq0aYbL9lSUu6cAe8F1W_gjqdp9, https://lh5.googleusercontent.com/p/AF1QipMI9bt6P75lCULL0unltFCWwDmhYiNDJ6bIgh9g, https://lh5.googleusercontent.com/p/AF1QipOeEYKwDb5wqM56Oo7B-_Y8oio4CT7IXSq7XPbU, https://lh5.googleusercontent.com/p/AF1QipMilN4E2NHCJasrpKMcvECeU-Anv_lLwYZ9NnKH, "
Khách sạn Sài Gòn Bạc Liêu,"2-4-6, Hoàng Văn Thụ, Phường 3, Bạc Liêu, Việt Nam","3,9",907,9.284969,105.6516718,Bạc Liêu,Khách sạn 3 sao,619.021 ₫,Ít hơn 23% so với bình thường,"Wi-Fi miễn phí, Bữa sáng miễn phí, Đỗ xe miễn phí, Có điều hòa nhiệt độ, Dịch vụ giặt ủi, Trung tâm thương mại, Dịch vụ phòng, Phù hợp với trẻ em, Nhà hàng, Bồn tắm nước nóng, Spa, ","https://lh5.googleusercontent.com/p/AF1QipPcHkIqkTadB2J4_wmi4NhYi3zxBY_gXSj7thEa, https://lh5.googleusercontent.com/p/AF1QipPQLTE7YUJnPrO6M-Ngs8gHvFYM--6FXzEubBls, https://lh5.googleusercontent.com/p/AF1QipPehYGvxWkZk46YyjDEIHujyJlgzqy79ocfYsDe, https://lh5.googleusercontent.com/p/AF1QipOepRFaqAINSLJNodAbWlKv3kQ3cXzVnD85I-Ms, "
Khách sạn New Palace,"36 Trần Quang Diệu, Phường 1, Bạc Liêu, 260000, Việt Nam","4,0",865,9.3062771,105.6593533,Bạc Liêu,Khách sạn 5 sao,589.455 ₫,Ít hơn 21% so với bình thường,"Wi-Fi miễn phí, Bữa sáng miễn phí, Đỗ xe miễn phí, Bể bơi ngoài trời, Có điều hòa nhiệt độ, Dịch vụ giặt ủi, Dịch vụ phòng, Phù hợp với trẻ em, Nhà hàng, Spa, ","https://lh5.googleusercontent.com/p/AF1QipPfPOFRTy9zoAZs6tmv0NIzaxYfANikX5bl-QTx, https://lh5.googleusercontent.com/p/AF1QipNrSEy7DXb9Bp3QLJNq4J8a8L6MiIU-NJMngZ83, https://lh5.googleusercontent.com/p/AF1QipMyPkCUAt_yGZeZoK6RacIUkBFj_NhRbkjHV4GH, https://lh5.googleusercontent.com/p/AF1QipP7uaagERHSAmR4by53NS0WsSUI9oX0EwKIUILF, "
Khách sạn Trần Vinh,"85 - 87 Hai Bà Trưng, Phường 3, Bạc Liêu, Việt Nam","4,2",583,9.286511,105.6530583,Bạc Liêu,Khách sạn 3 sao,453.482 ₫,Không có giảm giá,"Wi-Fi miễn phí, Bữa sáng miễn phí, Đỗ xe miễn phí, Có điều hòa nhiệt độ, Dịch vụ giặt ủi, Phù hợp với trẻ em, Nhà hàng, ","https://lh5.googleusercontent.com/p/AF1QipNbPcl6t_LNzDuZN6X6LAZ4J9Sm_IJMTqn67nc, https://lh5.googleusercontent.com/p/AF1QipP1NcfgD2oh_UE4szhkKIKWVbQQWGwa8hAkKWE, https://lh5.googleusercontent.com/p/AF1QipPehsNjd_SSNUdQ8cyf0c-tMUtvP7WheG8OoUzi, https://lh5.googleusercontent.com/p/AF1QipO3qsluj1c9X_5mpe2xWyX9thiANAjdiDsz5F8, "
Hotel Royal,"8 Phan Đình Phùng, Phường 3, Bạc Liêu, Việt Nam","4,2",104,9.2875725,105.6547839,Bạc Liêu,Khách sạn,464.243 ₫,Không có giảm giá,"Wi-Fi miễn phí, Đỗ xe miễn phí, Có điều hòa nhiệt độ, Dịch vụ giặt ủi, ","https://lh5.googleusercontent.com/p/AF1QipMfHdEwxa_EeDMYazQUfZD4XdSuCV9zBtpHlo_c, https://lh5.googleusercontent.com/p/AF1QipNG1mbcWJqK8QQWZxjx3VXffEktf4Nw4Wi4nnWu, https://lh5.googleusercontent.com/p/AF1QipNQ0lVPvrRct1v5Zl9C_4sjmUb-XMcKgvuAOUsa, https://lh5.googleusercontent.com/p/AF1QipMhy2mNWfpeO6qClQ8TRldKVgnO167JDUok8nWZ, "
"Khách Sạn Đạt Ngọc, Khách sạn giá rẻ view đẹp, Khách sạn uy tín tại Bạc Liêu","488 Đường Võ Thị Sáu, Phường 3, Bạc Liêu, Việt Nam","2,7",98,9.2853523,105.6490336,Bạc Liêu,Khách sạn,1.247.720 ₫,Không có giảm giá,"Wi-Fi miễn phí, Dịch vụ giặt ủi, Bếp ở một số phòng, ","https://lh5.googleusercontent.com/p/AF1QipOB228LBHZ7PBDu1Mb2cgdDAntP8ilW8BtESHJA, https://lh5.googleusercontent.com/p/AF1QipMa0yiNB2aWDcFH2EnT9AykxbI3Xp3hpuyEKK_A, https://lh5.googleusercontent.com/p/AF1QipO9atgf_g-tmTBSQKRvJ2cffrIWdQHGiKNGC-29, https://lh5.googleusercontent.com/p/AF1QipOAUqn85OVoE37Bmrmo1FaIinpP4X4BiZAtcA0D, "
Royal Hotel,"63 Nguyễn Vĩnh Nghiệp, Phường 2, Bạc Liêu, Việt Nam","4,1",47,9.2778605,105.6510202,Bạc Liêu,Khách sạn 2 sao,427.094 ₫,Không có giảm giá,"Wi-Fi miễn phí, Đỗ xe miễn phí, Có điều hòa nhiệt độ, Dịch vụ giặt ủi, ","https://lh5.googleusercontent.com/p/AF1QipPDmpG6F-VllceL-99_joumo7ZlVXwzIEeWDs8W, https://lh5.googleusercontent.com/p/AF1QipOSHoJH9KTMrGAK452WyWRVssApD_X1FT42ghfK, https://lh5.googleusercontent.com/p/AF1QipN_UVORG6cZosZW4xrj6BPEhVTerVpCErVBDJbi, https://lh5.googleusercontent.com/p/AF1QipOkJchKxw-KRXdiNWf6-Jhw5e_YSKa3AQkUa8L-, "
Khách sạn Vân Nhi,"56 Đ. Lê Hồng Phong, Khu đô thị TM ven sông Bạc Liêu, Bạc Liêu, 84291, Việt Nam","4,3",169,9.2747278,105.6529311,Bạc Liêu,Khách sạn,330.000 ₫,Không có giảm giá,"Wi-Fi miễn phí, Đỗ xe miễn phí, Có điều hòa nhiệt độ, Dịch vụ giặt ủi, Chấp nhận vật nuôi, Xe đưa đón ra sân bay, ","https://lh5.googleusercontent.com/p/AF1QipNj8qMCIpvNRb4bxLbqU1PXPIsXGoyCPmiSuej6, https://lh5.googleusercontent.com/p/AF1QipNZLvfn1HGnMHSAmS1ccjT11JRmLkio0YtGSQMd, https://lh5.googleusercontent.com/p/AF1QipN-VksKPHS9wXoxoNeRR8CrIKOorqohZvZGVJCf, https://lh5.googleusercontent.com/p/AF1QipMjAzUXQRat8s30muEKaEqwFeRlZ1XWTMPdfByL, "
Khách Sạn Phụng Hoàng Vũ,"Số 89 Phan Văn Xoàn, Phường 3, Bạc Liêu, 84291, Việt Nam","4,4",100,9.2735786,105.6532001,Bạc Liêu,Khách sạn,364.000 ₫,Không có giảm giá,,"https://lh5.googleusercontent.com/p/AF1QipNJ0EOPQDK9N_qbw_kRG_8VUQGiQPeu_c03DU2f, https://lh5.googleusercontent.com/p/AF1QipPbNLkayhnPPXCq2_SpBuWtvMMYtthIuOh5s4Mi, https://lh5.googleusercontent.com/p/AF1QipPXPKNUe9Sd0DKcR-vnMl7D2SshgEOs8ONo6jsq, https://lh5.googleusercontent.com/p/AF1QipMQIW4111woJbt_J0o51mCDsiUaZuaXCrVSjT9F, "
Khách Sạn HOÀNG KIM,"31 Trần Huỳnh, Phường 8, Bạc Liêu, Việt Nam","4,3",138,9.292002,105.6431757,Bạc Liêu,Khách sạn,249.999 ₫,Không có giảm giá,"Wi-Fi miễn phí, Đỗ xe miễn phí, Có điều hòa nhiệt độ, Dịch vụ giặt ủi, Xe đưa đón ra sân bay, Không hút thuốc, ","https://lh5.googleusercontent.com/p/AF1QipP50QcqQuR3Q-2XRCRbDuGaBS1C4JF9e3tj-ooD, https://lh5.googleusercontent.com/p/AF1QipPx3dinEzwH-Tq8JK2t6fNA3aRW_VCIj8aw_99Z, https://lh5.googleusercontent.com/p/AF1QipNfkD3K01A6ENSmAaGOFZmKF-LEtRuw_djb-bYR, https://lh5.googleusercontent.com/p/AF1QipN3lndVGD6lSyxXb1-sstmsq-rBYRg3wUbBQT8T, "
