name,address,score,reviews count,category,avg price,province,description images
Nhà Hàng Phố Núi,Vĩnh Phúc,"4,3",36,None,None,Vĩnh Phúc,"https://lh5.googleusercontent.com/p/AF1QipMtMXHKJATH5vNqUa1kQ-f_NGIzPSLr9OjZgKxB, https://lh5.googleusercontent.com/p/AF1QipMUB9OVyI_Ito6Y9X3AtdJt4nX-1GCZI-5nGoKq, "
Nhà Hàng Hương Rừng 2,CJ39+RGF,"3,9",145,None,200.000-300.000 ₫,Vĩnh Phúc,"https://lh5.googleusercontent.com/p/AF1QipOQELulm1YhzGIKIGJ30cUcW1SJzMhF-XeeQp4H, https://lh5.googleusercontent.com/p/AF1QipM9h8wLY-9k-Sw8KARLW_LjWAf9XXpfdOPd_wwK, "
The King BBQ,185 Lam Sơn,"3,9",42,None,100.000-200.000 ₫,Vĩnh Phúc,"https://lh5.googleusercontent.com/p/AF1QipM3FBnWokxOpYKcgT3UH7lrHhkBSd8wkKWjFmn4, https://lh5.googleusercontent.com/p/AF1QipNSW6euAQJqG-UKVQbxArZAmBP1O98RFKI59iDU, "
Đường lạc long quân phường khai quang thành phố vĩnh yên vĩnh phúc,9 Lạc Long Quân,"5,0",1,None,None,Vĩnh Phúc,
Quán Chim Thịnh Yến,Hoàng Hoa Thám,"4,1",78,None,None,Vĩnh Phúc,"https://lh5.googleusercontent.com/p/AF1QipN-9xdxjha3bd_v2zpY71LphGjLBWGU-TOtjBSI, https://lh5.googleusercontent.com/p/AF1QipPCcK2RRGsp9bCmMopp5vFAIVpCTkapQRF8BWvu, "
Sông Hồng Resort,Số 189 Lam Sơn,"4,2","1,7 N",None,None,Vĩnh Phúc,"https://lh5.googleusercontent.com/p/AF1QipPurpxtSHM_FfHivoJRXXoVAuyJ3me5mFPgxY9b, https://lh5.googleusercontent.com/p/AF1QipNWLJ1KxyblNClRA8UUAWkKQOSHPe5qdPg2Kqod, "
Jollibee Go! Vĩnh Phúc,"Siêu thị Go, Trung tâm thương mại Vĩnh Phúc","4,1",28,None,100.000-200.000 ₫,Vĩnh Phúc,"https://lh5.googleusercontent.com/p/AF1QipNhvYj9CWudSRxZYOh606BHNzjNmbCqqUUs_-iz, https://lh5.googleusercontent.com/p/AF1QipN6d7uTXEaADww3PvNlPvHZRt5dSYhfpMQtKMBK, "
Nhà Hàng Tây Bắc Yên Bái,Tổ 6 Hoàng Quốc Việt,"4,2",716,None,200.000-300.000 ₫,Yên Bái,"https://lh5.googleusercontent.com/p/AF1QipN6yL4cJXjNr6StX7gc-rZfbLcnyEYItrFgMwy8, https://lh5.googleusercontent.com/p/AF1QipPG75A9aYqjz-jq74_eS9uL84DiCFSIR2l9L8Ke, "
NHÀ HÀNG NGON NHẤT TẠI YÊN BÁI- NHÀ HÀNG HIỀN ANH,"Nút Giao IC12 km114, Cao Tốc Nội Bài - Lào Cai","4,5",16,None,100.000-200.000 ₫,Yên Bái,"https://lh5.googleusercontent.com/p/AF1QipM4Qp4B2VoXuJeUkwQH1clNuieqoTswpAPOu28v, https://lh5.googleusercontent.com/p/AF1QipMABiSFFoxbKHF0mxLevvvSc8SV7z_8UtMMXxDl, "
Nhà hàng Mạnh Thắng - Yên Bái,54 Đ. Đinh Tiên Hoàng,"4,0",289,None,1-100.000 ₫,Yên Bái,"https://lh5.googleusercontent.com/p/AF1QipP62XhBKFt_4tLyVc2oK3dMexfZcdyJvuH56TJS, https://lh5.googleusercontent.com/p/AF1QipMiYPWyTGiTCV6vfR1smS8IcIqctrpqKBXylRx2, "
Nhà Hàng Duyên Quý,27 Lê Hồng Phong,"4,1",194,None,None,Yên Bái,"https://lh5.googleusercontent.com/p/AF1QipPWGa-1oMZiQe2vAH_nhDMwL5dQeUY7Cv8HdWxC, https://lh5.googleusercontent.com/p/AF1QipOWM2Ts8S5aJKjT5e5ZGtD-VG1TPRXEq0zupni7, "
QUÁN CÁ HÀ OANH YÊN BÁI,Yên Bái,"4,0",684,None,200.000-300.000 ₫,Yên Bái,"https://lh5.googleusercontent.com/p/AF1QipNk_lTQc6N2uZ98npYfQwbTBWzDUxuB7wWsG0xg, https://lh5.googleusercontent.com/p/AF1QipP9GqNNdfnY0dape31vvKBAGB0vtXwZ0t0kPOvz, "
Nhà Hàng Vua Cá Hồi Yên Bái,Vua cá hồi,"4,1",198,None,None,Yên Bái,"https://lh5.googleusercontent.com/p/AF1QipNA4flla58z6qpKlxuWy0il7to_hXUU_jifbxFv, https://lh5.googleusercontent.com/p/AF1QipO0C9I_Qz3P6Q_ok1aN8CzJKtzMMWasQMVLbmhy, "
Nhà Hàng Đồng Tâm,PW55+QX7,"3,9",161,None,100.000-200.000 ₫,Yên Bái,"https://lh5.googleusercontent.com/p/AF1QipOQmJD3IFQhhQit6Wwp0c1f0M43gkRThAlucEch, https://lh5.googleusercontent.com/p/AF1QipMpkTizt9ZB0FiQo9HHOqX3yo3GXw9Y-te5lFcW, "
Nhà Hàng Thuyền Chài,Hoàng Quốc Việt,"4,1",500,None,200.000-300.000 ₫,Yên Bái,"https://lh5.googleusercontent.com/p/AF1QipOj32DwRcluqT7mzuNCwfpFzIpy1k-qRcKIsSkk, https://lh5.googleusercontent.com/p/AF1QipN3Gabl_FXYkC1xjSRacWP90ZEv0naQdbpfbDH5, "
Bít Tết Ngon,115 Đ. Nguyễn Tất Thành,"4,4",61,None,1-100.000 ₫,Yên Bái,"https://lh5.googleusercontent.com/p/AF1QipMLbi5x8DrY7v5iE0uqZBY-2hNxg9NisozYFR_y, https://lh5.googleusercontent.com/p/AF1QipO6ee7u4BqHBAWzKiY6VI9ly_tCkUFW9uNLDyYM, "
Nhà Hàng Lá Dong,Sân quảng trường Khu đô thị Ruby Garden km11,"4,4",21,None,200.000-300.000 ₫,Yên Bái,"https://lh5.googleusercontent.com/p/AF1QipMDGH-3ZSoViu1EcdYVA_QsX3hVKUQk_Z-R7168, https://lh5.googleusercontent.com/p/AF1QipOlcDIMQvYzlUD7isFe3fTpizDQAlTamS9LBIhT, "
Nhà Hàng Tùng Dương,37 Đường Quang Trung,"4,2",187,None,None,Yên Bái,"https://lh5.googleusercontent.com/p/AF1QipOfgc1W-L6E70nrS08OFBGyMXj2H5fuV6zWMZ8, https://lh5.googleusercontent.com/p/AF1QipNTlO4ws6tdJ4v1seV7a0ZNzjsFKGukmC6tr2P2, "
Nhà Hàng Yên Bái - 中国餐厅,Yên Bái,"5,0",22,None,100.000-200.000 ₫,Yên Bái,"https://lh5.googleusercontent.com/p/AF1QipN6Ax-LR-6DY8U1w9Z_UAZkrsIjONVslDe6vVX8, https://lh5.googleusercontent.com/p/AF1QipNSU8r6LUyTAH6fG3lSxf3xdP0cK039Visylwun, "
Nhà Hàng Oanh Hợp,"Nhà Hàng Oanh Hợp Km2,5 (gần thuế thành phố Yên Bái)","4,0",42,None,None,Yên Bái,"https://lh5.googleusercontent.com/p/AF1QipNHtgiKGRvK6Pa0JdPaOOiWqfgwTsCi_6S4mCbP, https://lh5.googleusercontent.com/p/AF1QipMb9O137BTGth8QFdnoklOPvzMBsbio_fVoFe56, "
Nhà hàng Cây Cọ (ẩm thực Tây Bắc),279 Đ. Nguyễn Tất Thành,"3,9",91,None,200.000-300.000 ₫,Yên Bái,"https://lh5.googleusercontent.com/p/AF1QipNIhFWXz_ouFA8d_Au8pGXrbuxHGJeGrSX2p69-, https://lh5.googleusercontent.com/p/AF1QipO8U7xA9v-DPWilX52zO9LgnbtxP5V8ZP_xrqhG, "
Mì Cay Seoul,173 Nguyễn Thái Học,"3,9",203,None,1-200.000 ₫,Yên Bái,"https://lh5.googleusercontent.com/p/AF1QipOV7mNgfntOwkhHyDB6fctJ18XC0gy_vk0Y9AeX, https://lh5.googleusercontent.com/p/AF1QipNV421YW_nInXM_MPKJqdycCaVGTMfF-DkDSBV4, "
Nhà hàng Oanh Hiện,01 Thành Công,"3,8",118,None,None,Yên Bái,"https://lh5.googleusercontent.com/p/AF1QipPTEUZzvHn-E_uvdN-Bwe7rLvKJemgdZIPJYM0g, https://lh5.googleusercontent.com/p/AF1QipOKAYdpPGpQlVorBqxSQX521F5Zdz2GVjARRNmb, "
Nhà hàng Hưng Anh,13/65 Lê Lợi,"4,0",144,None,200.000-300.000 ₫,Yên Bái,"https://lh5.googleusercontent.com/p/AF1QipNYwmReErq3osqRUr5booRcTvhp5vB2UoyK3ge9, https://lh5.googleusercontent.com/p/AF1QipMnf3GH5-hc7zgXUF_3TSaSHhj3LVvakcvFrIYM, "
Thắng Vịt,5 Minh Khai,"4,2",12,None,None,Yên Bái,"https://lh5.googleusercontent.com/p/AF1QipM4yK52Xr_zXYQD64RhAVLOOe0PRVeIDHvTpB77, https://lh5.googleusercontent.com/p/AF1QipMNW093AoPhm6PCJWaYCXshrxZVKOIlP4sUgM9q, "
Quán Ăn,"Tổ 51, Phường Minh Tân, Thành Phố Yên Bái, Tỉnh Yên Bái",Chưa xét,0,None,None,Yên Bái,
Nhà Hàng Trọng Nam,Gần cây Xăng Cường Anh,"5,0",16,None,100.000-200.000 ₫,Yên Bái,"https://lh5.googleusercontent.com/p/AF1QipM0-PpfrtuuEQGsHB1W9ngjfBCDSTHJMjligERi, https://lh5.googleusercontent.com/p/AF1QipMRpFtVtBHneXkQeLbpK1R90tVMl3TEatgZsAQk, "
"Nhà Hàng, Quán Ăn",381 Lê Hồng Phong,"3,8",4,None,None,Yên Bái,
Soju BBQ & HOTPOT,129 đường Trần Phú,"3,8",39,None,100.000-200.000 ₫,Yên Bái,"https://lh5.googleusercontent.com/p/AF1QipP_sG6DPW9fVSQLcgnC9Z9x4OnA7y-ebsrLvnnk, https://lh5.googleusercontent.com/p/AF1QipOHswyj5zW1zmQPqJxLitoAtApX07Nn3PVDlbvK, "
Nhà Hàng Việt Hoa,Yên Bái,"4,8",5,None,100.000-200.000 ₫,Yên Bái,"https://lh5.googleusercontent.com/p/AF1QipPfqfqzlz8gQXM0PGxT8DQFkACjrlfCYOH5MhpC, https://lh5.googleusercontent.com/p/AF1QipOxvAxkPKPMkTNxQ61Gl77k-2XDH5m6LchcABCR, "
Ẩm Thực Việt 86 Nguyễn Đức Cảnh,2 Minh Khai,"4,0",53,None,None,Yên Bái,"https://lh5.googleusercontent.com/p/AF1QipMvr87FeSew2gBVwyqbdQru_CDbmepxdYv0v14Z, https://lh5.googleusercontent.com/p/AF1QipOWpVkIi50Q-ZutbHRURCbGVpd9Tv9AF1tnCeLj, "
Nhà hàng Phố Mới,"PWC9+59R, Nguyễn Văn Cừ","3,8",61,None,None,Yên Bái,"https://lh5.googleusercontent.com/p/AF1QipP1gjN6E5Ld_GTl9UyjqhJYCiTtEBrtEOXiLGBG, https://lh5.googleusercontent.com/p/AF1QipONNAkq0o7-mJsj4LwdeGzyE_j5_Gy1VuWoTC3J, "
Cơm Bình Dân Tình Em,"MW52+6V9, Âu Cơ","4,3",166,None,1-100.000 ₫,Yên Bái,"https://lh5.googleusercontent.com/p/AF1QipNMTAjjsJ2oxe4XfyB58ra09f9uTmmx35UfIt-o, https://lh5.googleusercontent.com/p/AF1QipO2vbze1Iwt5KJWUaUYbAauHLbX31Uk_oYjY4k4, "
Cơm Thố Anh Nguyễn - Yên Bái,322 Thành Công,"4,7",12,None,1-100.000 ₫,Yên Bái,"https://lh5.googleusercontent.com/p/AF1QipNHSJdSLjsbGcXO5RyE9xmgs5MEFCTAHa6NxBbh, https://lh5.googleusercontent.com/p/AF1QipMiBR_eSLsZBZUxh2cfuWr2sQ3DeYBxfZ8eFvo, "
Nhà hàng Hưng Diệp,PWGC+5C3,"4,3",29,None,None,Yên Bái,"https://lh5.googleusercontent.com/p/AF1QipND919YdOKS8zGRb5B9eGVJo98bhS-vvzl4BKED, https://lh5.googleusercontent.com/p/AF1QipM99-UnNR-RT17WHncPbn95_VUQUBVuTXJjA0jf, "
Nhà Hàng Thuần Việt,299 Nguyễn Thái Học,"5,0",6,None,None,Yên Bái,"https://lh5.googleusercontent.com/p/AF1QipOE6qE_TfY29fe9sT-J50fUMMH3Jf_PPy1xDlYn, https://lh5.googleusercontent.com/p/AF1QipMXBohtswbfFHB9n1ir-yOVsDW7rQUI0WV4lQ8b, "
Nhà hàng Đồng Tâm Quán,Đường Âu Cơ,"4,5",11,None,None,Yên Bái,"https://lh5.googleusercontent.com/p/AF1QipO5gIsk24C1zBgg90jjFlA-cL88kb6Sqse1dV_B, https://lh5.googleusercontent.com/p/AF1QipOglEFCM0w57zCa_j86iWGJyQHnfi6r2RKltrXL, "
Nhà hàng Bến Thượng Hải,Đường Hoàng Quốc Việt,"4,6",5,None,None,Yên Bái,"https://lh5.googleusercontent.com/p/AF1QipMx3c4WQw6J98PNZWijZ3AcCs1GlWtBzJroh7FU, https://lh5.googleusercontent.com/p/AF1QipPZPsmA5LmpYELJ0o0ZELUCkLwiTxmDSTqE-Nwz, "
Quán Ăn Sáng Ngon Yên Bái,Yên Bái,"5,0",1,None,None,Yên Bái,"https://lh5.googleusercontent.com/p/AF1QipMFPunOKTtb79q7tX8Xrh9UEGy-QZTm7NHVpwZW, https://lh5.googleusercontent.com/p/AF1QipMoomqHoPRKZaEDTVuSOvMrSyvOeovgigbxcXLO, "
Nhà hàng Quý Cá,PV8M+VJP,"3,6",8,None,None,Yên Bái,"https://lh5.googleusercontent.com/p/AF1QipOxunX2CYurf7--Ti_OOrU54h0n26DDwVrB-NAy, https://lh5.googleusercontent.com/p/AF1QipP6l-oidER5ZljQH-UNG_O4PJpe7-pY6BkL6RZV, "
Tiệc Cưới Hoàng Gia,"PWHG+4J2, Đ. Nguyễn Tất Thành","3,8",197,None,200.000-300.000 ₫,Yên Bái,"https://lh5.googleusercontent.com/p/AF1QipO7JF1hZahPNAubFptlP-Aw18_Y1dl53uZXZF4N, https://lh5.googleusercontent.com/p/AF1QipNlYponG43K9sfMj-Gx0feMdMTUSkYCyJ7Vhh6X, "
Quán Ăn Ngon Bệnh Viện Yên Bái,Đường Hoàng Quốc Việt,"5,0",1,None,None,Yên Bái,"https://lh5.googleusercontent.com/p/AF1QipMKIj85jtTq4QbJcxRx5u0OxJH12wqy_IeVwQpC, https://lh5.googleusercontent.com/p/AF1QipNCRU0ereLNgIobfnyb3htIH4dj9_PpmwlFiUbk, "
Nhà Hàng Dê Kiều Oanh,PW55+M78,"4,0",41,None,None,Yên Bái,"https://lh5.googleusercontent.com/p/AF1QipPj_PSQEL4sZj1HPmmgMz0WCKf9J0noFD1tD4Gp, https://lh5.googleusercontent.com/p/AF1QipOb7wk_zQKzvX7gqaS7FL1EYMY9Wm2OI1oPfpOh, "
Nhà Hàng Tuyền Bếp,"PWFC+776, Nguyễn Đức Cảnh","3,8",59,None,100.000-200.000 ₫,Yên Bái,"https://lh5.googleusercontent.com/p/AF1QipNPZHduSEy-NsjGnF_3qonHn5MD6ZQ8fIuDKuk6, https://lh5.googleusercontent.com/p/AF1QipMiThF_0tFxpHigAeOXueDfFrhlzkkrCiQrZ8ia, "
Quán ăn sáng Thắng Yên,91 Lê Lợi,"3,9",42,None,None,Yên Bái,"https://lh5.googleusercontent.com/p/AF1QipM_su79UTcrrqyN45nP4mIcdZs34nFrDH-H8ekm, https://lh5.googleusercontent.com/p/AF1QipMybtEj_uiV-yMcGXTo3l2drMDSnMiSX05OrJOO, "
