name,score,category,price,address,province,review count,description images
Thác Bản Giốc,4.6,Điểm thu hút khách du lịch,Không có giá,"Sông Quy Xuân, Đàm Thủy, Trùng Khánh District, Cao Bang",Cao Bằng,8.652,"https://lh3.googleusercontent.com/p/AF1QipNIM0vFnIrxx0vbKx13fAnQ2B3-iWPBkYLWOOyi, https://lh3.googleusercontent.com/p/AF1QipO5dNUdlpPQnfvxhHgNtI2anvQRQI9LX6S4ffmh, "
Hồ Thang Hen,4.1,Hồ,Không có giá,"Quốc Toản, Trà Lĩnh, Cao Bằng",Cao Bằng,181,"https://lh3.googleusercontent.com/p/AF1QipNIM0vFnIrxx0vbKx13fAnQ2B3-iWPBkYLWOOyi, https://lh3.googleusercontent.com/p/AF1QipO5dNUdlpPQnfvxhHgNtI2anvQRQI9LX6S4ffmh, "
Chùa Phật Tích Trúc Lâm Bản Giốc,4.7,Chùa phật giáo,Không có giá,"VP2F+87, Đàm Thuỷ, Trùng Khánh, Cao Bằng",Cao Bằng,129,"https://lh3.googleusercontent.com/p/AF1QipPok3QkqpPlfpVXKr5eHST58P7H4vOlhPwLWt-s, https://lh3.googleusercontent.com/p/AF1QipPdOFbtrVaiDM6u5K-5_Fi6EBh6yWB5kU8tvwEO, "
Núi Mắt Thần,4.7,Điểm thu hút khách du lịch,Không có giá,"Cao Chương, Trùng Khánh, Cao Bằng",Cao Bằng,445,"https://lh3.googleusercontent.com/p/AF1QipOBQM7XYefdRB19hgsbnU5qTAmmpWNMKAK8Q5DV, https://lh3.googleusercontent.com/p/AF1QipMiIk2X2gw1Fhb3r6ZMVImG-2SU4JC_THnetCG3, "
đèo Mã Phục,4.5,Đường vượt núi,Không có giá,"Quốc Toản, Trà Lĩnh, Cao Bằng",Cao Bằng,126,"https://lh3.googleusercontent.com/p/AF1QipOfkpaNOcsb8vN5KgXZiBrboHjfETdrCkHxf5fg, https://lh3.googleusercontent.com/p/AF1QipP9bO82KAibIG3kqmvJ1uhQiihXhkPyGpyE3VI, "
bản Pác Bó,Chưa xét,Khu dân cư,Không có giá,"Trường Hà, Hà Quảng, Cao Bằng",Cao Bằng,không có đánh giá,"https://lh3.googleusercontent.com/p/AF1QipPNxGVu_u5lqumVxuAlkkDPg_45OVOUJsT_kYTF, https://lh3.googleusercontent.com/p/AF1QipOynCJLtWRYm65cUJaBTZbC1MM3QKsA6zOn84T4, "
Làng đá cổ Khuổi Ky,4.5,Khách sạn,Không có giá,"VP32+Q9G, Đường vào động Ngườm Ngao, Đàm Thuỷ, Trùng Khánh, Cao Bằng",Cao Bằng,không có đánh giá,"https://lh3.googleusercontent.com/p/AF1QipPdo5kpeMKNhdOuLJg4tf1eDcEtVcdD3Y1oLfXY, https://lh3.googleusercontent.com/p/AF1QipNRE8JKNgXDqfUyL4yOPP9i9v3faTbDRIO3qpDl, "
Thác Nặm Trá,4.5,Thắng cảnh,Miễn phí,"Q8H8+3MV, Cao Chương, Trà Lĩnh, Cao Bằng",Cao Bằng,113,"https://lh3.googleusercontent.com/p/AF1QipN8dmt_LnADaGiXlW2qT72qtoHodrKAtK9npF2_, https://lh3.googleusercontent.com/p/AF1QipN9l7-MClE5U2hvv2caDgWF0MUe1QJLV6Inheex, "
Di tích Rừng Trần Hưng Đạo,4.4,Điểm mốc lịch sử,Không có giá,"H2RR+J7X, Tam Kinh, Nguyên Bình, Cao Bằng",Cao Bằng,98,"https://lh3.googleusercontent.com/p/AF1QipOxDeSL4EGSNphGyXOifKgZAg50wPGwSXca6tfz, https://lh3.googleusercontent.com/p/AF1QipPM339UFDOjjwpgnbmT8WP0TPPd039wfQqf86PD, "
Làng nghề rèn Phúc Sen,4.2,Cửa hàng dao kéo,Không có giá,"MCM5+9FH, QL3, Phúc Sen, Quảng Uyên, Cao Bằng",Cao Bằng,108,"https://lh3.googleusercontent.com/p/AF1QipNok97hLoPtcM7gaRmAGNg2BJDreQxsvZItYEua, https://lh3.googleusercontent.com/p/AF1QipO_cShRUvPpROJ2EGC0CdFjqektjtRwsUlxiGhh, "
